DATE,CASH,F_AD,F_BO,F_BP,F_C,F_CC,F_CD,F_CL,F_CT,F_DX,F_EC,F_ED,F_ES,F_FC,F_FV,F_GC,F_HG,F_HO,F_JY,F_KC,F_LB,F_LC,F_LN,F_MD,F_MP,F_NG,F_NQ,F_NR,F_O,F_OJ,F_PA,F_PL,F_RB,F_RU,F_S,F_SB,F_SF,F_SI,F_SM,F_TU,F_TY,F_US,F_W,F_XX,F_YM,F_AX,F_CA,F_DT,F_UB,F_UZ,F_GS,F_LX,F_SS,F_DL,F_ZQ,F_VX,F_AE,F_BG,F_BC,F_LU,F_DM,F_AH,F_CF,F_DZ,F_FB,F_FL,F_FM,F_FP,F_FY,F_GX,F_HP,F_LR,F_LQ,F_ND,F_NY,F_PQ,F_RR,F_RF,F_RP,F_RY,F_SH,F_SX,F_TR,F_EB,F_VF,F_VT,F_VW,F_GD,F_F
2018-01-02,,78440.0,20130.0,85406.25,17662.5,19360.0,80065.0,60370.0,38750.0,91143.0,152243.75,245525.0,134700.0,73437.5,115984.4,131910.0,81950.0,86473.8,112406.25,48825.0,49390.0,49340.0,28290.0,191860.0,24950.0,30370.0,130305.0,23550.0,12125.0,20482.5,108825.0,47445.0,74230.8,154890.0,48237.5,17169.6,130225.0,86030.0,31790.0,213968.8,123687.5,151687.5,21675.0,31360.0,123945.0,321212.5,52825.0,161280.0,131560.0,111955.0,124220.0,75855.0,124175.0,28080.0,410595.345,10900.0,108540.0,59950.0,66480.0,95700.0,130345.0,8850.0,160870.0,25500.0,9125.0,55755.0,23700.0,38969.0,19275.0,162660.0,30580.0,30570.0,101300.0,71080.0,114100.0,54640.0,8630.0,146350.0,111331.25,16936250.0,25820.0,92690.0,39312.5,250837.5,127890.0,148370.0,112210.0,110675.0,251825.0
2018-01-03,,78510.0,20340.0,84931.25,17650.0,19070.0,79860.0,61970.0,39055.0,91466.0,151706.25,245537.5,135462.5,73412.5,115984.4,131450.0,81437.5,87481.8,112193.75,48225.0,49830.0,49180.0,28420.0,192430.0,25215.0,30120.0,131675.0,23290.0,12225.0,20902.5,107945.0,48075.0,76112.4,155490.0,48437.5,17147.2,129450.0,85850.0,31860.0,213921.8,123796.9,152312.5,21800.0,31570.0,124390.0,324650.0,53255.0,161580.0,131670.0,111975.0,124880.0,76205.0,124187.5,28100.0,410574.51,10700.0,109480.0,61200.0,67930.0,95050.0,131915.0,8850.0,160920.0,25965.0,9145.0,54810.0,23870.0,39302.0,19420.0,163600.0,30190.0,30955.0,101000.0,70930.0,115950.0,55330.0,8675.0,146675.0,111650.0,16923750.0,26130.0,93810.0,39587.5,250837.5,127970.0,148600.0,112215.0,111812.5,251825.0
2018-01-04,,78780.0,20322.0,85137.5,17550.0,19050.0,80215.0,61890.0,39625.0,91151.0,152362.5,245475.0,136250.0,72775.0,115859.4,132400.0,81475.0,86990.4,111943.75,48581.25,50127.0,48900.0,28550.0,193050.0,25310.0,28720.0,132135.0,23420.0,12287.5,20827.5,109350.0,48455.0,76188.0,155790.0,48387.5,17080.0,129775.0,86350.0,31980.0,213859.4,123656.3,152281.3,21700.0,31790.0,125330.0,328937.5,54090.0,161590.0,131620.0,111950.0,124650.0,76380.0,124200.0,28080.0,410553.675,10600.0,110430.0,61050.0,68000.0,94600.0,133640.0,8850.0,160870.0,26195.0,9285.0,53970.0,24060.0,39623.0,19585.0,164100.0,28800.0,30875.0,104250.0,71590.0,118375.0,56170.0,8725.0,147012.5,111825.0,17035000.0,26290.0,94290.0,39775.0,250837.5,127940.0,148680.0,112210.0,111850.0,251825.0
2018-01-05,,78760.0,20256.0,85231.25,17562.5,18950.0,80685.0,61590.0,39005.0,91243.0,151843.75,245475.0,137125.0,70987.5,115765.6,132030.0,80787.5,86545.2,111650.0,48168.75,50600.0,47700.0,28570.0,193820.0,25470.0,27880.0,133315.0,23610.0,12425.0,20700.0,108740.0,48745.0,75423.6,156190.0,48537.5,16889.6,129775.0,86300.0,32190.0,213812.6,123484.4,151812.5,21537.5,32050.0,126410.0,332687.5,54665.0,161590.0,131660.0,111955.0,124650.0,76535.0,124187.5,27900.0,410532.84,10500.0,111250.0,60625.0,67710.0,95000.0,134910.0,8790.0,160900.0,26395.0,9290.0,53550.0,24280.0,39854.0,19755.0,163720.0,27950.0,30735.0,103700.0,71690.0,119000.0,56100.0,8705.0,146850.0,111518.75,17062500.0,26520.0,94440.0,39737.5,250837.5,127960.0,148660.0,112210.0,110925.0,251825.0
2018-01-08,,78530.0,20124.0,85237.5,17362.5,19140.0,80620.0,61900.0,39070.0,91670.0,151062.5,245475.0,137350.0,70962.5,115789.1,132120.0,80762.5,86037.0,111587.5,46931.25,50105.0,46890.0,29190.0,194730.0,25405.0,28380.0,133780.0,23780.0,12500.0,20797.5,109580.0,48855.0,75839.4,156240.0,48337.5,16553.6,129400.0,85825.0,32150.0,213812.6,123484.4,151750.0,21387.5,32170.0,126310.0,334187.5,54835.0,161800.0,131730.0,111975.0,124800.0,76380.0,124175.0,27700.0,410553.675,11660.0,111800.0,60400.0,67880.0,95100.0,134930.0,8780.0,160960.0,26700.0,9320.0,52815.0,24400.0,39998.0,19815.0,164060.0,28350.0,30845.0,105450.0,71780.0,119775.0,56400.0,8672.5,146162.5,110743.75,16931250.0,26630.0,94470.0,39475.0,250837.5,128040.0,148870.0,112225.0,111012.5,251825.0
2018-01-09,,78340.0,20220.0,85075.0,17450.0,18990.0,80345.0,63480.0,39175.0,91830.0,150675.0,245462.5,137512.5,71375.0,115593.8,131360.0,80537.5,87040.8,112037.5,46931.25,50402.0,47070.0,29270.0,194310.0,25370.0,29570.0,133600.0,23890.0,12450.0,20467.5,109620.0,48540.0,77826.0,155870.0,48187.5,16497.6,128600.0,85025.0,31820.0,213796.8,123000.0,150062.5,21612.5,32290.0,126805.0,334587.5,55195.0,161300.0,131610.0,111965.0,124280.0,76705.0,124175.0,27660.0,410553.675,11760.0,112240.0,61400.0,69250.0,94800.0,135540.0,8820.0,160660.0,26815.0,9380.0,53550.0,24475.0,40230.0,19905.0,162380.0,29260.0,30735.0,105800.0,71620.0,119150.0,56490.0,8712.5,146612.5,110706.25,16818750.0,26760.0,95040.0,39650.0,250837.5,127940.0,148450.0,112220.0,112162.5,251825.0
2018-01-10,,78540.0,20070.0,84862.5,17450.0,19410.0,79820.0,63350.0,39825.0,91640.0,150818.75,245450.0,137537.5,71112.5,115609.4,131740.0,80912.5,87267.6,113250.0,46481.25,50710.0,47470.0,30310.0,193580.0,25335.0,29080.0,133525.0,23810.0,12550.0,20535.0,108000.0,48795.0,77288.4,156180.0,47750.0,16408.0,129262.5,84950.0,31640.0,213781.2,122968.8,149875.0,21712.5,32190.0,126765.0,331700.0,55010.0,161070.0,131560.0,111965.0,124120.0,76805.0,124150.0,27660.0,410553.675,11550.0,111740.0,61425.0,69100.0,94250.0,134505.0,8820.0,159850.0,26430.0,9575.0,53130.0,24300.0,40262.0,19800.0,162020.0,28870.0,30900.0,104700.0,72030.0,118175.0,56530.0,8692.5,146137.5,111137.5,16662500.0,26510.0,94250.0,39300.0,250837.5,127850.0,148200.0,112210.0,112587.5,251825.0
2018-01-11,,79020.0,19890.0,85056.25,17437.5,19280.0,79970.0,63450.0,41325.0,91178.0,151818.75,245450.0,138475.0,70687.5,115640.6,132290.0,80687.5,86751.0,113412.5,46050.0,51150.0,47550.0,29530.0,196130.0,25355.0,29540.0,134535.0,23460.0,12525.0,20475.0,107865.0,49450.0,77208.6,158670.0,47500.0,15881.6,129237.5,85000.0,31310.0,213765.6,123015.6,150000.0,21662.5,32120.0,126865.0,329837.5,54845.0,160310.0,131120.0,111860.0,123850.0,77070.0,124150.0,27640.0,410553.675,11560.0,111420.0,61375.0,69150.0,94000.0,134170.0,8830.0,159280.0,26485.0,9620.0,53865.0,24230.0,39920.0,19770.0,161600.0,30900.0,30960.0,104000.0,72640.0,118975.0,56390.0,8777.5,146800.0,111643.75,16732500.0,26520.0,94180.0,39462.5,250825.0,127540.0,147690.0,112155.0,112662.5,251825.0
2018-01-12,,79300.0,19878.0,86275.0,17312.5,19140.0,80385.0,64330.0,40840.0,90305.0,153962.5,245400.0,139450.0,71325.0,115539.1,133830.0,80575.0,87322.2,113631.25,45843.75,51359.0,47780.0,29730.0,196910.0,25680.0,29880.0,135440.0,23620.0,12475.0,20430.0,111990.0,49935.0,78577.8,159550.0,48025.0,15881.6,130762.5,86225.0,31700.0,213671.8,122953.1,150500.0,21025.0,32160.0,128985.0,330612.5,55130.0,160380.0,131050.0,111850.0,123600.0,77215.0,124137.5,27500.0,410532.84,11675.0,111850.0,61625.0,69810.0,94400.0,134475.0,8890.0,159220.0,26570.0,9620.0,54558.0,24345.0,40067.0,19815.0,162240.0,31760.0,31170.0,103950.0,72630.0,119250.0,56490.0,8765.0,147437.5,111350.0,16928750.0,26600.0,94550.0,39700.0,250837.5,127450.0,147670.0,112140.0,113312.5,251750.0
2018-01-15,,79300.0,19878.0,86275.0,17312.5,19140.0,80385.0,64330.0,40840.0,90305.0,153962.5,245400.0,139450.0,71325.0,115539.1,133830.0,80575.0,88036.2,113631.25,45843.75,51359.0,47780.0,29730.0,196910.0,25680.0,29880.0,135440.0,23620.0,12475.0,20430.0,111990.0,49935.0,78577.8,159610.0,48025.0,15881.6,130762.5,86225.0,31700.0,213671.8,122953.1,150500.0,21025.0,32170.0,128985.0,330100.0,55060.0,160340.0,131090.0,111870.0,123750.0,77110.0,124137.5,27500.0,410532.84,11570.0,111840.0,62150.0,70210.0,93950.0,133880.0,8890.0,159210.0,26510.0,9620.0,54558.0,24345.0,39939.0,19820.0,161840.0,31760.0,31170.0,104850.0,72630.0,119250.0,56160.0,8765.0,147437.5,111350.0,16928750.0,26630.0,94490.0,39700.0,250825.0,127490.0,147600.0,112150.0,113312.5,251775.0
