DATE,CASH,F_AD,F_BO,F_BP,F_C,F_CC,F_CD,F_CL,F_CT,F_DX,F_EC,F_ED,F_ES,F_FC,F_FV,F_GC,F_HG,F_HO,F_JY,F_KC,F_LB,F_LC,F_LN,F_MD,F_MP,F_NG,F_NQ,F_NR,F_O,F_OJ,F_PA,F_PL,F_RB,F_RU,F_S,F_SB,F_SF,F_SI,F_SM,F_TU,F_TY,F_US,F_W,F_XX,F_YM,F_AX,F_CA,F_DT,F_UB,F_UZ,F_GS,F_LX,F_SS,F_DL,F_ZQ,F_VX,F_AE,F_BG,F_BC,F_LU,F_DM,F_AH,F_CF,F_DZ,F_FB,F_FL,F_FM,F_FP,F_FY,F_GX,F_HP,F_LR,F_LQ,F_ND,F_NY,F_PQ,F_RR,F_RF,F_RP,F_RY,F_SH,F_SX,F_TR,F_EB,F_VF,F_VT,F_VW,F_GD,F_F
2018-01-02,,78580.0,20172.0,85462.5,17700.0,19470.0,80135.0,60740.0,39645.0,91500.0,152556.25,245600.0,134800.0,73587.5,116148.4,132040.0,82737.5,87641.4,112650.0,48993.75,49709.0,49400.0,28800.0,192240.0,25075.0,30970.0,130465.0,23840.0,12137.5,20625.0,109045.0,47525.0,76053.6,155310.0,48500.0,17180.8,130450.0,86250.0,31950.0,214109.4,124000.0,152906.3,21812.5,31600.0,124285.0,323500.0,53220.0,161780.0,131640.0,111980.0,125170.0,76505.0,124200.0,28260.0,410616.18,11600.0,108570.0,60825.0,67290.0,95700.0,131510.0,8860.0,160870.0,25535.0,9195.0,55755.0,23700.0,38969.0,19350.0,163740.0,30580.0,30595.0,101300.0,71330.0,114675.0,54640.0,8662.5,146500.0,111987.5,16977500.0,25820.0,92690.0,39837.5,250837.5,127950.0,148370.0,112215.0,111037.5,251850.0
2018-01-03,,78580.0,20346.0,85537.5,17737.5,19430.0,80150.0,61970.0,39145.0,91560.0,152350.0,245562.5,135712.5,73562.5,116085.9,132300.0,82000.0,87700.2,112525.0,49256.25,50017.0,49340.0,28480.0,192870.0,25235.0,30560.0,131825.0,23540.0,12262.5,21127.5,108930.0,48295.0,76251.0,155770.0,48500.0,17214.4,130262.5,86425.0,31910.0,214015.6,123890.6,152406.3,21850.0,31660.0,124540.0,325462.5,53380.0,161820.0,131760.0,112000.0,124960.0,76390.0,124212.5,28180.0,410595.345,10900.0,109830.0,61275.0,68030.0,95400.0,132345.0,8860.0,161430.0,26065.0,9170.0,54810.0,23885.0,39302.0,19460.0,164140.0,30310.0,30955.0,101800.0,71130.0,116225.0,55330.0,8680.0,146962.5,111768.75,16958750.0,26170.0,94050.0,39675.0,250837.5,127980.0,148600.0,112220.0,111950.0,251850.0
2018-01-04,,78800.0,20388.0,85193.75,17675.0,19100.0,80240.0,62210.0,39695.0,91570.0,152625.0,245537.5,136450.0,74275.0,115976.6,132730.0,82450.0,87574.2,112187.5,48618.75,50127.0,49450.0,28720.0,193740.0,25415.0,30700.0,132350.0,23590.0,12337.5,20947.5,110170.0,48575.0,76360.2,156410.0,48450.0,17180.8,129900.0,86600.0,32050.0,213921.8,123781.3,152406.3,21800.0,31850.0,125410.0,330075.0,54250.0,161750.0,131700.0,111970.0,124820.0,76455.0,124200.0,28360.0,410574.51,10800.0,110430.0,61300.0,68270.0,94750.0,134190.0,8890.0,160930.0,26245.0,9320.0,53970.0,24060.0,39623.0,19615.0,164220.0,30220.0,30950.0,104250.0,71660.0,118500.0,56170.0,8730.0,147112.5,112062.5,17067500.0,26300.0,94360.0,39975.0,250837.5,127970.0,148680.0,112215.0,112075.0,251850.0
2018-01-05,,78880.0,20460.0,85343.75,17612.5,19040.0,81060.0,62040.0,40025.0,91400.0,152531.25,245512.5,137162.5,72612.5,116007.8,132470.0,81900.0,87108.0,111956.25,48581.25,50677.0,48770.0,28660.0,193890.0,25480.0,28870.0,133420.0,23700.0,12500.0,20865.0,109800.0,48775.0,76309.8,156260.0,48850.0,17068.8,129850.0,86625.0,32330.0,213937.6,123875.0,152656.3,21687.5,32110.0,126410.0,333575.0,54680.0,161870.0,131740.0,111970.0,124900.0,76705.0,124200.0,28140.0,410574.51,10700.0,111350.0,61975.0,68110.0,95100.0,135145.0,8820.0,161140.0,26420.0,9355.0,53550.0,24280.0,39854.0,19790.0,164640.0,27960.0,30985.0,103700.0,71890.0,119250.0,56350.0,8710.0,147162.5,111900.0,17101250.0,26570.0,94660.0,39787.5,250837.5,127990.0,148660.0,112215.0,111337.5,251850.0
2018-01-08,,78850.0,20334.0,85350.0,17575.0,19170.0,80900.0,61970.0,39395.0,91705.0,152143.75,245500.0,137425.0,71187.5,115851.6,132300.0,81137.5,86654.4,111793.75,47868.75,50864.0,47600.0,29360.0,194890.0,25480.0,28690.0,133815.0,23930.0,12562.5,21000.0,109835.0,48960.0,75873.0,156590.0,48575.0,16856.0,129750.0,86500.0,32250.0,213859.4,123625.0,152218.8,21612.5,32220.0,126795.0,335212.5,54930.0,162040.0,131820.0,111990.0,124950.0,76740.0,124200.0,27880.0,410574.51,11850.0,111840.0,60925.0,67990.0,95250.0,135720.0,8790.0,161270.0,26700.0,9350.0,52815.0,24400.0,39998.0,19860.0,164460.0,28350.0,30945.0,105500.0,71880.0,119950.0,56400.0,8747.5,146775.0,111443.75,17060000.0,26660.0,94930.0,39825.0,250837.5,128080.0,148870.0,112230.0,111125.0,251850.0
2018-01-09,,78770.0,20256.0,85331.25,17500.0,19400.0,80770.0,63480.0,39350.0,91930.0,151162.5,245500.0,138000.0,71525.0,115828.1,132140.0,81475.0,87040.8,112312.5,46987.5,50677.0,47200.0,29380.0,195280.0,25445.0,29660.0,134145.0,24080.0,12625.0,21000.0,110780.0,48850.0,77859.6,156770.0,48425.0,16542.4,129475.0,85850.0,32190.0,213890.6,123500.0,151812.5,21687.5,32320.0,127075.0,335537.5,55285.0,162000.0,131810.0,112000.0,124730.0,76765.0,124175.0,27960.0,410574.51,11800.0,112280.0,61400.0,69250.0,94800.0,135685.0,8820.0,161020.0,26865.0,9405.0,53550.0,24475.0,40230.0,19925.0,164280.0,29260.0,30870.0,105800.0,72000.0,120125.0,56490.0,8725.0,146675.0,110918.75,16955000.0,26800.0,95180.0,39862.5,250837.5,128070.0,148450.0,112230.0,112212.5,251850.0
2018-01-10,,78790.0,20298.0,85200.0,17500.0,19560.0,80580.0,63540.0,39965.0,91855.0,151693.75,245475.0,137600.0,72212.5,115664.1,132860.0,81862.5,87528.0,113406.25,47231.25,50897.0,48080.0,30820.0,194390.0,25490.0,29890.0,133735.0,23940.0,12700.0,20580.0,109815.0,48960.0,78048.6,156410.0,48175.0,16632.0,129650.0,86100.0,31840.0,213843.8,123093.8,150187.5,21750.0,32330.0,126920.0,334412.5,55240.0,161370.0,131670.0,111980.0,124300.0,76985.0,124175.0,27740.0,410553.675,12050.0,112330.0,61625.0,69370.0,94300.0,135570.0,8840.0,160700.0,26765.0,9600.0,53130.0,24300.0,40262.0,19895.0,163120.0,29680.0,30920.0,104700.0,72320.0,119400.0,56530.0,8732.5,146775.0,111412.5,16840000.0,26660.0,95090.0,39675.0,250837.5,127950.0,148200.0,112215.0,112925.0,251850.0
2018-01-11,,79070.0,20130.0,85150.0,17525.0,19600.0,80015.0,64530.0,41325.0,91875.0,152187.5,245462.5,138525.0,71100.0,115640.6,132470.0,81412.5,87687.6,113631.25,46500.0,51216.0,47630.0,30360.0,196270.0,25425.0,29570.0,134575.0,24000.0,12712.5,20752.5,108635.0,49550.0,78422.4,158970.0,47875.0,16329.6,129325.0,85325.0,31830.0,213843.8,123031.3,150062.5,21725.0,32280.0,126945.0,332437.5,55110.0,161550.0,131720.0,111985.0,124500.0,77160.0,124175.0,27760.0,410553.675,11600.0,111880.0,61900.0,70050.0,94100.0,134805.0,8870.0,160050.0,26645.0,9640.0,53970.0,24235.0,39964.0,19865.0,163440.0,30900.0,31075.0,104000.0,72670.0,119175.0,56440.0,8792.5,146900.0,111887.5,16811250.0,26550.0,94620.0,39587.5,250825.0,127960.0,148370.0,112220.0,113287.5,251850.0
2018-01-12,,79360.0,20040.0,86331.25,17500.0,19440.0,80385.0,64410.0,42325.0,91200.0,154187.5,245450.0,139500.0,71400.0,115632.8,134000.0,81225.0,87334.8,113750.0,46218.75,51612.0,47850.0,29820.0,197000.0,25755.0,29960.0,135555.0,23660.0,12600.0,20647.5,112430.0,50210.0,78775.2,160200.0,48137.5,16004.8,130787.5,86500.0,31770.0,213765.6,123062.5,150593.8,21800.0,32230.0,129065.0,331475.0,55165.0,160650.0,131210.0,111880.0,123940.0,77355.0,124162.5,27760.0,410553.675,11700.0,111850.0,61750.0,69930.0,94400.0,134680.0,8900.0,159400.0,26650.0,9650.0,54558.0,24390.0,40067.0,19855.0,162840.0,32050.0,31195.0,103950.0,72800.0,119350.0,56490.0,8787.5,147575.0,112093.75,16961250.0,26700.0,94680.0,39700.0,250837.5,127550.0,147670.0,112155.0,113350.0,251775.0
2018-01-15,,79300.0,19878.0,86275.0,17312.5,19140.0,80385.0,64330.0,40840.0,90305.0,153962.5,245400.0,139450.0,71325.0,115539.1,133830.0,80575.0,88200.0,113631.25,45843.75,51359.0,47780.0,29730.0,196910.0,25680.0,29880.0,135440.0,23620.0,12475.0,20430.0,111990.0,49935.0,78577.8,160130.0,48025.0,15881.6,130762.5,86225.0,31700.0,213671.8,122953.1,150500.0,21025.0,32260.0,128985.0,331575.0,55210.0,160760.0,131270.0,111890.0,123970.0,77450.0,124150.0,27500.0,410532.84,11800.0,112080.0,62275.0,70370.0,94000.0,134625.0,8890.0,159350.0,26630.0,9645.0,54558.0,24350.0,40075.0,19845.0,162660.0,31760.0,31170.0,104850.0,72630.0,119250.0,56160.0,8765.0,147437.5,111350.0,16928750.0,26690.0,94760.0,39700.0,250825.0,127600.0,147770.0,112160.0,113312.5,251775.0
2018-01-16,,79910.0,20004.0,86800.0,17462.5,19510.0,80770.0,64830.0,41025.0,90150.0,155150.0,245412.5,140425.0,72075.0,115625.0,134500.0,82275.0,87288.6,114431.25,45693.75,52250.0,48250.0,30560.0,197860.0,26090.0,29750.0,136915.0,24480.0,12637.5,21225.0,113300.0,50310.0,79094.4,160710.0,48500.0,15803.2,131925.0,87250.0,32300.0,213718.8,123156.3,151031.3,21137.5,32280.0,130305.0,333650.0,55335.0,160970.0,131270.0,111895.0,124200.0,77350.0,124175.0,26800.0,410532.84,12380.0,112190.0,62100.0,69700.0,94500.0,135190.0,8880.0,159650.0,26685.0,9645.0,54600.0,24450.0,40013.0,19895.0,163600.0,31430.0,31355.0,106250.0,73190.0,120075.0,56640.0,8820.0,147850.0,111868.75,17030000.0,26680.0,94740.0,40175.0,250837.5,127610.0,147920.0,112165.0,113525.0,251775.0
2018-01-17,,80360.0,19698.0,87575.0,17662.5,19990.0,81010.0,64140.0,41110.0,90265.0,155475.0,245362.5,140475.0,73700.0,115546.9,134450.0,80525.0,87045.0,114475.0,46425.0,52745.0,49270.0,30400.0,197290.0,26340.0,30380.0,136685.0,24540.0,12800.0,21135.0,111395.0,50645.0,79224.6,159330.0,48462.5,15388.8,132025.0,86550.0,32460.0,213640.6,123062.5,151187.5,21162.5,32240.0,130600.0,331287.5,55185.0,160970.0,131260.0,111890.0,124140.0,76920.0,124175.0,27420.0,410532.84,12450.0,112470.0,61500.0,69210.0,93500.0,135750.0,8890.0,159700.0,26620.0,9650.0,54810.0,24405.0,40146.0,19905.0,163840.0,32630.0,31070.0,106000.0,73360.0,120725.0,56140.0,8795.0,147462.5,111825.0,17015000.0,26600.0,93890.0,40100.0,250825.0,127640.0,148010.0,112180.0,113200.0,251800.0
2018-01-18,,80190.0,19608.0,87375.0,17700.0,20110.0,80660.0,64280.0,41970.0,90335.0,154725.0,245375.0,140400.0,73750.0,115296.9,133330.0,80400.0,86671.2,113950.0,46462.5,52987.0,49440.0,30490.0,197040.0,26330.0,30700.0,136760.0,24480.0,13087.5,21847.5,111170.0,50615.0,79657.2,159210.0,48737.5,15220.8,131975.0,85700.0,32890.0,213546.8,122593.8,150250.0,21287.5,32210.0,130745.0,332537.5,55160.0,160700.0,131230.0,111905.0,123810.0,76860.0,124162.5,27500.0,410532.84,12450.0,112940.0,61375.0,69240.0,92600.0,136045.0,8880.0,159500.0,26785.0,9625.0,54285.0,24445.0,40255.0,19890.0,162980.0,31930.0,31165.0,106000.0,73260.0,120700.0,56670.0,8802.5,147125.0,110931.25,17057500.0,26670.0,94010.0,40500.0,250837.5,127600.0,147920.0,112185.0,113237.5,251800.0
2018-01-19,,80510.0,19410.0,87568.75,17700.0,19700.0,80755.0,63730.0,41880.0,90080.0,155081.25,245375.0,140750.0,73937.5,115273.4,134270.0,80850.0,86713.2,114150.0,45656.25,53119.0,49540.0,30430.0,198330.0,26415.0,29980.0,137140.0,24460.0,13137.5,22027.5,111010.0,51045.0,79522.8,160150.0,49137.5,15064.0,132500.0,85650.0,33440.0,213546.8,122500.0,149375.0,21362.5,32390.0,130430.0,336712.5,55335.0,160850.0,131340.0,111940.0,123820.0,76850.0,124175.0,27220.0,410532.84,12250.0,113690.0,61350.0,68670.0,92550.0,137300.0,8890.0,159440.0,27100.0,9690.0,54096.0,24580.0,40614.0,19975.0,162740.0,31850.0,31300.0,106100.0,73290.0,119575.0,56850.0,8787.5,147125.0,111025.0,17022500.0,26820.0,94440.0,40575.0,250837.5,127610.0,147740.0,112195.0,113125.0,251800.0
2018-01-22,,80400.0,19476.0,87856.25,17725.0,19750.0,80525.0,64130.0,41975.0,90070.0,154731.25,245400.0,141912.5,73312.5,115171.9,134030.0,80462.5,86847.6,114075.0,46256.25,52998.0,49640.0,30270.0,199360.0,26385.0,29900.0,138825.0,24460.0,13300.0,22335.0,110545.0,51195.0,79598.4,160900.0,49362.5,15086.4,131712.5,85525.0,33890.0,213484.4,122359.4,149281.3,21375.0,32500.0,131125.0,337875.0,55570.0,160820.0,131350.0,111940.0,123670.0,76845.0,124162.5,27320.0,410532.84,12200.0,114060.0,61575.0,69110.0,92800.0,137860.0,8900.0,159450.0,27195.0,9795.0,53970.0,24590.0,40815.0,20060.0,162800.0,32350.0,31360.0,106550.0,73340.0,119900.0,57410.0,8800.0,147412.5,110806.25,17036250.0,26800.0,94480.0,40800.0,250850.0,127600.0,147770.0,112195.0,113262.5,251800.0
2018-01-23,,80420.0,19596.0,88106.25,17600.0,19700.0,80625.0,64880.0,41840.0,89965.0,155206.25,245400.0,142237.5,73750.0,115265.6,134660.0,80312.5,87885.0,114393.75,45900.0,52349.0,50020.0,30230.0,199830.0,26235.0,31290.0,139625.0,24600.0,13737.5,22320.0,109585.0,50665.0,80703.0,161630.0,49437.5,14873.6,132075.0,85450.0,34000.0,213578.2,122515.6,149687.5,21250.0,32580.0,131575.0,339900.0,55795.0,161130.0,131450.0,111950.0,123790.0,76920.0,124175.0,27360.0,410532.84,12050.0,114430.0,62250.0,69810.0,92300.0,138140.0,8920.0,159480.0,27240.0,9875.0,54285.0,24675.0,40833.0,20125.0,163540.0,35670.0,31160.0,105250.0,73690.0,121000.0,57880.0,8822.5,147400.0,110400.0,17043750.0,26870.0,95000.0,40750.0,250837.5,127660.0,147920.0,112205.0,114325.0,251800.0
2018-01-24,,80950.0,19680.0,89568.75,17850.0,19640.0,81290.0,66050.0,41365.0,89475.0,156562.5,245400.0,142762.5,73862.5,115289.1,136680.0,81062.5,88536.0,115725.0,46162.5,52426.0,50180.0,30530.0,200390.0,26565.0,31320.0,140085.0,24400.0,13937.5,22485.0,110815.0,51400.0,81043.2,161920.0,49737.5,14840.0,134012.5,88125.0,34340.0,213593.8,122546.9,149500.0,21687.5,32580.0,131935.0,339300.0,55410.0,160850.0,131290.0,111930.0,123430.0,76825.0,124162.5,27140.0,410512.005,12600.0,113790.0,62775.0,70420.0,91900.0,137175.0,9060.0,159120.0,27010.0,9800.0,54600.0,24560.0,40534.0,20070.0,163000.0,30800.0,31900.0,106150.0,74590.0,120375.0,57480.0,8852.5,147200.0,110287.5,16973750.0,26790.0,95210.0,41387.5,250837.5,127570.0,147500.0,112195.0,115775.0,251800.0
2018-01-25,,81320.0,19710.0,90062.5,17900.0,19910.0,81515.0,66660.0,41425.0,88985.0,158075.0,245387.5,142687.5,73650.0,115234.4,137050.0,81450.0,89161.8,116200.0,47062.5,53119.0,50520.0,30610.0,199850.0,26795.0,31690.0,139745.0,24400.0,13950.0,22462.5,110935.0,51665.0,81186.0,161240.0,50100.0,14985.6,135937.5,88525.0,34850.0,213531.2,122468.8,149500.0,21937.5,32490.0,132185.0,336075.0,55245.0,160750.0,131250.0,111930.0,123110.0,76075.0,124137.5,26800.0,410491.17,12700.0,113530.0,63075.0,70780.0,92000.0,135640.0,9110.0,158910.0,26660.0,9765.0,54600.0,24480.0,39990.0,20005.0,163680.0,31380.0,32115.0,106550.0,73980.0,119200.0,57630.0,8942.5,146687.5,110262.5,17055000.0,26680.0,94730.0,41625.0,250837.5,127560.0,147290.0,112195.0,116387.5,251800.0
2018-01-26,,81490.0,19752.0,89700.0,17850.0,19980.0,81445.0,66350.0,40990.0,88750.0,157506.25,245362.5,143800.0,73737.5,115203.1,136100.0,80700.0,89703.6,116431.25,47006.25,53680.0,50040.0,29750.0,199720.0,26640.0,31970.0,140690.0,24780.0,13325.0,22530.0,109675.0,51315.0,81744.6,160990.0,49775.0,15064.0,135437.5,87650.0,34180.0,213453.2,122453.1,149468.8,22125.0,32450.0,133040.0,334625.0,55525.0,160360.0,130920.0,111895.0,123120.0,76430.0,124137.5,26720.0,410491.17,12550.0,113220.0,63125.0,70440.0,92150.0,135070.0,9100.0,158710.0,26750.0,9805.0,54600.0,24515.0,40151.0,19995.0,164180.0,31960.0,32020.0,107500.0,73800.0,119000.0,57650.0,8917.5,146012.5,110243.75,17033750.0,26540.0,94610.0,41550.0,250837.5,127350.0,147450.0,112185.0,116137.5,251800.0
2018-01-29,,81310.0,19782.0,88887.5,17962.5,20040.0,81320.0,66460.0,40310.0,89010.0,156731.25,245325.0,143925.0,74737.5,114984.4,135630.0,80887.5,89325.6,116181.25,47193.75,53889.0,50450.0,29680.0,199980.0,26545.0,31880.0,140945.0,24970.0,13525.0,22935.0,108885.0,50870.0,81635.4,161280.0,49937.5,15344.0,135262.5,87350.0,34160.0,213359.4,122125.0,148906.3,22487.5,32360.0,133420.0,334262.5,55445.0,159640.0,130610.0,111835.0,122560.0,76565.0,124125.0,26900.0,410491.17,13600.0,113400.0,63000.0,70270.0,92300.0,135740.0,9080.0,158290.0,26875.0,9830.0,57624.0,24525.0,40328.0,19965.0,163160.0,31670.0,31695.0,107250.0,73700.0,119000.0,57490.0,8852.5,145412.5,110637.5,16932500.0,26720.0,94380.0,41312.5,250837.5,127130.0,146340.0,112165.0,115262.5,251800.0
