DATE,CASH,F_AD,F_BO,F_BP,F_C,F_CC,F_CD,F_CL,F_CT,F_DX,F_EC,F_ED,F_ES,F_FC,F_FV,F_GC,F_HG,F_HO,F_JY,F_KC,F_LB,F_LC,F_LN,F_MD,F_MP,F_NG,F_NQ,F_NR,F_O,F_OJ,F_PA,F_PL,F_RB,F_RU,F_S,F_SB,F_SF,F_SI,F_SM,F_TU,F_TY,F_US,F_W,F_XX,F_YM,F_AX,F_CA,F_DT,F_UB,F_UZ,F_GS,F_LX,F_SS,F_DL,F_ZQ,F_VX,F_AE,F_BG,F_BC,F_LU,F_DM,F_AH,F_CF,F_DZ,F_FB,F_FL,F_FM,F_FP,F_FY,F_GX,F_HP,F_LR,F_LQ,F_ND,F_NY,F_PQ,F_RR,F_RF,F_RP,F_RY,F_SH,F_SX,F_TR,F_EB,F_VF,F_VT,F_VW,F_GD,F_F
2018-01-02,,78090.0,19938.0,84850.0,17525.0,18620.0,79740.0,60100.0,38650.0,91040.0,151575.0,245525.0,133725.0,71775.0,115898.4,130460.0,81687.5,86301.6,111912.5,47250.0,48741.0,48880.0,28270.0,189890.0,24775.0,29230.0,127955.0,23420.0,11937.5,20250.0,105660.0,46725.0,74230.8,153350.0,47937.5,16844.8,129800.0,84925.0,31620.0,213937.6,123531.3,151375.0,21412.5,31270.0,123580.0,318275.0,52695.0,161180.0,131430.0,111930.0,124050.0,75710.0,124175.0,27840.0,410595.345,10850.0,108540.0,59750.0,66240.0,95300.0,129755.0,8840.0,160870.0,25015.0,9070.0,55755.0,23610.0,38969.0,19205.0,162300.0,29770.0,30185.0,101300.0,70860.0,113275.0,54640.0,8587.5,146075.0,111268.75,16891250.0,25820.0,92690.0,39175.0,250837.5,127840.0,148370.0,112195.0,110450.0,251825.0
2018-01-03,,78180.0,20112.0,84781.25,17612.5,18880.0,79795.0,60280.0,38685.0,91105.0,151537.5,245512.5,134612.5,73075.0,115937.5,130890.0,80912.5,86709.0,112093.75,47325.0,49214.0,48940.0,28080.0,191730.0,24950.0,29590.0,130225.0,23230.0,12100.0,20452.5,107565.0,47175.0,74163.6,154790.0,48175.0,17001.6,129112.5,85325.0,31700.0,213906.2,123640.6,151531.3,21600.0,31420.0,123840.0,322037.5,52910.0,161200.0,131490.0,111950.0,124060.0,75870.0,124175.0,27900.0,410553.675,10600.0,108840.0,59750.0,66400.0,95050.0,130635.0,8830.0,160670.0,25405.0,9100.0,54810.0,23840.0,39302.0,19325.0,162280.0,29980.0,30520.0,101000.0,70760.0,113975.0,55300.0,8615.0,146200.0,111131.25,16873750.0,26040.0,92880.0,39137.5,250825.0,127850.0,148600.0,112215.0,111087.5,251825.0
2018-01-04,,78280.0,20220.0,84850.0,17512.5,18360.0,79780.0,61590.0,39030.0,91090.0,151556.25,245437.5,135425.0,72512.5,115750.0,130710.0,81125.0,86784.6,111818.75,47475.0,49500.0,48840.0,28330.0,192410.0,25175.0,28400.0,131600.0,23050.0,12225.0,20632.5,107590.0,47455.0,74932.2,155300.0,47962.5,16632.0,129325.0,85125.0,31550.0,213750.0,123421.9,151593.8,21550.0,31660.0,124390.0,325387.5,53465.0,161260.0,131540.0,111940.0,124500.0,76140.0,124187.5,28040.0,410532.84,10500.0,109690.0,60675.0,67620.0,94600.0,132390.0,8850.0,160610.0,26000.0,9175.0,53970.0,24000.0,39623.0,19470.0,162880.0,28800.0,30750.0,102000.0,70750.0,115575.0,56170.0,8657.5,146612.5,111525.0,16918750.0,26110.0,93760.0,39437.5,250837.5,127890.0,148490.0,112205.0,111687.5,251825.0
2018-01-05,,78480.0,20220.0,84968.75,17512.5,18660.0,80040.0,61090.0,38905.0,91080.0,151750.0,245450.0,136187.5,70575.0,115765.6,131460.0,80562.5,86079.0,111356.25,47962.5,49687.0,47700.0,28360.0,192940.0,25170.0,27460.0,131995.0,23360.0,12275.0,20497.5,108050.0,48185.0,75079.2,155180.0,48375.0,16777.6,129250.0,85650.0,31960.0,213781.2,123468.8,151656.3,21375.0,31910.0,125295.0,329137.5,54115.0,161500.0,131590.0,111945.0,124530.0,76305.0,124187.5,27860.0,410532.84,10400.0,110780.0,60300.0,67260.0,95000.0,133915.0,8790.0,160860.0,26145.0,9255.0,53550.0,24210.0,39854.0,19575.0,163520.0,27600.0,30705.0,103700.0,71480.0,117725.0,56100.0,8680.0,146537.5,111362.5,17018750.0,26350.0,94240.0,39462.5,250825.0,127940.0,148660.0,112205.0,110687.5,251825.0
2018-01-08,,78390.0,19974.0,84956.25,17337.5,18700.0,80435.0,61340.0,38965.0,91180.0,150931.25,245475.0,136825.0,70275.0,115734.4,131570.0,80512.5,85684.2,111300.0,46612.5,50061.0,46710.0,28670.0,193010.0,25305.0,27840.0,133065.0,23570.0,12325.0,20512.5,108400.0,48555.0,75083.4,154710.0,48025.0,16284.8,129250.0,85325.0,31890.0,213781.2,123406.3,151468.8,21287.5,32110.0,126050.0,333200.0,54715.0,161390.0,131590.0,111940.0,124410.0,76320.0,124162.5,27660.0,410553.675,11500.0,111550.0,60175.0,67440.0,95100.0,134835.0,8760.0,160880.0,26300.0,9295.0,52815.0,24340.0,39998.0,19785.0,163160.0,28350.0,30740.0,105000.0,71580.0,119125.0,56400.0,8667.5,145987.5,110687.5,16913750.0,26600.0,94390.0,39275.0,250837.5,127930.0,148870.0,112205.0,110650.0,251800.0
2018-01-09,,78190.0,20004.0,84825.0,17362.5,18910.0,80255.0,61800.0,39015.0,91530.0,150418.75,245462.5,137137.5,70062.5,115585.9,130950.0,80312.5,85583.4,111493.75,45975.0,50050.0,46680.0,28980.0,194280.0,25230.0,28250.0,133345.0,23650.0,12400.0,20340.0,109350.0,48220.0,75730.2,155870.0,48050.0,16150.4,128475.0,84725.0,31720.0,213781.2,122984.4,150031.3,21262.5,32210.0,126190.0,333850.0,54805.0,161200.0,131570.0,111960.0,124180.0,76475.0,124162.5,27600.0,410532.84,11550.0,111730.0,60200.0,67700.0,94800.0,135055.0,8760.0,160660.0,26680.0,9335.0,53550.0,24455.0,40175.0,19815.0,162220.0,28270.0,30645.0,105800.0,71620.0,118950.0,56490.0,8672.5,146087.5,110618.75,16777500.0,26670.0,94400.0,39287.5,250837.5,127930.0,148450.0,112215.0,111050.0,251825.0
2018-01-10,,78200.0,19938.0,84693.75,17400.0,19000.0,79580.0,62950.0,39165.0,91220.0,150506.25,245425.0,136825.0,70850.0,115484.4,130890.0,80437.5,86688.0,111887.5,46125.0,50435.0,47320.0,30010.0,193030.0,25160.0,28690.0,132565.0,23690.0,12350.0,20332.5,107700.0,48115.0,76734.0,154850.0,47587.5,16273.6,128437.5,84650.0,31550.0,213750.0,122703.1,149093.8,21575.0,32120.0,126110.0,330475.0,54885.0,160910.0,131520.0,111955.0,123950.0,76575.0,124150.0,27520.0,410532.84,11550.0,111500.0,60775.0,68750.0,93800.0,134165.0,8810.0,159710.0,26320.0,9395.0,53130.0,24275.0,40262.0,19775.0,161520.0,28860.0,30640.0,104700.0,71430.0,117900.0,56530.0,8687.5,146025.0,110668.75,16653750.0,26500.0,94120.0,38987.5,250837.5,127840.0,148200.0,112210.0,112212.5,251800.0
2018-01-11,,78500.0,19848.0,84537.5,17400.0,19140.0,79540.0,63270.0,39710.0,91105.0,150550.0,245425.0,137387.5,70150.0,115609.4,131610.0,80162.5,86751.0,112787.5,45806.25,50622.0,47220.0,29440.0,193330.0,25145.0,28010.0,133285.0,23390.0,12500.0,20310.0,107080.0,48675.0,77091.0,155910.0,47450.0,15803.2,129187.5,84400.0,31250.0,213750.0,122953.1,149843.8,21425.0,32060.0,126660.0,328562.5,54755.0,160270.0,131080.0,111845.0,123800.0,76760.0,124150.0,27600.0,410532.84,11450.0,111370.0,61250.0,69000.0,94000.0,133790.0,8820.0,159190.0,26470.0,9535.0,53865.0,24170.0,39920.0,19730.0,161300.0,30020.0,30830.0,104000.0,71860.0,118100.0,56250.0,8697.5,146062.5,111068.75,16655000.0,26440.0,93810.0,39175.0,250825.0,127530.0,147690.0,112150.0,112625.0,251800.0
2018-01-12,,78600.0,19698.0,85031.25,17275.0,18940.0,79690.0,62980.0,40150.0,90100.0,151825.0,245375.0,138337.5,70325.0,115367.2,132080.0,80400.0,86373.0,112956.25,45337.5,50908.0,47390.0,29530.0,195940.0,25365.0,29110.0,134065.0,23410.0,12437.5,20302.5,108000.0,49380.0,77523.6,158530.0,47225.0,15635.2,129400.0,84975.0,31030.0,213593.8,122625.0,149531.3,20937.5,32070.0,127655.0,328937.5,54835.0,160110.0,130920.0,111830.0,123260.0,76930.0,124125.0,27500.0,410512.005,11450.0,111240.0,60950.0,68590.0,94200.0,134065.0,8840.0,159170.0,26345.0,9575.0,54495.0,24310.0,40032.0,19750.0,161560.0,31040.0,30915.0,103950.0,72230.0,117975.0,56190.0,8745.0,146725.0,111181.25,16751250.0,26570.0,94150.0,39275.0,250837.5,127390.0,147670.0,112140.0,112562.5,251725.0
2018-01-15,,79300.0,19878.0,86275.0,17312.5,19140.0,80385.0,64330.0,40840.0,89615.0,153962.5,245400.0,139450.0,71325.0,115539.1,133830.0,80575.0,87179.4,113631.25,45843.75,51359.0,47780.0,29730.0,196910.0,25680.0,29880.0,135440.0,23620.0,12475.0,20430.0,111990.0,49935.0,78577.8,158970.0,48025.0,15881.6,130762.5,86225.0,31700.0,213671.8,122953.1,150500.0,21025.0,32070.0,128985.0,329100.0,54985.0,160300.0,131080.0,111860.0,123660.0,77045.0,124137.5,27500.0,410532.84,11500.0,111610.0,61450.0,69550.0,93800.0,133830.0,8890.0,159180.0,26485.0,9580.0,54558.0,24325.0,39939.0,19780.0,161780.0,31760.0,31170.0,104850.0,72630.0,119250.0,56150.0,8765.0,147437.5,111350.0,16928750.0,26610.0,94190.0,39700.0,250825.0,127470.0,147600.0,112145.0,113312.5,251750.0
