DATE,CASH,F_AD,F_BO,F_BP,F_C,F_CC,F_CD,F_CL,F_CT,F_DX,F_EC,F_ED,F_ES,F_FC,F_FV,F_GC,F_HG,F_HO,F_JY,F_KC,F_LB,F_LC,F_LN,F_MD,F_MP,F_NG,F_NQ,F_NR,F_O,F_OJ,F_PA,F_PL,F_RB,F_RU,F_S,F_SB,F_SF,F_SI,F_SM,F_TU,F_TY,F_US,F_W,F_XX,F_YM,F_AX,F_CA,F_DT,F_UB,F_UZ,F_GS,F_LX,F_SS,F_DL,F_ZQ,F_VX,F_AE,F_BG,F_BC,F_LU,F_DM,F_AH,F_CF,F_DZ,F_FB,F_FL,F_FM,F_FP,F_FY,F_GX,F_HP,F_LR,F_LQ,F_ND,F_NY,F_PQ,F_RR,F_RF,F_RP,F_RY,F_SH,F_SX,F_TR,F_EB,F_VF,F_VT,F_VW,F_GD,F_F
2018-01-02,,78260.0,20034.0,84893.75,17562.5,19000.0,79765.0,60200.0,39320.0,91465.0,151743.75,245600.0,133762.5,71775.0,116125.0,130530.0,82412.5,87641.4,112050.0,47250.0,48741.0,48900.0,28800.0,189890.0,24780.0,30300.0,128100.0,23840.0,12037.5,20617.5,105820.0,46820.0,75600.0,154260.0,48375.0,16889.6,129962.5,85175.0,31830.0,214093.8,123984.4,152843.8,21412.5,31410.0,123675.0,323050.0,53220.0,161780.0,131630.0,111980.0,125170.0,76395.0,124187.5,28240.0,410616.18,11450.0,108570.0,60550.0,66550.0,95300.0,131040.0,8860.0,160870.0,25235.0,9150.0,55755.0,23665.0,38969.0,19350.0,163740.0,30110.0,30185.0,101300.0,70970.0,113750.0,54640.0,8612.5,146150.0,111668.75,16933750.0,25820.0,92690.0,39362.5,250837.5,127860.0,148370.0,112195.0,110500.0,251850.0
2018-01-03,,78400.0,20124.0,85400.0,17650.0,19420.0,80055.0,60390.0,38755.0,91130.0,152225.0,245525.0,134687.5,73500.0,115992.2,131900.0,81937.5,86709.0,112468.75,48750.0,49357.0,49330.0,28440.0,191770.0,24950.0,30400.0,130265.0,23460.0,12150.0,20550.0,108720.0,47450.0,74218.2,155020.0,48287.5,17192.0,130212.5,86125.0,31840.0,213968.8,123687.5,151687.5,21762.5,31520.0,123980.0,322450.0,52930.0,161260.0,131500.0,111950.0,124090.0,75990.0,124187.5,28000.0,410595.345,10900.0,109450.0,60050.0,66540.0,95400.0,130685.0,8860.0,160730.0,25600.0,9165.0,54810.0,23870.0,39302.0,19335.0,162640.0,30010.0,30595.0,101800.0,71040.0,114125.0,55300.0,8620.0,146412.5,111418.75,16943750.0,26110.0,92970.0,39212.5,250825.0,127850.0,148600.0,112215.0,111162.5,251825.0
2018-01-04,,78420.0,20292.0,84906.25,17650.0,18820.0,79885.0,61960.0,39055.0,91535.0,151668.75,245525.0,135512.5,73437.5,115968.8,131550.0,81425.0,87565.8,112143.75,48075.0,49830.0,49230.0,28580.0,192480.0,25225.0,30150.0,131675.0,23370.0,12250.0,20902.5,108065.0,48070.0,76171.2,155390.0,48425.0,17102.4,129437.5,85775.0,31880.0,213906.2,123765.6,152218.8,21787.5,31660.0,124420.0,325500.0,53465.0,161440.0,131610.0,111965.0,124640.0,76380.0,124187.5,28080.0,410574.51,10690.0,109700.0,61100.0,67890.0,94750.0,132390.0,8880.0,160920.0,26165.0,9185.0,53970.0,24000.0,39623.0,19470.0,163160.0,30220.0,30950.0,102000.0,70960.0,116075.0,56170.0,8667.5,146687.5,111612.5,16922500.0,26200.0,94000.0,39525.0,250837.5,127890.0,148490.0,112205.0,111862.5,251850.0
2018-01-05,,78770.0,20316.0,85137.5,17537.5,18870.0,80205.0,61900.0,39575.0,91120.0,152387.5,245462.5,136250.0,72612.5,115867.2,132440.0,81462.5,87108.0,111893.75,48450.0,49951.0,48740.0,28600.0,193170.0,25310.0,28770.0,132160.0,23380.0,12275.0,20707.5,109325.0,48440.0,76293.0,155750.0,48400.0,17001.6,129737.5,86325.0,31980.0,213843.8,123671.9,152312.5,21650.0,31920.0,125335.0,329212.5,54120.0,161700.0,131670.0,111965.0,124800.0,76495.0,124200.0,28040.0,410553.675,10580.0,110810.0,61200.0,67970.0,95100.0,134090.0,8820.0,160890.0,26280.0,9325.0,53550.0,24215.0,39854.0,19575.0,164180.0,27930.0,30875.0,103700.0,71580.0,118400.0,56350.0,8700.0,147000.0,111900.0,17037500.0,26370.0,94240.0,39650.0,250837.5,127940.0,148660.0,112205.0,111025.0,251825.0
2018-01-08,,78800.0,20244.0,85256.25,17537.5,18850.0,80700.0,61610.0,39050.0,91335.0,151881.25,245475.0,137087.5,70837.5,115773.4,132180.0,80837.5,86373.0,111562.5,47850.0,50501.0,47600.0,28670.0,193860.0,25475.0,28120.0,133355.0,23620.0,12450.0,20700.0,108825.0,48560.0,75440.4,156140.0,48487.5,16788.8,129650.0,86350.0,32140.0,213796.8,123484.4,151843.8,21512.5,32160.0,126360.0,334175.0,54740.0,161640.0,131660.0,111945.0,124500.0,76740.0,124200.0,27840.0,410553.675,11750.0,111630.0,60500.0,67800.0,95250.0,135150.0,8790.0,160950.0,26500.0,9320.0,52815.0,24350.0,39998.0,19815.0,163800.0,28350.0,30870.0,105000.0,71720.0,119200.0,56400.0,8715.0,146662.5,111331.25,17041250.0,26610.0,94770.0,39775.0,250837.5,127930.0,148870.0,112205.0,111125.0,251850.0
2018-01-09,,78490.0,20136.0,85256.25,17375.0,19090.0,80645.0,61920.0,39040.0,91640.0,151050.0,245487.5,137325.0,70975.0,115789.1,132120.0,80762.5,86112.6,111518.75,46987.5,50237.0,46900.0,29330.0,194790.0,25445.0,28380.0,133745.0,23810.0,12512.5,20857.5,109600.0,48850.0,75826.8,156270.0,48337.5,16508.8,129387.5,85800.0,32150.0,213812.6,123468.8,151781.3,21387.5,32260.0,126230.0,334075.0,54805.0,161670.0,131700.0,111975.0,124550.0,76550.0,124175.0,27680.0,410553.675,11670.0,111770.0,60700.0,68000.0,94800.0,135055.0,8800.0,160920.0,26680.0,9340.0,53550.0,24455.0,40175.0,19825.0,163780.0,28850.0,30820.0,105800.0,71700.0,119875.0,56490.0,8692.5,146200.0,110725.0,16946250.0,26690.0,94400.0,39500.0,250837.5,128030.0,148450.0,112225.0,111050.0,251825.0
2018-01-10,,78350.0,20190.0,85075.0,17437.5,19060.0,80365.0,63310.0,39175.0,91795.0,150681.25,245462.5,137487.5,71612.5,115601.6,131330.0,80512.5,87015.6,112062.5,47043.75,50446.0,47900.0,30790.0,194270.0,25390.0,29620.0,133595.0,23850.0,12450.0,20370.0,109580.0,48590.0,77788.2,155890.0,48137.5,16464.0,128637.5,84925.0,31820.0,213796.8,122984.4,150031.3,21612.5,32220.0,126770.0,334200.0,55175.0,161000.0,131540.0,111955.0,124070.0,76740.0,124162.5,27600.0,410553.675,11800.0,112280.0,61300.0,69120.0,93800.0,135540.0,8840.0,160500.0,26765.0,9395.0,53130.0,24290.0,40262.0,19880.0,161900.0,29530.0,30690.0,104700.0,71550.0,119150.0,56530.0,8730.0,146662.5,110743.75,16821250.0,26640.0,95090.0,39650.0,250837.5,127890.0,148200.0,112210.0,112925.0,251825.0
2018-01-11,,78540.0,20070.0,84862.5,17450.0,19500.0,79810.0,63340.0,39775.0,91640.0,150806.25,245450.0,137500.0,70650.0,115609.4,131750.0,80900.0,87435.6,113268.75,46481.25,50842.0,47320.0,30300.0,193530.0,25320.0,28190.0,133530.0,23800.0,12550.0,20542.5,108005.0,48810.0,77334.6,156270.0,47700.0,16284.8,129250.0,85000.0,31600.0,213781.2,122968.8,149906.3,21712.5,32260.0,126755.0,332112.5,55060.0,161380.0,131650.0,111975.0,124350.0,76810.0,124150.0,27600.0,410532.84,11570.0,111740.0,61475.0,69150.0,94000.0,134780.0,8820.0,160010.0,26530.0,9570.0,53865.0,24235.0,39960.0,19840.0,162920.0,30170.0,30915.0,104000.0,72040.0,118200.0,56250.0,8707.5,146250.0,111068.75,16657500.0,26450.0,94420.0,39425.0,250825.0,127920.0,148370.0,112215.0,112875.0,251825.0
2018-01-12,,79020.0,19848.0,85062.5,17437.5,19260.0,79985.0,63500.0,41425.0,91080.0,151900.0,245437.5,138437.5,70737.5,115601.6,132360.0,80637.5,86373.0,113418.75,46050.0,51128.0,47560.0,29530.0,196180.0,25365.0,29540.0,134510.0,23500.0,12500.0,20385.0,108025.0,49480.0,78166.2,158670.0,47412.5,15960.0,129587.5,85000.0,31260.0,213750.0,122984.4,150156.3,21662.5,32170.0,127695.0,331087.5,55050.0,160420.0,131130.0,111870.0,123810.0,77180.0,124162.5,27700.0,410553.675,11550.0,111520.0,61475.0,69150.0,94200.0,134385.0,8850.0,159270.0,26565.0,9605.0,54558.0,24320.0,40032.0,19820.0,161700.0,31550.0,31065.0,103950.0,72700.0,119000.0,56490.0,8775.0,146737.5,111606.25,16753750.0,26600.0,94430.0,39562.5,250837.5,127510.0,147670.0,112145.0,112875.0,251750.0
2018-01-15,,79300.0,19878.0,86275.0,17312.5,19140.0,80385.0,64330.0,40840.0,90165.0,153962.5,245400.0,139450.0,71325.0,115539.1,133830.0,80575.0,87179.4,113631.25,45843.75,51359.0,47780.0,29730.0,196910.0,25680.0,29880.0,135440.0,23620.0,12475.0,20430.0,111990.0,49935.0,78577.8,159480.0,48025.0,15881.6,130762.5,86225.0,31700.0,213671.8,122953.1,150500.0,21025.0,32260.0,128985.0,331412.5,55140.0,160590.0,131170.0,111880.0,123740.0,77450.0,124137.5,27500.0,410532.84,11800.0,111850.0,61875.0,69880.0,94000.0,134625.0,8890.0,159180.0,26615.0,9600.0,54558.0,24350.0,39970.0,19840.0,162480.0,31760.0,31170.0,104850.0,72630.0,119250.0,56150.0,8765.0,147437.5,111350.0,16928750.0,26670.0,94690.0,39700.0,250825.0,127470.0,147770.0,112145.0,113312.5,251750.0
