DATE,CASH,F_AD,F_BO,F_BP,F_C,F_CC,F_CD,F_CL,F_CT,F_DX,F_EC,F_ED,F_ES,F_FC,F_FV,F_GC,F_HG,F_HO,F_JY,F_KC,F_LB,F_LC,F_LN,F_MD,F_MP,F_NG,F_NQ,F_NR,F_O,F_OJ,F_PA,F_PL,F_RB,F_RU,F_S,F_SB,F_SF,F_SI,F_SM,F_TU,F_TY,F_US,F_W,F_XX,F_YM,F_AX,F_CA,F_DT,F_UB,F_UZ,F_GS,F_LX,F_SS,F_DL,F_ZQ,F_VX,F_AE,F_BG,F_BC,F_LU,F_DM,F_AH,F_CF,F_DZ,F_FB,F_FL,F_FM,F_FP,F_FY,F_GX,F_HP,F_LR,F_LQ,F_ND,F_NY,F_PQ,F_RR,F_RF,F_RP,F_RY,F_SH,F_SX,F_TR,F_EB,F_VF,F_VT,F_VW,F_GD,F_F
2018-01-02,0.0,64332.0,41593.0,97164.0,136756.0,26852.0,60762.0,492008.0,20981.0,19616.0,188544.0,277037.0,966768.0,6915.0,590461.0,268244.0,105093.0,7095.0,96611.0,30168.0,503.0,24613.0,18451.0,20383.0,50586.0,300448.0,256225.0,456.0,342.0,740.0,4653.0,14566.0,54930.0,21585.0,62885.0,52804.0,23023.0,75337.0,30996.0,223361.0,1019150.0,237670.0,68906.0,804.0,104841.0,82936.0,47.0,485951.0,363330.0,247441.0,178808.0,98483.0,57948.0,273.0,4692.0,91441.0,3.0,78858.0,211703.0,171.0,469.0,11881.0,0.0,329.0,5942.0,0.0,1315.0,0.0,21623.0,47902.0,1587.0,3069.0,19.0,25245.0,5047.0,0.0,877.0,331.0,2899.0,1526.0,0.0,0.0,1595.0,100.0,240.0,0.0,334.0,125.0,330.0
2018-01-03,0.0,75530.0,48728.0,104827.0,122048.0,21350.0,54518.0,659359.0,13372.0,17209.0,182126.0,357836.0,1077020.0,4478.0,534355.0,342134.0,102824.0,6923.0,93074.0,38631.0,547.0,25135.0,17713.0,19348.0,59371.0,251384.0,220817.0,428.0,443.0,1044.0,2878.0,19369.0,57397.0,16161.0,61369.0,59103.0,25574.0,88056.0,35382.0,256910.0,904226.0,196922.0,69201.0,748.0,93248.0,67357.0,142.0,607557.0,488075.0,309725.0,178911.0,74309.0,74777.0,165.0,15984.0,101077.0,31.0,114896.0,260718.0,85.0,481.0,5825.0,372.0,486.0,6556.0,0.0,77.0,0.0,22965.0,52111.0,6194.0,4170.0,6.0,25230.0,8249.0,142.0,455.0,507.0,1444.0,1649.0,211.0,48273.0,1129.0,0.0,332.0,0.0,300.0,49.0,1502.0
2018-01-04,0.0,96850.0,48940.0,67526.0,165368.0,30322.0,64797.0,634483.0,15374.0,15731.0,203846.0,412011.0,1139096.0,6375.0,686675.0,350803.0,104084.0,3507.0,114860.0,21972.0,487.0,28328.0,16220.0,12177.0,48625.0,300232.0,251194.0,674.0,275.0,765.0,3160.0,21879.0,59525.0,16039.0,108125.0,67416.0,17096.0,90091.0,63801.0,362127.0,1080110.0,220031.0,57541.0,1452.0,113766.0,88384.0,284.0,642023.0,446829.0,213541.0,165369.0,86349.0,36790.0,253.0,10033.0,101500.0,12.0,84022.0,246106.0,159.0,737.0,4897.0,226.0,408.0,12613.0,0.0,34.0,0.0,57761.0,49508.0,2307.0,3246.0,124.0,28101.0,16421.0,0.0,1284.0,465.0,1922.0,2238.0,303.0,41195.0,1676.0,36.0,979.0,4.0,499.0,461.0,2659.0
2018-01-05,0.0,96628.0,38662.0,76212.0,132909.0,14402.0,102821.0,543707.0,24676.0,13752.0,186064.0,233318.0,1088652.0,6953.0,800915.0,321559.0,83585.0,2590.0,132298.0,23128.0,815.0,34538.0,12952.0,12642.0,50326.0,215179.0,209788.0,272.0,417.0,497.0,2771.0,18780.0,45446.0,14806.0,76564.0,45961.0,20542.0,82978.0,43465.0,324272.0,1337881.0,245621.0,60263.0,974.0,106760.0,71373.0,302.0,467759.0,338772.0,267240.0,152972.0,76175.0,29205.0,144.0,13189.0,77332.0,128.0,84581.0,183432.0,79.0,497.0,4616.0,103.0,113.0,5903.0,0.0,18.0,0.0,38959.0,38193.0,3749.0,2196.0,223.0,25015.0,11577.0,50.0,469.0,614.0,2141.0,2028.0,1392.0,36616.0,1650.0,36.0,40.0,0.0,88.0,25.0,716.0
2018-01-08,0.0,86015.0,55463.0,75060.0,256181.0,21988.0,61109.0,569682.0,16891.0,15958.0,197304.0,117394.0,872508.0,5463.0,387620.0,237591.0,84763.0,2426.0,81018.0,32146.0,473.0,44336.0,27653.0,12581.0,33104.0,206118.0,192041.0,421.0,445.0,587.0,3150.0,14983.0,53873.0,14516.0,81342.0,89020.0,19629.0,83767.0,53282.0,126022.0,714240.0,142485.0,69856.0,1083.0,108094.0,67674.0,654.0,454684.0,368132.0,299219.0,137078.0,69281.0,76663.0,199.0,2990.0,54957.0,209.0,111147.0,208932.0,230.0,309.0,468.0,255.0,278.0,10576.0,0.0,201.0,0.0,32197.0,28235.0,259.0,3094.0,149.0,21656.0,15319.0,0.0,188.0,1104.0,2408.0,1846.0,115.0,24284.0,1381.0,0.0,282.0,0.0,575.0,2404.0,7684.0
2018-01-09,0.0,111740.0,49441.0,77803.0,137800.0,20729.0,62089.0,802640.0,12792.0,21576.0,196698.0,202507.0,1116650.0,7136.0,850825.0,320846.0,95998.0,3233.0,175182.0,25440.0,452.0,35127.0,24133.0,12071.0,49074.0,259405.0,270346.0,429.0,478.0,1171.0,2637.0,21411.0,74826.0,14203.0,57704.0,74739.0,26135.0,91726.0,39281.0,385471.0,1587178.0,361446.0,61621.0,1260.0,123387.0,64302.0,263.0,724366.0,443707.0,311325.0,182865.0,75190.0,18170.0,543.0,11651.0,85911.0,275.0,109359.0,319653.0,204.0,377.0,2011.0,118.0,297.0,5085.0,0.0,48.0,1.0,32801.0,47978.0,2932.0,1583.0,39.0,37808.0,13810.0,0.0,595.0,1295.0,1566.0,4183.0,603.0,41281.0,2106.0,0.0,440.0,0.0,337.0,2447.0,1864.0
2018-01-10,0.0,131533.0,46971.0,109804.0,130251.0,21757.0,112822.0,281054.0,16686.0,24556.0,291458.0,306365.0,1260310.0,5857.0,1018968.0,382466.0,93964.0,3567.0,248863.0,22543.0,560.0,33188.0,26490.0,12896.0,71035.0,228343.0,315436.0,207.0,402.0,530.0,3548.0,18806.0,68192.0,18468.0,94989.0,60377.0,31029.0,109410.0,51939.0,383038.0,2014119.0,415379.0,60953.0,578.0,142923.0,86878.0,131.0,870619.0,535663.0,339142.0,196329.0,91733.0,69426.0,181.0,6493.0,119324.0,178.0,135735.0,290514.0,210.0,420.0,2052.0,698.0,311.0,13832.0,0.0,73.0,0.0,36327.0,57946.0,2625.0,1305.0,16.0,40376.0,16983.0,0.0,615.0,879.0,2570.0,5280.0,274.0,38094.0,2724.0,3.0,542.0,0.0,424.0,3803.0,2424.0
2018-01-11,0.0,116100.0,53130.0,110077.0,144829.0,19113.0,91448.0,423674.0,34198.0,22698.0,316877.0,266175.0,1007348.0,5361.0,6009.0,254517.0,94870.0,6416.0,179838.0,23291.0,644.0,30186.0,24217.0,12041.0,48619.0,219174.0,223105.0,392.0,360.0,585.0,3777.0,17570.0,62951.0,25042.0,78926.0,100061.0,415.0,109970.0,69986.0,355997.0,21037.0,2922.0,71755.0,300.0,2201.0,82563.0,387.0,1056088.0,953272.0,833244.0,224248.0,70449.0,181957.0,155.0,12707.0,85179.0,154.0,91699.0,341893.0,109.0,947.0,408.0,586.0,327.0,17881.0,2.0,42.0,3.0,62439.0,74882.0,968.0,1767.0,35.0,38421.0,12482.0,198.0,885.0,1541.0,2475.0,4089.0,330.0,34122.0,1503.0,0.0,897.0,100.0,468.0,2488.0,4347.0
2018-01-12,0.0,122778.0,60725.0,199526.0,195191.0,19043.0,89854.0,296968.0,41882.0,40561.0,393458.0,453843.0,1299878.0,4062.0,943368.0,355191.0,81521.0,2997.0,197546.0,27393.0,446.0,30663.0,19452.0,11995.0,78718.0,225492.0,271957.0,223.0,223.0,593.0,5240.0,24468.0,47221.0,21323.0,140352.0,88690.0,40748.0,116121.0,70310.0,365981.0,1541008.0,284498.0,127587.0,5008.0,150833.0,75804.0,832.0,781171.0,898928.0,557628.0,219484.0,90137.0,128979.0,272.0,12413.0,154526.0,1389.0,55310.0,302020.0,126.0,359.0,361.0,248.0,361.0,10736.0,1.0,570.0,303.0,31566.0,69970.0,1496.0,1569.0,1.0,35691.0,14078.0,0.0,1245.0,1488.0,4326.0,4997.0,137.0,32745.0,2220.0,0.0,836.0,0.0,265.0,2455.0,3143.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,46563.0,32455.0,328101.0,359793.0,295125.0,91832.0,44702.0,20149.0,0.0,0.0,8893.0,5645.0,60789.0,173445.0,210.0,451.0,0.0,165.0,70.0,6311.0,0.0,79.0,20.0,42571.0,35065.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,220.0,17316.0,0.0,5.0,503.0,60.0,472.0,0.0,2515.0
