DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,76040.0,76100.0,75840.0,75880.0,250,-535.259922,40.682487,665.0,-0.000132,0.007428,75890.0,76670.0,-1.0
1990-02-07,75280.0,75360.0,74740.0,75110.0,389,-623.525347,36.28602,723.571429,-0.010148,0.007651,75880.0,75890.0,-1.0
1990-02-08,74520.0,74950.0,74510.0,74790.0,464,-672.647983,34.595614,746.428571,-0.00426,0.007658,75110.0,75880.0,-1.0
1990-02-09,74600.0,74630.0,74230.0,74300.0,528,-717.795035,32.117727,769.285714,-0.006552,0.007639,74790.0,75110.0,1.0
1990-02-12,74550.0,74870.0,74550.0,74740.0,343,-693.179495,36.542008,662.142857,0.005922,0.007675,74300.0,74790.0,-1.0
1990-02-13,74800.0,75020.0,74250.0,74360.0,530,-697.955795,34.465101,619.285714,-0.005084,0.007677,74740.0,74300.0,-1.0
1990-02-14,73960.0,74150.0,73750.0,73920.0,578,-734.970333,32.173246,606.428571,-0.005917,0.007717,74360.0,74740.0,1.0
1990-02-15,74480.0,74680.0,74440.0,74660.0,538,-688.656224,39.502897,635.714286,0.010011,0.008156,73920.0,74360.0,1.0
1990-02-16,75150.0,75250.0,75000.0,75200.0,475,-601.776208,44.195085,647.142857,0.007233,0.008303,74660.0,73920.0,0.0
1990-02-20,75920.0,75950.0,75400.0,75430.0,662,-501.570246,46.098911,662.142857,0.003059,0.008315,75200.0,74660.0,1.0
1990-02-21,74980.0,76560.0,74960.0,76340.0,1104,-341.404276,52.921503,730.0,0.012064,0.00881,75430.0,75200.0,-1.0
1990-02-22,76200.0,76370.0,75790.0,75970.0,895,-226.946125,50.173824,738.571429,-0.004847,0.008818,76340.0,75430.0,0.0
1990-02-23,75870.0,76300.0,75870.0,76250.0,224,-101.938117,52.205986,732.857143,0.003686,0.007014,75970.0,76340.0,0.0
1990-02-26,76300.0,76360.0,76050.0,76320.0,163,28.253519,52.723207,680.714286,0.000918,0.00651,76250.0,75970.0,-1.0
1990-02-27,75630.0,75800.0,75400.0,75400.0,1058,58.661782,45.725766,727.857143,-0.012055,0.006838,76320.0,76250.0,0.0
1990-02-28,75530.0,75800.0,75480.0,75640.0,297,123.617699,47.69963,675.0,0.003183,0.006859,75400.0,76320.0,1.0
1990-03-01,76190.0,76190.0,76000.0,76100.0,459,189.01834,51.34079,671.428571,0.006081,0.006946,75640.0,75400.0,-1.0
1990-03-02,76030.0,76030.0,75670.0,75800.0,149,212.123044,48.961201,662.142857,-0.003942,0.006947,76100.0,75640.0,0.0
1990-03-05,75590.0,75680.0,75490.0,75610.0,198,216.29382,47.455097,643.571429,-0.002507,0.006717,75800.0,76100.0,1.0
1990-03-06,75920.0,75950.0,75860.0,75900.0,541,229.422249,49.990097,612.857143,0.003835,0.006777,75610.0,75800.0,0.0
1990-03-07,75670.0,75900.0,75650.0,75850.0,76,222.955667,49.547949,587.142857,-0.000659,0.006667,75900.0,75610.0,-1.0
1990-03-08,74460.0,74700.0,74460.0,74700.0,110,108.005072,40.639028,632.142857,-0.015162,0.007085,75850.0,75900.0,0.0
1990-03-09,74500.0,74580.0,74500.0,74510.0,131,-14.895469,39.360428,604.285714,-0.002544,0.007094,74700.0,75850.0,0.0
1990-03-12,74350.0,74350.0,74150.0,74260.0,1205,-125.398035,37.676442,576.428571,-0.003355,0.00681,74510.0,74700.0,1.0
1990-03-13,74500.0,75050.0,74500.0,74990.0,1962,-144.80797,45.088955,518.571429,0.00983,0.007096,74260.0,74510.0,0.0
1990-03-14,74900.0,75050.0,74890.0,74950.0,609,-172.002321,44.777748,488.571429,-0.000533,0.00694,74990.0,74260.0,-1.0
1990-03-15,74250.0,74560.0,74150.0,74320.0,771,-228.234821,40.082772,515.0,-0.008406,0.00707,74950.0,74990.0,0.0
1990-03-16,74040.0,74250.0,74040.0,74100.0,1136,-303.763826,38.549828,512.857143,-0.00296,0.007015,74320.0,74950.0,0.0
1990-03-19,74200.0,74350.0,74170.0,74320.0,264,-354.861798,40.987551,465.0,0.002969,0.006921,74100.0,74320.0,0.0
