DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2006-11-06,17020.0,17020.0,17020.0,17020.0,0,181.630668,55.685954,135.714286,0.00413,0.009723,16950.0,16910.0,0.0
2006-11-07,17070.0,17070.0,17070.0,17070.0,0,181.759386,56.46774,127.857143,0.002938,0.009674,17020.0,16950.0,0.0
2006-11-08,17060.0,17140.0,17060.0,17090.0,112,176.959435,56.795119,121.428571,0.001172,0.008835,17070.0,17020.0,1.0
2006-11-09,17250.0,17250.0,17250.0,17250.0,0,183.897301,59.421177,126.428571,0.009362,0.00806,17090.0,17070.0,-1.0
2006-11-10,16890.0,16890.0,16860.0,16860.0,500,145.640577,51.310452,151.428571,-0.022609,0.009745,17250.0,17090.0,-1.0
2006-11-13,16710.0,16710.0,16710.0,16710.0,0,100.202728,48.504726,146.428571,-0.008897,0.010016,16860.0,17250.0,0.0
2006-11-14,16780.0,16780.0,16780.0,16780.0,0,71.412509,49.894043,132.142857,0.004189,0.009546,16710.0,16860.0,0.0
2006-11-15,16850.0,16850.0,16850.0,16850.0,0,56.277451,51.303024,133.571429,0.004172,0.008584,16780.0,16710.0,-1.0
2006-11-16,16890.0,16890.0,16630.0,16630.0,71,23.469225,46.861487,145.0,-0.013056,0.009001,16850.0,16780.0,0.0
2006-11-17,16540.0,16640.0,16540.0,16640.0,27,-3.730426,47.088687,135.0,0.000601,0.008752,16630.0,16850.0,0.0
2006-11-20,16690.0,16690.0,16690.0,16690.0,0,-22.103132,48.278728,134.285714,0.003005,0.008491,16640.0,16630.0,1.0
2006-11-21,16960.0,16960.0,16960.0,16960.0,0,-9.339599,54.245296,144.285714,0.016177,0.009067,16690.0,16640.0,-1.0
2006-11-22,16860.0,16860.0,16860.0,16860.0,0,-11.2554,51.895467,132.857143,-0.005896,0.00918,16960.0,16690.0,1.0
2006-11-27,17220.0,17220.0,17210.0,17210.0,200,16.002215,58.681819,155.714286,0.020759,0.01011,16860.0,16960.0,0.0
