DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,11436.0,11478.0,11382.0,11454.0,12250,-18.331769,52.313152,129.428571,-0.002091,0.00968,11478.0,11568.0,1.0
1990-02-07,11478.0,11586.0,11466.0,11568.0,11313,-7.851021,55.730034,132.857143,0.009953,0.006988,11454.0,11478.0,1.0
1990-02-08,11604.0,11640.0,11568.0,11628.0,14152,4.71568,57.441422,126.0,0.005187,0.007104,11568.0,11454.0,0.0
1990-02-09,11628.0,11700.0,11598.0,11664.0,16642,17.100144,58.473364,123.857143,0.003096,0.007086,11628.0,11568.0,1.0
1990-02-12,11670.0,11850.0,11652.0,11796.0,21942,42.008055,62.091754,127.285714,0.011317,0.007484,11664.0,11628.0,0.0
1990-02-13,11802.0,11874.0,11712.0,11796.0,22386,63.549994,62.091754,133.285714,0.0,0.007152,11796.0,11664.0,1.0
1990-02-14,11772.0,11982.0,11742.0,11970.0,22785,93.441752,66.503814,140.571429,0.014751,0.007761,11796.0,11796.0,1.0
1990-02-15,11958.0,12072.0,11928.0,12066.0,25213,126.309117,68.640885,143.571429,0.00802,0.007156,11970.0,11796.0,-1.0
1990-02-16,12078.0,12078.0,11928.0,11964.0,14987,141.029289,64.005506,141.857143,-0.008454,0.007505,12066.0,11970.0,0.0
1990-02-20,11970.0,12012.0,11892.0,11946.0,15532,147.703244,63.187647,141.0,-0.001505,0.007532,11964.0,12066.0,1.0
1990-02-21,11952.0,12312.0,11952.0,12252.0,29360,178.910391,70.175214,159.0,0.025615,0.008549,11946.0,11964.0,1.0
1990-02-22,12384.0,12552.0,12366.0,12396.0,31026,215.083489,72.732714,166.285714,0.011753,0.00856,12252.0,11946.0,1.0
1990-02-23,12390.0,12540.0,12366.0,12522.0,25095,253.252488,74.749356,173.571429,0.010165,0.008581,12396.0,12252.0,-1.0
1990-02-26,12498.0,12522.0,12378.0,12396.0,20245,266.425038,69.286402,171.428571,-0.010062,0.009025,12522.0,12396.0,1.0
1990-02-27,12384.0,12498.0,12330.0,12492.0,28849,279.529495,71.040633,176.571429,0.007744,0.00857,12396.0,12522.0,1.0
1990-02-28,12510.0,12900.0,12510.0,12882.0,38926,320.726248,76.794656,196.285714,0.03122,0.010297,12492.0,12396.0,0.0
1990-03-01,12822.0,13020.0,12822.0,12846.0,28540,343.565683,75.351394,205.285714,-0.002795,0.010382,12882.0,12492.0,1.0
1990-03-02,12798.0,13080.0,12738.0,13068.0,25390,377.195771,78.093239,222.428571,0.017282,0.010356,12846.0,12882.0,1.0
1990-03-05,13068.0,13320.0,13032.0,13308.0,18289,415.31198,80.567173,228.857143,0.018365,0.010666,13068.0,12846.0,-1.0
1990-03-06,13206.0,13380.0,13206.0,13230.0,24149,430.726667,77.556974,229.714286,-0.005861,0.010969,13308.0,13068.0,1.0
1990-03-07,13230.0,13350.0,13158.0,13338.0,19042,450.515842,78.747954,226.285714,0.008163,0.010952,13230.0,13308.0,0.0
1990-03-08,13308.0,13572.0,13236.0,13344.0,24820,460.197446,78.814672,240.0,0.00045,0.010573,13338.0,13230.0,0.0
1990-03-09,13320.0,13440.0,13176.0,13392.0,14502,459.242264,79.372331,248.142857,0.003597,0.01041,13344.0,13338.0,0.0
1990-03-12,13332.0,13488.0,13284.0,13428.0,12713,452.131211,79.800254,254.142857,0.002688,0.010433,13392.0,13344.0,-1.0
1990-03-13,13380.0,13434.0,13200.0,13242.0,19434,420.121001,71.562134,244.714286,-0.013852,0.011329,13428.0,13392.0,-1.0
1990-03-14,13050.0,13182.0,13008.0,13062.0,28549,373.938924,64.522691,240.0,-0.013593,0.012067,13242.0,13428.0,1.0
1990-03-15,13020.0,13530.0,12978.0,13512.0,23358,370.74111,72.031796,267.0,0.034451,0.013541,13062.0,13242.0,0.0
1990-03-16,13512.0,13632.0,13422.0,13578.0,17864,360.214555,72.907374,271.714286,0.004885,0.013473,13512.0,13062.0,0.0
1990-03-19,13500.0,13656.0,13446.0,13626.0,17111,351.495805,73.552697,274.714286,0.003535,0.013357,13578.0,13512.0,0.0
1990-03-20,13632.0,13650.0,13500.0,13590.0,13202,330.266083,72.169159,256.285714,-0.002642,0.013473,13626.0,13578.0,-1.0
1990-03-21,13578.0,13578.0,13320.0,13356.0,20245,281.583333,63.752548,261.428571,-0.017219,0.014024,13590.0,13626.0,0.0
1990-03-22,13410.0,13440.0,13248.0,13290.0,18319,233.32522,61.534554,250.714286,-0.004942,0.01412,13356.0,13590.0,1.0
1990-03-23,13284.0,13404.0,13230.0,13392.0,11735,199.128711,63.649805,242.571429,0.007675,0.013368,13290.0,13356.0,0.0
1990-03-26,13380.0,13458.0,13242.0,13440.0,10100,173.020465,64.628068,245.571429,0.003584,0.013259,13392.0,13290.0,-1.0
1990-03-27,13452.0,13494.0,13290.0,13296.0,12500,132.716583,59.475336,246.428571,-0.010714,0.013524,13440.0,13392.0,-1.0
1990-03-28,13200.0,13200.0,12810.0,13002.0,32341,68.923153,50.522703,257.142857,-0.022112,0.014292,13296.0,13440.0,1.0
1990-03-29,12990.0,13164.0,12990.0,13104.0,13569,32.916882,53.213511,250.714286,0.007845,0.014294,13002.0,13296.0,1.0
1990-03-30,13080.0,13254.0,13074.0,13248.0,8152,21.816094,56.760884,249.0,0.010989,0.012929,13104.0,13002.0,-1.0
1990-04-02,13230.0,13308.0,13050.0,13062.0,11568,-14.77469,51.398862,250.714286,-0.01404,0.013317,13248.0,13104.0,0.0
1990-04-03,13062.0,13134.0,12936.0,13122.0,13128,-42.546133,52.964421,248.142857,0.004593,0.012838,13062.0,13248.0,1.0
1990-04-04,13140.0,13368.0,13104.0,13296.0,18336,-49.927178,57.245895,227.571429,0.01326,0.012537,13122.0,13062.0,0.0
1990-04-05,13296.0,13350.0,13212.0,13308.0,13812,-50.67459,57.529264,222.428571,0.000903,0.012469,13296.0,13122.0,-1.0
1990-04-06,13332.0,13338.0,13020.0,13062.0,17633,-69.421358,50.191682,230.142857,-0.018485,0.012957,13308.0,13296.0,-1.0
1990-04-09,13020.0,13062.0,12828.0,12918.0,19985,-93.341092,46.391392,236.142857,-0.011024,0.013132,13062.0,13308.0,0.0
1990-04-10,12900.0,13002.0,12822.0,12996.0,19473,-103.887155,48.683188,229.714286,0.006038,0.013186,12918.0,13062.0,1.0
1990-04-11,13080.0,13200.0,13038.0,13194.0,21295,-94.921328,54.024066,230.571429,0.015235,0.01363,12996.0,12918.0,0.0
1990-04-12,13140.0,13254.0,13134.0,13206.0,14199,-81.382091,54.329644,226.714286,0.00091,0.013312,13194.0,12996.0,1.0
1990-04-16,13206.0,13620.0,13086.0,13602.0,27552,-26.172319,63.049592,249.428571,0.029986,0.014397,13206.0,13194.0,1.0
1990-04-17,13560.0,13818.0,13542.0,13800.0,32825,34.343291,66.403118,254.571429,0.014557,0.012793,13602.0,13206.0,-1.0
1990-04-18,13770.0,13824.0,13626.0,13626.0,22912,62.807624,61.220252,234.0,-0.012609,0.013083,13800.0,13602.0,0.0
1990-04-19,13620.0,13740.0,13548.0,13704.0,21172,94.198708,62.645736,235.285714,0.005724,0.013117,13626.0,13800.0,1.0
1990-04-20,13830.0,14010.0,13776.0,13968.0,23773,138.839161,67.037086,244.285714,0.019264,0.013699,13704.0,13626.0,1.0
