DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,105712.5,105800.0,105362.5,105600.0,8058,962.121794,73.565636,838.392857,0.001541,0.004918,105437.5,104412.5,-1.0
1990-02-07,105775.0,105775.0,105025.0,105175.0,9289,985.056087,70.15714,854.464286,-0.004025,0.004703,105600.0,105437.5,0.0
1990-02-08,104962.5,105137.5,104662.5,105062.5,8428,960.833967,69.238939,834.821429,-0.00107,0.004732,105175.0,105600.0,0.0
1990-02-09,104975.0,105375.0,104750.0,105250.0,8778,960.729555,69.945697,822.321429,0.001785,0.004672,105062.5,105175.0,0.0
1990-02-12,105187.5,105437.5,105087.5,105150.0,10059,927.462388,69.036295,762.5,-0.00095,0.004634,105250.0,105062.5,0.0
1990-02-13,104625.0,105150.0,104500.0,104912.5,16622,869.509299,66.812404,755.357143,-0.002259,0.004661,105150.0,105250.0,1.0
1990-02-14,105287.5,105450.0,105225.0,105350.0,7136,828.369523,68.810107,750.892857,0.00417,0.004679,104912.5,105150.0,-1.0
1990-02-15,105362.5,105450.0,104750.0,104850.0,12452,755.92816,64.082272,750.892857,-0.004746,0.004784,105350.0,104912.5,1.0
1990-02-16,104787.5,105525.0,104375.0,105425.0,10368,726.668644,66.911307,753.571429,0.005484,0.004751,104850.0,105350.0,1.0
1990-02-20,106162.5,106475.0,105862.5,106450.0,22235,784.470795,71.236771,680.357143,0.009723,0.004914,105425.0,104850.0,0.0
1990-02-21,106662.5,106787.5,106437.5,106600.0,9262,829.825381,71.811905,649.107143,0.001409,0.004915,106450.0,105425.0,0.0
1990-02-22,106562.5,106862.5,106412.5,106500.0,11489,816.031926,70.796994,648.214286,-0.000938,0.004658,106600.0,106450.0,0.0
1990-02-23,106425.0,106737.5,106187.5,106462.5,7576,778.882613,70.394837,656.25,-0.000352,0.004483,106500.0,106600.0,-1.0
1990-02-26,105800.0,105850.0,105037.5,105062.5,17867,611.429299,57.303193,681.25,-0.01315,0.005514,106462.5,106500.0,0.0
1990-02-27,105037.5,105462.5,105012.5,105275.0,7242,491.209665,58.579152,682.142857,0.002023,0.005458,105062.5,106462.5,-1.0
1990-02-28,105087.5,105400.0,104625.0,104700.0,13865,321.566287,53.895248,683.928571,-0.005462,0.005605,105275.0,105062.5,-1.0
1990-03-01,104062.5,104112.5,103450.0,103600.0,24412,88.79481,46.2368,736.607143,-0.010506,0.005646,104700.0,105275.0,-1.0
1990-03-02,103712.5,103725.0,102437.5,102762.5,14543,-170.577805,41.366027,783.928571,-0.008084,0.005795,103600.0,104700.0,0.0
1990-03-05,102725.0,102787.5,101937.5,102525.0,17262,-403.234337,40.066515,819.642857,-0.002311,0.005679,102762.5,103600.0,0.0
1990-03-06,103050.0,103050.0,102537.5,102712.5,8262,-552.170027,41.629157,810.714286,0.001829,0.005659,102525.0,102762.5,0.0
1990-03-07,102250.0,102550.0,102062.5,102500.0,9306,-686.491356,40.347547,818.75,-0.002069,0.005663,102712.5,102525.0,-1.0
1990-03-08,101000.0,101050.0,100637.5,100837.5,8960,-970.259903,32.023811,901.785714,-0.01622,0.006041,102500.0,102712.5,-1.0
1990-03-09,99687.5,99812.5,99062.5,99137.5,26085,-1340.718115,26.01601,946.428571,-0.016859,0.006757,100837.5,102500.0,0.0
1990-03-12,98950.0,99075.0,98662.5,98875.0,33761,-1638.64524,25.21587,905.357143,-0.002648,0.006752,99137.5,100837.5,0.0
1990-03-13,98250.0,99312.5,98137.5,98987.5,21479,-1845.665092,26.265307,964.285714,0.001138,0.006795,98875.0,99137.5,0.0
1990-03-14,98650.0,99087.5,98600.0,98937.5,6859,-1949.629141,26.090268,966.964286,-0.000505,0.006741,98987.5,98875.0,1.0
1990-03-15,98912.5,99875.0,98825.0,99787.5,11833,-1933.037206,34.13083,1002.678571,0.008591,0.007158,98937.5,98987.5,0.0
1990-03-16,99800.0,100125.0,99400.0,99600.0,9636,-1905.815411,33.278132,952.678571,-0.001879,0.007159,99787.5,98937.5,0.0
1990-03-19,99475.0,99525.0,98937.5,99250.0,9432,-1869.091332,31.683886,967.857143,-0.003514,0.007013,99600.0,99787.5,-1.0
