DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,11837.5,11925.0,11825.0,11887.5,28659,-49.732653,57.105259,74.107143,0.005285,0.005167,11825.0,11837.5,1.0
1990-02-07,11925.0,11975.0,11900.0,11962.5,28193,-43.540847,60.49187,76.785714,0.006309,0.005222,11887.5,11825.0,0.0
1990-02-08,11962.5,11987.5,11925.0,11950.0,24316,-39.754295,59.651855,79.464286,-0.001045,0.005222,11962.5,11887.5,0.0
1990-02-09,11950.0,12000.0,11925.0,11975.0,24202,-34.098362,60.82478,79.464286,0.002092,0.005189,11950.0,11962.5,1.0
1990-02-12,12012.5,12125.0,12012.5,12100.0,52291,-16.476203,66.117399,85.714286,0.010438,0.005614,11975.0,11950.0,0.0
1990-02-13,12062.5,12137.5,12062.5,12087.5,45814,-1.847018,65.178884,85.714286,-0.001033,0.004502,12100.0,11975.0,1.0
1990-02-14,12075.0,12150.0,12062.5,12150.0,30334,13.818342,67.653755,85.714286,0.005171,0.004439,12087.5,12100.0,0.0
1990-02-15,12150.0,12212.5,12125.0,12137.5,49826,25.477647,66.638881,86.607143,-0.001029,0.004303,12150.0,12087.5,-1.0
1990-02-16,12112.5,12137.5,12050.0,12062.5,34104,27.954198,60.744842,79.464286,-0.006179,0.004419,12137.5,12150.0,0.0
1990-02-20,12062.5,12087.5,12025.0,12075.0,30095,33.818388,61.362041,78.571429,0.001036,0.004401,12062.5,12137.5,1.0
1990-02-21,12075.0,12162.5,12050.0,12150.0,45771,47.126423,64.92203,83.035714,0.006211,0.004593,12075.0,12062.5,1.0
1990-02-22,12475.0,12725.0,12437.5,12625.0,71589,100.980142,78.407485,119.642857,0.039095,0.009345,12150.0,12075.0,0.0
1990-02-23,12625.0,12687.5,12587.5,12662.5,64370,143.930307,79.065977,122.321429,0.00297,0.009346,12625.0,12150.0,0.0
1990-02-26,12637.5,12675.0,12600.0,12650.0,60546,173.610165,78.212291,124.107143,-0.000987,0.009345,12662.5,12625.0,-1.0
1990-02-27,12637.5,12637.5,12562.5,12575.0,70920,188.368929,73.10687,123.214286,-0.005929,0.009333,12650.0,12662.5,1.0
1990-02-28,12550.0,12675.0,12537.5,12662.5,47478,204.765547,75.156534,126.785714,0.006958,0.009265,12575.0,12650.0,0.0
1990-03-01,12675.0,12775.0,12625.0,12637.5,55624,210.354444,73.446066,133.035714,-0.001974,0.009303,12662.5,12575.0,0.0
1990-03-02,12625.0,12637.5,12575.0,12625.0,39098,211.24573,72.555164,132.142857,-0.000989,0.009219,12637.5,12662.5,0.0
1990-03-05,12600.0,12625.0,12575.0,12600.0,34844,204.774535,70.706056,125.0,-0.00198,0.009239,12625.0,12637.5,0.0
1990-03-06,12587.5,12637.5,12537.5,12550.0,43931,192.146702,67.019904,126.785714,-0.003968,0.009265,12600.0,12625.0,-1.0
1990-03-07,12525.0,12562.5,12450.0,12462.5,47795,174.117083,61.002442,128.571429,-0.006972,0.009411,12550.0,12600.0,0.0
1990-03-08,12450.0,12500.0,12400.0,12475.0,49633,158.121528,61.537465,129.464286,0.001003,0.009386,12462.5,12550.0,0.0
1990-03-09,12462.5,12575.0,12450.0,12525.0,36316,146.183234,63.681689,132.142857,0.004008,0.009371,12475.0,12462.5,1.0
1990-03-12,12500.0,12700.0,12450.0,12687.5,41739,137.900279,69.591325,145.535714,0.012974,0.009608,12525.0,12475.0,-1.0
1990-03-13,12637.5,12700.0,12562.5,12575.0,51029,116.804176,62.148295,147.321429,-0.008867,0.009894,12687.5,12525.0,0.0
1990-03-14,12500.0,12575.0,12475.0,12537.5,40949,94.174893,59.830634,113.392857,-0.002982,0.00996,12575.0,12687.5,1.0
1990-03-15,12500.0,12687.5,12487.5,12662.5,38196,87.941002,64.585731,120.535714,0.00997,0.009942,12537.5,12575.0,0.0
1990-03-16,12650.0,12700.0,12625.0,12687.5,23140,81.90561,65.45774,120.535714,0.001974,0.009917,12662.5,12537.5,1.0
1990-03-19,12675.0,12875.0,12675.0,12850.0,51082,90.423368,70.527639,128.571429,0.012808,0.010155,12687.5,12662.5,1.0
1990-03-20,12900.0,12975.0,12787.5,12962.5,51873,105.794752,73.401481,132.142857,0.008755,0.010203,12850.0,12687.5,-1.0
1990-03-21,12950.0,12962.5,12850.0,12862.5,38966,108.303764,67.18471,129.464286,-0.007715,0.010274,12962.5,12850.0,1.0
1990-03-22,12875.0,13037.5,12837.5,12937.5,57513,116.105905,69.301084,139.285714,0.005831,0.010282,12862.5,12962.5,0.0
1990-03-23,12900.0,12937.5,12862.5,12925.0,29947,121.736315,68.512596,141.071429,-0.000966,0.010295,12937.5,12862.5,1.0
