DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,9770.0,9830.0,9630.0,9650.0,5549,33.362552,54.709063,235.714286,-0.00924,0.019453,9740.0,9610.0,-1.0
1990-02-07,9500.0,9550.0,9400.0,9420.0,9752,6.496773,50.793385,227.142857,-0.023834,0.02005,9650.0,9740.0,1.0
1990-02-08,9360.0,9560.0,9360.0,9520.0,6984,-12.375659,52.426607,231.428571,0.010616,0.019796,9420.0,9650.0,1.0
1990-02-09,9580.0,9750.0,9530.0,9730.0,7026,-0.607694,55.715792,227.857143,0.022059,0.020239,9520.0,9420.0,0.0
1990-02-12,9760.0,9830.0,9680.0,9800.0,7293,11.34536,56.765674,215.0,0.007194,0.018269,9730.0,9520.0,-1.0
1990-02-13,9680.0,9740.0,9610.0,9690.0,10760,3.980863,54.591074,207.857143,-0.011224,0.017934,9800.0,9730.0,0.0
1990-02-14,9720.0,9810.0,9720.0,9770.0,5043,12.329077,55.928398,198.571429,0.008256,0.017925,9690.0,9800.0,0.0
1990-02-15,9770.0,9890.0,9710.0,9720.0,5966,13.167463,54.850032,193.571429,-0.005118,0.017432,9770.0,9690.0,1.0
1990-02-16,9780.0,9890.0,9770.0,9860.0,4051,34.523138,57.342883,177.142857,0.014403,0.017424,9720.0,9770.0,1.0
1990-02-20,9880.0,10020.0,9880.0,9990.0,5893,61.323545,59.544808,176.428571,0.013185,0.015405,9860.0,9720.0,1.0
1990-02-21,10020.0,10420.0,10010.0,10350.0,14798,114.19357,64.880754,194.285714,0.036036,0.016821,9990.0,9860.0,0.0
1990-02-22,10350.0,10400.0,10210.0,10390.0,7100,152.965875,65.407721,198.571429,0.003865,0.016354,10350.0,9990.0,0.0
1990-02-23,10370.0,10450.0,10270.0,10440.0,3805,189.693824,66.090037,201.428571,0.004812,0.015968,10390.0,10350.0,-1.0
1990-02-26,10350.0,10370.0,10170.0,10190.0,4735,194.730394,59.772112,208.571429,-0.023946,0.016223,10440.0,10390.0,1.0
1990-02-27,10140.0,10300.0,10020.0,10290.0,6137,202.700495,61.400619,214.285714,0.009814,0.015865,10190.0,10440.0,1.0
1990-02-28,10550.0,10630.0,10510.0,10550.0,5550,227.63201,65.296073,220.714286,0.025267,0.016088,10290.0,10190.0,0.0
1990-03-01,10610.0,10630.0,10460.0,10540.0,4662,243.811021,65.030935,218.571429,-0.000948,0.014945,10550.0,10290.0,1.0
