DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,83710.0,83860.0,83680.0,83750.0,1698,-477.193285,28.421986,457.142857,-0.000239,0.003584,83770.0,83690.0,-1.0
1990-02-07,83550.0,83560.0,83180.0,83270.0,5154,-474.027733,25.117126,449.285714,-0.005731,0.003718,83750.0,83770.0,0.0
1990-02-08,82980.0,83250.0,82960.0,83200.0,3714,-473.755166,24.664122,404.285714,-0.000841,0.00371,83270.0,83750.0,-1.0
1990-02-09,83370.0,83520.0,82860.0,82970.0,6709,-474.810702,23.183351,433.571429,-0.002764,0.003644,83200.0,83270.0,0.0
1990-02-12,82810.0,82950.0,82770.0,82900.0,3160,-469.201836,22.73474,430.0,-0.000844,0.003596,82970.0,83200.0,0.0
1990-02-13,82960.0,83060.0,82820.0,82880.0,2474,-447.011019,22.600066,392.857143,-0.000241,0.003591,82900.0,82970.0,-1.0
1990-02-14,82700.0,82750.0,82460.0,82540.0,4414,-461.010705,20.388408,382.142857,-0.004102,0.003467,82880.0,82900.0,1.0
1990-02-15,82520.0,82850.0,82470.0,82760.0,5510,-441.109343,25.490338,372.857143,0.002665,0.003539,82540.0,82880.0,1.0
1990-02-16,82770.0,83300.0,82720.0,82960.0,5803,-401.058405,29.878145,372.857143,0.002417,0.003631,82760.0,82540.0,0.0
1990-02-20,82980.0,83100.0,82810.0,82970.0,3317,-360.493558,30.099263,358.571429,0.000121,0.003482,82960.0,82760.0,1.0
1990-02-21,83030.0,83220.0,82850.0,83140.0,3255,-310.054353,33.913966,348.571429,0.002049,0.002993,82970.0,82960.0,1.0
1990-02-22,83400.0,83550.0,83310.0,83370.0,5575,-243.865071,38.772447,354.285714,0.002766,0.003012,83140.0,82970.0,-1.0
1990-02-23,83000.0,83370.0,82950.0,83220.0,3665,-200.6612,36.873746,373.571429,-0.001799,0.002968,83370.0,83140.0,1.0
1990-02-26,83270.0,83530.0,83160.0,83410.0,3601,-138.698273,40.833244,385.714286,0.002283,0.00269,83220.0,83370.0,0.0
1990-02-27,83470.0,83680.0,83340.0,83470.0,4815,-87.843478,42.066218,397.142857,0.000719,0.002676,83410.0,83220.0,1.0
1990-02-28,83710.0,83760.0,83480.0,83590.0,5712,-26.729463,44.553103,377.142857,0.001438,0.002404,83470.0,83410.0,1.0
1990-03-01,83900.0,83930.0,83660.0,83720.0,7320,39.347135,47.193876,379.285714,0.001555,0.002212,83590.0,83470.0,0.0
1990-03-02,83690.0,83720.0,83530.0,83720.0,4570,87.141202,47.193876,345.714286,0.0,0.002212,83720.0,83590.0,1.0
1990-03-05,83710.0,83950.0,83710.0,83930.0,2920,151.080317,51.513492,348.571429,0.002508,0.002234,83720.0,83720.0,1.0
1990-03-06,84090.0,84220.0,84080.0,84130.0,10792,209.252674,55.257911,352.142857,0.002383,0.002287,83930.0,83720.0,1.0
1990-03-07,84120.0,84450.0,84120.0,84410.0,6258,278.726558,59.914135,345.714286,0.003328,0.002367,84130.0,83930.0,-1.0
1990-03-08,83600.0,83850.0,83520.0,83810.0,13553,275.666117,48.342782,382.142857,-0.007108,0.002851,84410.0,84130.0,-1.0
1990-03-09,83790.0,83940.0,83640.0,83660.0,9722,255.30096,45.937084,362.142857,-0.00179,0.002877,83810.0,84410.0,0.0
1990-03-12,83650.0,83820.0,83650.0,83770.0,5414,242.163632,47.984955,353.571429,0.001315,0.002592,83660.0,83810.0,1.0
1990-03-13,83890.0,84000.0,83870.0,83960.0,3739,250.091895,51.404541,343.571429,0.002268,0.002613,83770.0,83660.0,1.0
1990-03-14,84200.0,84250.0,84110.0,84200.0,4784,272.77517,55.385428,335.0,0.002859,0.002561,83960.0,83770.0,-1.0
1990-03-15,83800.0,83920.0,83550.0,83650.0,10546,235.727131,46.093243,351.428571,-0.006532,0.002975,84200.0,83960.0,0.0
1990-03-16,83650.0,83790.0,83500.0,83580.0,7225,189.629318,45.050475,345.714286,-0.000837,0.002984,83650.0,84200.0,0.0
1990-03-19,83400.0,83540.0,83380.0,83540.0,4608,143.171831,44.431389,335.714286,-0.000479,0.00282,83580.0,83650.0,1.0
1990-03-20,83800.0,83960.0,83700.0,83890.0,5019,133.802962,50.804836,345.0,0.00419,0.002892,83540.0,83580.0,0.0
1990-03-21,83920.0,84090.0,83840.0,83910.0,4142,119.602923,51.148201,338.571429,0.000238,0.002865,83890.0,83540.0,0.0
1990-03-22,83720.0,84180.0,83710.0,84030.0,5140,111.31491,53.255828,358.571429,0.00143,0.00287,83910.0,83890.0,0.0
1990-03-23,84080.0,84200.0,84060.0,84150.0,2481,101.740057,55.328396,353.571429,0.001428,0.002858,84030.0,83910.0,0.0
1990-03-26,84080.0,84180.0,84030.0,84130.0,1099,104.824493,54.892177,343.571429,-0.000238,0.002818,84150.0,84030.0,0.0
1990-03-27,84080.0,84160.0,84000.0,84030.0,1309,100.867883,52.656212,331.428571,-0.001189,0.002798,84130.0,84150.0,0.0
1990-03-28,84070.0,84150.0,84030.0,84110.0,1010,100.221151,54.263196,276.428571,0.000952,0.002771,84030.0,84130.0,1.0
1990-03-29,84130.0,84420.0,84080.0,84410.0,4168,122.205157,59.772248,279.285714,0.003567,0.002853,84110.0,84030.0,1.0
1990-03-30,84520.0,84600.0,84460.0,84580.0,4386,149.151663,62.517639,280.714286,0.002014,0.002864,84410.0,84110.0,1.0
1990-04-02,84550.0,84740.0,84550.0,84730.0,2310,192.339246,64.796005,277.857143,0.001773,0.002868,84580.0,84410.0,1.0
1990-04-03,84730.0,84920.0,84700.0,84910.0,3104,243.671958,67.355766,272.857143,0.002124,0.002885,84730.0,84580.0,-1.0
1990-04-04,84740.0,84850.0,84700.0,84760.0,3088,268.631686,63.237949,241.428571,-0.001767,0.002897,84910.0,84730.0,0.0
1990-04-05,84590.0,84750.0,84570.0,84700.0,1876,272.470266,61.612498,234.285714,-0.000708,0.002874,84760.0,84910.0,1.0
1990-04-06,84980.0,85100.0,84950.0,85020.0,2375,302.343945,66.553724,248.571429,0.003778,0.002898,84700.0,84760.0,1.0
1990-04-09,85240.0,85360.0,85210.0,85270.0,6226,342.118292,69.810837,242.857143,0.00294,0.002422,85020.0,84700.0,1.0
