DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1993-08-16,95280.0,95300.0,94060.0,94260.0,96.0,-8.001354,48.529793,811.428571,-0.014635,0.006536,95660.0,95630.0,0.0
1993-08-17,94400.0,94620.0,94180.0,94270.0,96.0,-126.675033,48.591804,820.714286,0.000106,0.006534,94260.0,95660.0,-1.0
1993-08-18,94320.0,94380.0,93490.0,93640.0,96.0,-278.783114,44.920372,830.714286,-0.006683,0.006661,94270.0,94260.0,1.0
1993-08-19,93840.0,94800.0,93400.0,94430.0,96.0,-275.359669,50.05113,832.142857,0.008437,0.00689,93640.0,94270.0,-1.0
1993-08-20,94080.0,94200.0,93480.0,93640.0,96.0,-347.707729,45.522634,870.714286,-0.008366,0.00709,94430.0,93640.0,1.0
1993-08-23,93680.0,94310.0,93670.0,94090.0,96.0,-362.949753,48.410141,791.428571,0.004806,0.007179,93640.0,94430.0,0.0
1993-08-24,94050.0,94080.0,93750.0,93770.0,96.0,-388.759436,46.530459,795.0,-0.003401,0.007208,94090.0,93640.0,1.0
1993-08-25,94160.0,94700.0,93940.0,94230.0,96.0,-372.019894,49.571989,822.857143,0.004906,0.007105,93770.0,94090.0,-1.0
1993-08-26,94100.0,94100.0,93370.0,93500.0,96.0,-449.941058,45.199362,811.428571,-0.007747,0.007249,94230.0,93770.0,0.0
1993-08-30,93770.0,94040.0,93680.0,93830.0,96.0,-475.342461,47.472602,807.142857,0.003529,0.007299,93500.0,94230.0,1.0
1993-08-31,93730.0,94400.0,93700.0,94190.0,96.0,-455.113289,49.905334,781.428571,0.003837,0.007262,93830.0,93500.0,-1.0
1993-09-01,93950.0,93970.0,93480.0,93690.0,96.0,-474.611757,46.683793,797.142857,-0.005308,0.006589,94190.0,93830.0,-1.0
1993-09-02,93520.0,93820.0,93250.0,93270.0,96.0,-488.350883,44.095089,787.857143,-0.004483,0.006619,93690.0,94190.0,-1.0
1993-09-03,93310.0,93310.0,92020.0,92090.0,96.0,-599.026372,37.735426,849.285714,-0.012651,0.006441,93270.0,93690.0,-1.0
1993-09-07,91800.0,92020.0,91170.0,91450.0,96.0,-727.222223,34.768907,800.714286,-0.00695,0.006549,92090.0,93270.0,1.0
1993-09-08,92690.0,93040.0,92580.0,92720.0,96.0,-703.512141,44.207567,882.857143,0.013887,0.007319,91450.0,92090.0,-1.0
1993-09-09,91970.0,92380.0,91680.0,92020.0,96.0,-719.197068,40.755119,893.571429,-0.00755,0.007415,92720.0,91450.0,0.0
1993-09-10,92380.0,92380.0,91550.0,91760.0,96.0,-769.548456,39.51145,852.857143,-0.002825,0.007365,92020.0,92720.0,1.0
1993-09-13,91820.0,92370.0,91780.0,92180.0,96.0,-753.294114,42.568899,828.571429,0.004577,0.006957,91760.0,92020.0,0.0
1993-09-14,92160.0,92420.0,91900.0,92220.0,96.0,-735.766644,42.863755,817.857143,0.000434,0.006972,92180.0,91760.0,-1.0
1993-09-15,91750.0,91780.0,91200.0,91750.0,96.0,-743.100636,40.250012,866.428571,-0.005097,0.007009,92220.0,92180.0,0.0
1993-09-16,91400.0,92400.0,91320.0,91810.0,96.0,-737.742749,40.749268,877.142857,0.000654,0.007015,91750.0,92220.0,1.0
1993-09-23,93400.0,93960.0,93300.0,93660.0,96.0,-549.358473,53.611519,969.285714,0.02015,0.007863,91810.0,91750.0,0.0
1993-09-24,94120.0,94300.0,93400.0,93410.0,94.0,-404.840396,52.001151,995.0,-0.002669,0.007879,93660.0,91810.0,0.0
1993-09-27,93160.0,93350.0,92960.0,93090.0,94.0,-304.241992,49.928296,977.142857,-0.003426,0.007785,93410.0,93660.0,-1.0
1993-09-28,93160.0,93450.0,92370.0,92650.0,94.0,-229.685786,47.136454,1003.571429,-0.004727,0.00759,93090.0,93410.0,0.0
1993-09-29,92430.0,92860.0,92420.0,92730.0,94.0,-155.812278,47.711667,994.285714,0.000863,0.007407,92650.0,93090.0,1.0
1993-10-01,94040.0,94200.0,93260.0,93520.0,94.0,-48.671008,53.13054,1007.142857,0.008519,0.007572,92730.0,92650.0,-1.0
1993-10-04,93720.0,93730.0,92900.0,93140.0,94.0,13.037385,50.445308,1000.714286,-0.004063,0.007586,93520.0,92730.0,0.0
1993-10-05,92890.0,93350.0,92680.0,93220.0,94.0,86.860908,51.008963,935.0,0.000859,0.007503,93140.0,93520.0,0.0
1993-10-06,93280.0,93390.0,92760.0,92980.0,94.0,107.133937,49.202419,905.714286,-0.002575,0.007344,93220.0,93140.0,0.0
1993-10-07,92950.0,93190.0,92790.0,93050.0,94.0,135.09486,49.762718,875.0,0.000753,0.0073,92980.0,93220.0,-1.0
1993-10-08,93050.0,93100.0,92040.0,92240.0,94.0,91.703401,43.753308,907.142857,-0.008705,0.007445,93050.0,92980.0,0.0
1993-10-11,92180.0,92450.0,92180.0,92330.0,94.0,72.440272,44.561434,889.285714,0.000976,0.007389,92240.0,93050.0,-1.0
1993-10-12,92170.0,92190.0,91770.0,91910.0,94.0,-30.631854,41.563243,856.428571,-0.004549,0.007391,92330.0,92240.0,1.0
1993-10-13,92180.0,92550.0,92180.0,92470.0,94.0,-49.900413,46.73291,825.0,0.006093,0.007011,91910.0,92330.0,1.0
1993-10-14,92400.0,93250.0,92230.0,93060.0,94.0,2.524152,51.565115,744.285714,0.00638,0.006938,92470.0,91910.0,0.0
1993-10-15,92400.0,93250.0,92230.0,93060.0,94.0,50.276708,51.565115,752.857143,0.0,0.006294,93060.0,92470.0,1.0
1993-10-18,93650.0,94250.0,93460.0,94070.0,94.0,175.250009,58.917379,805.714286,0.010853,0.006439,93060.0,93060.0,0.0
1993-10-19,93950.0,94180.0,93700.0,94050.0,94.0,237.689436,58.729307,762.857143,-0.000213,0.006388,94070.0,93060.0,0.0
1993-10-20,94300.0,94390.0,93810.0,93880.0,2291.0,267.374215,57.061602,772.857143,-0.001808,0.00637,94050.0,94070.0,1.0
1993-10-21,94350.0,94940.0,94320.0,94810.0,3820.0,383.051418,63.225017,743.571429,0.009906,0.006654,93880.0,94050.0,0.0
1993-10-22,94800.0,95200.0,94600.0,95100.0,2725.0,492.776495,64.900335,727.142857,0.003059,0.006507,94810.0,93880.0,0.0
1993-10-25,95010.0,95500.0,94590.0,95350.0,5445.0,589.749396,66.320412,744.285714,0.002629,0.006507,95100.0,94810.0,0.0
1993-10-26,95470.0,95600.0,95030.0,95300.0,2601.0,676.345636,65.748969,740.0,-0.000524,0.005052,95350.0,95100.0,0.0
1993-10-27,95100.0,95520.0,95080.0,95370.0,1925.0,741.111737,66.188441,742.857143,0.000735,0.004992,95300.0,95350.0,-1.0
1993-10-28,95450.0,96000.0,94650.0,94980.0,6797.0,751.870782,61.460363,763.571429,-0.004089,0.005022,95370.0,95300.0,1.0
1993-10-29,95110.0,95700.0,94900.0,95700.0,1906.0,805.04848,66.270375,801.428571,0.007581,0.005047,94980.0,95370.0,0.0
1993-11-01,95670.0,96070.0,95670.0,95750.0,1287.0,848.237896,66.579966,790.0,0.000522,0.00505,95700.0,94980.0,0.0
1993-11-02,95770.0,96100.0,95330.0,95950.0,1895.0,888.991193,67.85045,799.285714,0.002089,0.004802,95750.0,95700.0,-1.0
1993-11-03,95420.0,95650.0,95340.0,95440.0,920.0,836.502996,61.448768,770.0,-0.005315,0.004874,95950.0,95750.0,0.0
1993-11-04,95460.0,95760.0,95370.0,95630.0,3013.0,796.981137,62.862091,725.0,0.001991,0.004877,95440.0,95950.0,-1.0
1993-11-05,95550.0,95980.0,95070.0,95260.0,2107.0,725.333642,58.382341,705.0,-0.003869,0.004932,95630.0,95440.0,-1.0
1993-11-08,95070.0,95120.0,94800.0,95000.0,2467.0,621.792175,55.383947,703.571429,-0.002729,0.005,95260.0,95630.0,1.0
1993-11-09,95350.0,95850.0,95010.0,95600.0,2966.0,575.223107,60.446212,722.857143,0.006316,0.00463,95000.0,95260.0,-1.0
1993-11-10,95580.0,95720.0,95150.0,95250.0,886.0,491.375463,56.447969,687.857143,-0.003661,0.004765,95600.0,95000.0,0.0
1993-11-11,95250.0,95520.0,95100.0,95420.0,1443.0,430.371301,57.909612,675.0,0.001785,0.004574,95250.0,95600.0,-1.0
1993-11-12,95550.0,95770.0,94620.0,94750.0,3819.0,310.936176,50.700504,692.142857,-0.007022,0.004824,95420.0,95250.0,1.0
1993-11-15,94900.0,95490.0,94880.0,95310.0,1528.0,261.249351,55.699653,704.285714,0.00591,0.004801,94750.0,95420.0,1.0
1993-11-16,95300.0,96000.0,95170.0,95670.0,5178.0,231.428508,58.589682,732.142857,0.003777,0.004827,95310.0,94750.0,0.0
1993-11-17,95600.0,95600.0,95320.0,95490.0,3534.0,176.776364,56.608634,660.714286,-0.001881,0.004364,95670.0,95310.0,1.0
1993-11-18,95800.0,96150.0,95670.0,96030.0,2550.0,176.555367,60.889139,650.714286,0.005655,0.004484,95490.0,95670.0,1.0
