DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1998-10-28,241700.0,241712.5,241687.5,241687.5,0,35.692224,56.142576,104.4625,-5.2e-05,0.000375,241700.0,241700.0,0.0
1998-10-29,241687.5,241725.0,241687.5,241725.0,0,29.57219,57.514596,88.389286,0.000155,0.000375,241687.5,241700.0,0.0
1998-10-30,241750.0,241750.0,241712.5,241712.5,0,23.045324,56.875976,77.673214,-5.2e-05,0.000359,241725.0,241687.5,-1.0
1998-11-02,241637.5,241650.0,241575.0,241575.0,0,6.251673,50.264138,77.675,-0.000569,0.000372,241712.5,241725.0,0.0
1998-11-03,241600.025,241625.0,241600.025,241600.025,0,-10.227571,51.372742,74.996429,0.000104,0.000336,241575.0,241712.5,0.0
1998-11-04,241587.5,241625.0,241575.0,241575.0,0,-25.873258,50.168598,74.105357,-0.000104,0.000336,241600.025,241575.0,0.0
1998-11-05,241525.0,241600.025,241512.5,241600.025,0,-32.964251,51.395616,60.716071,0.000104,0.000335,241575.0,241600.025,-1.0
1998-11-06,241575.0,241575.0,241500.0,241500.0,0,-47.54526,46.470678,65.182143,-0.000414,0.000345,241600.025,241575.0,0.0
1998-11-09,241425.0,241475.0,241400.0,241462.5,0,-59.589326,44.739073,66.967857,-0.000155,0.000331,241500.0,241600.025,0.0
1998-11-10,241450.0,241512.5,241450.0,241500.0,0,-65.90972,46.871383,61.610714,0.000155,0.000325,241462.5,241500.0,0.0
1998-11-11,241500.0,241512.5,241450.0,241462.5,0,-72.413295,45.001657,63.396429,-0.000155,0.000285,241500.0,241462.5,0.0
1998-11-12,241475.0,241500.0,241437.5,241437.5,0,-79.151967,43.748531,64.289286,-0.000104,0.000284,241462.5,241500.0,-1.0
1998-11-13,241437.5,241450.0,241387.5,241387.5,0,-86.721996,41.272874,63.396429,-0.000207,0.000284,241437.5,241462.5,-1.0
1998-11-16,241350.0,241350.0,241287.525,241337.5,0,-96.142898,38.901665,69.644643,-0.000207,0.000284,241387.5,241437.5,1.0
1998-11-17,241362.525,241412.5,241362.525,241387.5,0,-99.467821,42.462337,73.216071,0.000207,0.000205,241337.5,241387.5,1.0
1998-11-18,241425.0,241487.5,241425.0,241487.5,0,-88.952793,48.877917,77.680357,0.000414,0.00023,241387.5,241337.5,0.0
1998-11-19,241512.5,241525.0,241487.5,241487.5,0,-79.920921,48.877917,77.680357,0.0,0.000224,241487.5,241387.5,0.0
1998-11-20,241450.0,241500.0,241450.0,241487.5,0,-71.823385,48.877917,71.430357,0.0,0.00022,241487.5,241487.5,1.0
1998-11-23,241537.525,241637.5,241512.5,241625.0,0,-50.084656,57.091043,78.573214,0.000569,0.000256,241487.5,241487.5,1.0
1998-11-24,241650.0,241712.5,241625.0,241687.5,0,-24.093987,60.217863,81.251786,0.000259,0.00026,241625.0,241487.5,1.0
1998-11-25,241750.0,241762.5,241712.5,241762.5,0,4.016973,63.640972,80.357143,0.00031,0.00026,241687.5,241625.0,1.0
1998-11-26,241762.5,241850.025,241750.0,241837.5,0,32.907652,66.723586,80.357143,0.00031,0.000268,241762.5,241687.5,1.0
1998-11-27,241850.025,241912.525,241850.025,241875.0,0,59.696878,68.175972,78.573214,0.000155,0.000269,241837.5,241762.5,-1.0
1998-11-30,241837.5,241837.5,241800.0,241825.0,0,76.918069,64.155862,79.466071,-0.000207,0.000272,241875.0,241837.5,1.0
1998-12-01,241862.5,241862.5,241825.0,241862.5,0,93.916585,65.78572,77.680357,0.000155,0.000273,241825.0,241875.0,1.0
1998-12-02,241862.5,241900.0,241825.0,241900.0,0,111.370276,67.382691,78.573214,0.000155,0.000239,241862.5,241825.0,1.0
1998-12-03,241912.525,242250.0,241912.525,242175.0,0,148.414011,76.166697,99.108929,0.001137,0.000332,241900.0,241862.5,-1.0
1998-12-04,242187.5,242187.5,242075.0,242087.5,0,166.250915,69.738574,100.003571,-0.000361,0.000344,242175.0,241900.0,0.0
1998-12-07,242100.0,242125.0,242087.5,242087.5,0,178.604965,69.738574,97.325,0.0,0.000344,242087.5,242175.0,1.0
1998-12-08,242087.5,242150.0,242087.5,242137.5,0,189.65979,71.342015,94.646429,0.000207,0.000326,242087.5,242087.5,1.0
1998-12-09,242187.5,242200.0,242187.5,242187.5,0,197.914317,72.888724,96.432143,0.000206,0.00032,242137.5,242087.5,0.0
1998-12-10,242200.0,242212.5,242187.5,242200.0,0,201.442433,73.276949,94.646429,5.2e-05,0.000321,242187.5,242137.5,1.0
1998-12-11,242225.025,242262.5,242225.025,242250.0,0,204.807307,74.829508,88.396429,0.000206,0.000315,242200.0,242187.5,-1.0
1998-12-15,242200.0,242225.025,242200.0,242200.0,0,197.254728,70.424175,85.717857,-0.000206,0.000319,242250.0,242200.0,0.0
1998-12-16,242187.5,242237.5,242187.5,242237.5,0,190.608419,71.766938,83.932143,0.000155,0.00031,242200.0,242250.0,0.0
1998-12-17,242262.5,242287.5,242250.0,242262.5,0,186.426719,72.658022,80.358929,0.000103,0.000299,242237.5,242200.0,0.0
1998-12-21,242262.5,242262.5,242237.5,242237.5,0,176.807639,70.269829,76.785714,-0.000103,0.000305,242262.5,242237.5,-1.0
1998-12-22,242212.5,242212.5,242187.5,242200.0,0,161.897956,66.72655,75.0,-0.000155,0.000306,242237.5,242262.5,0.0
1998-12-23,242175.0,242200.0,242175.0,242200.0,0,140.379883,66.72655,74.107143,0.0,0.000306,242200.0,242237.5,-1.0
1998-12-28,242125.0,242150.0,242100.0,242112.5,0,113.972211,58.713664,75.892857,-0.000361,0.000323,242200.0,242200.0,0.0
1998-12-29,242112.5,242112.5,242100.0,242100.0,0,90.074449,57.648246,51.785714,-5.2e-05,0.000308,242112.5,242200.0,1.0
1998-12-30,242112.5,242162.525,242112.5,242150.0,0,73.645037,60.718905,48.216071,0.000207,0.000307,242100.0,242112.5,0.0
1999-01-04,242212.5,242225.025,242150.0,242150.0,0,57.578041,60.718905,50.896429,0.0,0.000304,242150.0,242100.0,1.0
1999-01-05,242200.0,242212.5,242175.0,242200.0,0,47.394628,63.765159,50.896429,0.000206,0.000301,242150.0,242150.0,0.0
1999-01-06,242212.5,242225.025,242200.0,242225.025,0,40.307308,65.2187,48.219643,0.000103,0.0003,242200.0,242150.0,1.0
1999-01-07,242212.5,242287.5,242212.5,242262.5,0,38.556224,67.331862,51.791071,0.000155,0.000294,242225.025,242200.0,0.0
1999-01-08,242300.025,242312.5,242250.0,242262.5,0,35.801748,67.331862,51.791071,0.0,0.000294,242262.5,242225.025,0.0
1999-01-11,242300.025,242300.025,242225.025,242250.0,0,31.507229,65.78593,53.576786,-5.2e-05,0.000295,242262.5,242262.5,1.0
1999-01-12,242262.5,242312.5,242237.5,242287.5,0,31.51478,68.14872,55.3625,0.000155,0.000175,242250.0,242262.5,1.0
1999-01-13,242300.025,242450.0,242300.025,242350.0,0,36.593317,71.660871,63.398214,0.000258,0.00016,242287.5,242250.0,1.0
1999-01-14,242375.0,242412.5,242362.5,242387.5,0,43.375564,73.545272,66.076786,0.000155,0.000161,242350.0,242287.5,1.0
1999-01-15,242450.0,242500.0,242450.0,242475.025,0,58.186943,77.333154,70.541071,0.000361,0.000171,242387.5,242350.0,1.0
1999-01-18,242475.025,242562.5,242475.025,242562.5,0,80.291059,80.358937,75.003571,0.000361,0.00018,242475.025,242387.5,1.0
1999-01-19,242562.5,242612.525,242562.5,242600.0,0,98.06873,81.498725,71.433929,0.000155,0.000181,242562.5,242475.025,-1.0
1999-01-20,242587.5,242587.5,242525.0,242525.0,0,103.854125,72.445233,75.898214,-0.000309,0.000196,242600.0,242562.5,1.0
