DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,229025.0,229050.0,228950.0,229050.0,115346,-169.453473,28.786714,200.0,0.0,0.000617,229050.0,229050.0,0.0
1990-02-07,228975.0,229025.0,228925.0,229025.0,126841,-161.746699,28.394133,169.642857,-0.000109,0.000616,229050.0,229050.0,0.0
1990-02-08,229025.0,229100.0,229000.0,229050.0,140862,-152.450564,29.43067,157.142857,0.000109,0.000616,229025.0,229050.0,1.0
1990-02-09,229050.0,229200.0,229050.0,229150.0,183651,-131.877995,33.5724,157.142857,0.000437,0.000624,229050.0,229025.0,0.0
1990-02-12,229175.0,229250.0,229100.0,229125.0,137739,-111.915231,33.050392,157.142857,-0.000109,0.000624,229150.0,229050.0,1.0
1990-02-13,229150.0,229250.0,229100.0,229225.0,190428,-83.983556,37.253556,153.571429,0.000436,0.000632,229125.0,229150.0,0.0
1990-02-14,229225.0,229275.0,229200.0,229225.0,119208,-59.007822,37.253556,144.642857,0.0,0.000617,229225.0,229125.0,-1.0
1990-02-15,229200.0,229225.0,229100.0,229125.0,112382,-45.468406,34.726205,133.928571,-0.000436,0.000599,229225.0,229225.0,0.0
1990-02-16,229150.0,229175.0,229100.0,229125.0,127309,-33.761057,34.726205,130.357143,0.0,0.000596,229125.0,229225.0,-1.0
1990-02-20,229075.0,229075.0,228900.0,228925.0,169366,-41.271243,30.002864,130.357143,-0.000873,0.000385,229125.0,229125.0,0.0
1990-02-21,228975.0,229000.0,228875.0,228925.0,153094,-44.889519,30.002864,123.214286,0.0,0.000297,228925.0,229125.0,-1.0
1990-02-22,228725.0,228925.0,228650.0,228875.0,121233,-52.843391,28.863583,133.928571,-0.000218,0.000286,228925.0,228925.0,1.0
1990-02-23,228875.0,229000.0,228850.0,228925.0,118991,-53.797626,31.658891,133.928571,0.000218,0.000292,228875.0,228925.0,1.0
1990-02-26,229000.0,229075.0,228975.0,229050.0,79229,-47.092831,38.195979,141.071429,0.000546,0.000321,228925.0,228875.0,1.0
