DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,16645.0,16645.0,16455.0,16512.5,43993,-249.974541,36.373525,304.285714,-0.009448,0.012298,16670.0,16625.0,1.0
1990-02-07,16400.0,16795.0,16367.5,16790.0,63744,-188.340664,42.584647,316.071429,0.016805,0.012798,16512.5,16670.0,0.0
1990-02-08,16785.0,16915.0,16665.0,16765.0,57581,-136.526502,42.191656,325.535714,-0.001489,0.012505,16790.0,16512.5,0.0
1990-02-09,16790.0,16825.0,16680.0,16720.0,40011,-100.206329,41.449067,291.428571,-0.002684,0.012506,16765.0,16790.0,-1.0
1990-02-12,16710.0,16740.0,16522.5,16537.5,52184,-80.477475,38.482922,288.035714,-0.010915,0.012611,16720.0,16765.0,0.0
1990-02-13,16570.0,16675.0,16425.0,16632.5,55494,-51.222082,40.880752,269.285714,0.005745,0.011025,16537.5,16720.0,0.0
1990-02-14,16615.0,16740.0,16575.0,16665.0,45207,-24.963853,41.712997,251.071429,0.001954,0.011003,16632.5,16537.5,1.0
1990-02-15,16660.0,16822.5,16640.0,16807.5,38978,12.567824,45.339314,234.464286,0.008551,0.011004,16665.0,16632.5,-1.0
1990-02-16,16800.0,16830.0,16645.0,16660.0,31637,24.531312,42.422213,225.357143,-0.008776,0.010966,16807.5,16665.0,-1.0
1990-02-20,16410.0,16515.0,16325.0,16437.5,48607,9.191699,38.375678,223.75,-0.013355,0.011171,16660.0,16807.5,0.0
1990-02-21,16287.5,16482.5,16275.0,16465.0,51073,-3.317688,39.158595,219.107143,0.001673,0.011128,16437.5,16660.0,-1.0
1990-02-22,16490.0,16610.0,16300.0,16337.5,57561,-23.629306,36.826429,232.5,-0.007744,0.009047,16465.0,16437.5,0.0
1990-02-23,16200.0,16360.0,16125.0,16275.0,57011,-42.422593,35.695396,230.714286,-0.003826,0.009052,16337.5,16465.0,1.0
1990-02-26,16285.0,16500.0,16250.0,16492.5,57635,-41.293677,42.355789,241.071429,0.013364,0.009335,16275.0,16337.5,0.0
1990-02-27,16460.0,16660.0,16457.5,16567.5,63073,-31.195404,44.463717,240.178571,0.004548,0.008397,16492.5,16275.0,1.0
1990-02-28,16550.0,16740.0,16545.0,16647.5,61832,-20.116426,46.692813,223.571429,0.004829,0.008443,16567.5,16492.5,0.0
1990-03-01,16625.0,16775.0,16577.5,16690.0,58936,-3.852646,47.883825,219.821429,0.002553,0.008446,16647.5,16567.5,1.0
1990-03-02,16702.5,16822.5,16675.0,16795.0,51957,17.937697,50.801012,220.0,0.006291,0.00842,16690.0,16647.5,0.0
1990-03-05,16777.5,16865.0,16677.5,16725.0,57991,23.939154,48.850146,217.857143,-0.004168,0.007817,16795.0,16690.0,1.0
1990-03-06,16725.0,16965.0,16690.0,16960.0,60304,46.05376,55.108846,219.642857,0.014051,0.008313,16725.0,16795.0,-1.0
1990-03-07,16980.0,16987.5,16825.0,16847.5,61905,55.129956,51.881386,219.464286,-0.006633,0.008363,16960.0,16725.0,1.0
1990-03-08,17080.0,17285.0,17055.0,17225.0,58070,100.276274,60.332499,237.678571,0.022407,0.009564,16847.5,16960.0,-1.0
1990-03-09,17162.5,17247.5,17035.0,17102.5,62511,125.305248,56.915748,239.642857,-0.007112,0.009448,17225.0,16847.5,0.0
1990-03-12,17055.0,17195.0,17002.5,17132.5,50152,149.175307,57.554255,229.464286,0.001754,0.008822,17102.5,17225.0,-1.0
1990-03-13,17075.0,17140.0,16945.0,16977.5,67804,155.073944,53.176972,228.571429,-0.009047,0.009066,17132.5,17102.5,1.0
1990-03-14,16990.0,17112.5,16927.5,17067.5,63231,162.151106,55.321201,219.642857,0.005301,0.009087,16977.5,17132.5,0.0
1990-03-15,17067.5,17175.0,17032.5,17110.0,58395,166.455715,56.332786,213.035714,0.00249,0.008693,17067.5,16977.5,1.0
