DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2005-06-06,18335.0,18335.0,18335.0,18335.0,2751,155.366346,53.697062,90.714286,0.003009,0.006033,18280.0,18395.0,1.0
2005-06-07,18390.0,18565.0,18390.0,18565.0,50,171.482242,59.148666,89.285714,0.012544,0.006415,18335.0,18280.0,-1.0
2005-06-08,18485.0,18485.0,18435.0,18435.0,78,168.686552,55.238932,96.071429,-0.007002,0.006675,18565.0,18335.0,0.0
2005-06-09,18400.0,18490.0,18400.0,18490.0,356,172.386254,56.556529,97.857143,0.002983,0.005886,18435.0,18565.0,1.0
2005-06-10,18595.0,18605.0,18570.0,18570.0,618,181.279203,58.465963,98.928571,0.004327,0.005893,18490.0,18435.0,0.0
2005-06-13,18540.0,18540.0,18540.0,18540.0,757,184.458373,57.450613,97.142857,-0.001616,0.005937,18570.0,18490.0,1.0
2005-06-14,18710.0,18710.0,18710.0,18710.0,186,200.777766,61.53386,105.0,0.009169,0.006003,18540.0,18570.0,0.0
2005-06-15,18675.0,18675.0,18675.0,18675.0,232,201.81071,60.263272,107.142857,-0.001871,0.006051,18710.0,18540.0,1.0
2005-06-16,18770.0,18775.0,18720.0,18740.0,2202,203.920505,61.842042,111.428571,0.003481,0.005848,18675.0,18710.0,1.0
2005-06-17,18775.0,18855.0,18775.0,18800.0,0,203.25597,63.287017,109.285714,0.003202,0.005258,18740.0,18675.0,0.0
2005-06-20,18755.0,18755.0,18755.0,18755.0,126,195.006714,61.414592,107.142857,-0.002394,0.005343,18800.0,18740.0,1.0
2005-06-21,18705.0,18955.0,18705.0,18825.0,0,195.277891,63.240866,108.928571,0.003732,0.005345,18755.0,18800.0,1.0
2005-06-22,18895.0,18895.0,18895.0,18895.0,51,196.536156,65.017354,110.714286,0.003718,0.005347,18825.0,18755.0,0.0
2005-06-23,18935.0,18935.0,18880.0,18880.0,4,190.160007,64.302869,106.428571,-0.000794,0.005268,18895.0,18825.0,-1.0
2005-06-24,18850.0,18850.0,18800.0,18800.0,24,177.939944,60.482361,108.214286,-0.004237,0.005316,18880.0,18895.0,-1.0
2005-06-27,18615.0,18615.0,18600.0,18600.0,1,146.531689,52.111118,106.071429,-0.010638,0.005949,18800.0,18880.0,1.0
2005-06-28,18645.0,18790.0,18645.0,18790.0,342,135.80422,58.107034,110.357143,0.010215,0.006207,18600.0,18800.0,0.0
2005-06-29,18840.0,18840.0,18765.0,18765.0,165,122.808701,57.104161,109.285714,-0.00133,0.006093,18790.0,18600.0,0.0
2005-06-30,18775.0,18775.0,18700.0,18770.0,121,106.055981,57.26324,106.428571,0.000266,0.006078,18765.0,18790.0,1.0
2005-07-01,18745.0,18870.0,18745.0,18870.0,52,100.442253,60.423567,113.214286,0.005328,0.005645,18770.0,18765.0,0.0
2005-07-04,18860.0,18885.0,18855.0,18855.0,12,90.622777,59.71403,103.214286,-0.000795,0.005634,18870.0,18770.0,0.0
2005-07-05,18830.0,18870.0,18830.0,18870.0,0,82.166097,60.21752,103.571429,0.000796,0.005389,18855.0,18870.0,0.0
2005-07-06,18895.0,18895.0,18895.0,18895.0,33,77.592963,61.089667,98.214286,0.001325,0.005378,18870.0,18855.0,-1.0
2005-07-07,18795.0,18795.0,18500.0,18655.0,99,50.94204,49.814251,118.214286,-0.012702,0.005573,18895.0,18870.0,1.0
2005-07-08,18690.0,18855.0,18690.0,18855.0,0,45.223203,57.024366,129.285714,0.010721,0.005755,18655.0,18895.0,0.0
2005-07-11,18890.0,18890.0,18890.0,18890.0,0,41.589198,58.145595,113.928571,0.001856,0.005742,18855.0,18655.0,0.0
2005-07-12,18935.0,18935.0,18935.0,18935.0,42,43.898403,59.602238,112.142857,0.002382,0.005703,18890.0,18855.0,1.0
2005-07-13,18940.0,19080.0,18940.0,19080.0,0,65.192116,63.946056,118.571429,0.007658,0.005849,18935.0,18890.0,1.0
2005-07-14,19235.0,19235.0,19235.0,19235.0,71,89.292235,67.890478,123.928571,0.008124,0.005786,19080.0,18935.0,0.0
2005-07-15,19190.0,19220.0,19190.0,19220.0,0,106.374259,67.131227,112.857143,-0.00078,0.005762,19235.0,19080.0,0.0
2005-07-18,19175.0,19175.0,19175.0,19175.0,0,114.712306,64.788511,102.5,-0.002341,0.005792,19220.0,19235.0,1.0
2005-07-19,19265.0,19265.0,19265.0,19265.0,0,125.128624,67.255494,103.571429,0.004694,0.005827,19175.0,19220.0,0.0
2005-07-20,19305.0,19305.0,19305.0,19305.0,0,137.286328,68.313114,101.071429,0.002076,0.005776,19265.0,19175.0,0.0
2005-07-21,19345.0,19345.0,19345.0,19345.0,1031,147.906449,69.376119,95.0,0.002072,0.005754,19305.0,19265.0,0.0
2005-07-22,19320.0,19320.0,19320.0,19320.0,0,152.040949,67.847307,94.642857,-0.001292,0.005751,19345.0,19305.0,0.0
2005-07-25,19320.0,19320.0,19320.0,19320.0,587,159.711191,67.847307,91.785714,0.0,0.005742,19320.0,19345.0,0.0
2005-07-26,19385.0,19385.0,19325.0,19350.0,200,161.606919,68.805246,94.642857,0.001553,0.005618,19320.0,19320.0,0.0
2005-07-27,19330.0,19365.0,19330.0,19350.0,0,161.04099,68.805246,68.928571,0.0,0.004959,19350.0,19320.0,1.0
2005-07-28,19410.0,19410.0,19410.0,19410.0,24,163.904494,70.81874,58.928571,0.003101,0.004604,19350.0,19350.0,-1.0
2005-07-29,19275.0,19285.0,19275.0,19285.0,20,149.040994,61.884647,66.071429,-0.00644,0.004874,19410.0,19350.0,0.0
2005-08-01,19320.0,19325.0,19320.0,19325.0,0,134.386345,63.482524,65.714286,0.002074,0.004871,19285.0,19410.0,1.0
2005-08-02,19425.0,19425.0,19425.0,19425.0,513,127.854944,67.179248,62.5,0.005175,0.004865,19325.0,19285.0,0.0
2005-08-03,19375.0,19395.0,19330.0,19395.0,116,120.688395,65.062301,58.214286,-0.001544,0.004884,19425.0,19325.0,-1.0
2005-08-04,19265.0,19265.0,19180.0,19190.0,0,91.676453,52.799417,70.357143,-0.01057,0.005501,19395.0,19425.0,0.0
2005-08-05,19195.0,19195.0,19195.0,19195.0,0,66.571887,53.034412,67.5,0.000261,0.005501,19190.0,19395.0,1.0
2005-08-08,19265.0,19265.0,19265.0,19265.0,1500,51.842045,56.312833,66.071429,0.003647,0.004636,19195.0,19190.0,1.0
2005-08-09,19245.0,19370.0,19205.0,19370.0,0,48.965062,60.725404,75.0,0.00545,0.004256,19265.0,19195.0,1.0
2005-08-10,19470.0,19470.0,19470.0,19470.0,960,54.712075,64.393968,79.285714,0.005163,0.004337,19370.0,19265.0,-1.0
2005-08-11,19490.0,19490.0,19410.0,19410.0,0,51.830836,60.746391,83.214286,-0.003082,0.004432,19470.0,19370.0,-1.0
2005-08-12,19350.0,19350.0,19350.0,19350.0,100,39.863812,57.243622,87.5,-0.003091,0.004268,19410.0,19470.0,1.0
2005-08-15,19430.0,19515.0,19430.0,19515.0,35,44.877934,63.496592,94.642857,0.008527,0.004303,19350.0,19410.0,-1.0
2005-08-16,19345.0,19345.0,19325.0,19325.0,52,33.197516,53.818612,105.714286,-0.009736,0.004837,19515.0,19350.0,1.0
2005-08-17,19310.0,19400.0,19310.0,19400.0,208,29.437578,56.654688,107.857143,0.003881,0.004859,19325.0,19515.0,0.0
2005-08-18,19280.0,19360.0,19280.0,19360.0,146,21.059344,54.731638,106.785714,-0.002062,0.004798,19400.0,19325.0,0.0
2005-08-19,19305.0,19395.0,19305.0,19395.0,251,19.379522,56.137483,110.357143,0.001808,0.004793,19360.0,19400.0,0.0
2005-08-22,19430.0,19450.0,19370.0,19370.0,352,19.990115,54.830009,108.928571,-0.001289,0.004785,19395.0,19360.0,-1.0
2005-08-23,19350.0,19350.0,19275.0,19275.0,1187,10.898417,50.053174,108.928571,-0.004904,0.004894,19370.0,19395.0,-1.0
2005-08-24,19185.0,19235.0,19175.0,19205.0,41,-3.469358,46.801717,100.714286,-0.003632,0.004952,19275.0,19370.0,-1.0
2005-08-25,19070.0,19100.0,19060.0,19060.0,42,-30.098342,40.859194,110.714286,-0.00755,0.005169,19205.0,19275.0,-1.0
2005-08-26,19070.0,19070.0,18945.0,18945.0,7,-63.260134,36.834191,114.642857,-0.006034,0.00529,19060.0,19205.0,1.0
2005-08-29,18865.0,19125.0,18865.0,19125.0,2,-71.006365,45.875975,121.428571,0.009501,0.005685,18945.0,19060.0,-1.0
2005-08-30,19105.0,19105.0,19005.0,19005.0,15,-86.044365,41.637202,122.857143,-0.006275,0.005677,19125.0,18945.0,1.0
2005-08-31,19080.0,19095.0,19080.0,19095.0,0,-92.208209,45.714026,123.571429,0.004736,0.005765,19005.0,19125.0,0.0
2005-09-01,19140.0,19140.0,19140.0,19140.0,0,-87.58044,47.672939,122.5,0.002357,0.005663,19095.0,19005.0,1.0
2005-09-02,19270.0,19270.0,19270.0,19270.0,0,-72.03369,52.943321,120.0,0.006792,0.005876,19140.0,19095.0,1.0
2005-09-05,19335.0,19335.0,19335.0,19335.0,432,-53.51383,55.348601,111.071429,0.003373,0.005449,19270.0,19140.0,1.0
2005-09-06,19550.0,19590.0,19550.0,19590.0,387,-15.406399,63.256693,122.857143,0.013189,0.006097,19335.0,19270.0,1.0
2005-09-07,19640.0,19740.0,19640.0,19740.0,1030,30.077366,66.919805,125.0,0.007657,0.00624,19590.0,19335.0,0.0
2005-09-08,19705.0,19705.0,19695.0,19695.0,475,63.246733,64.847015,121.785714,-0.00228,0.006202,19740.0,19590.0,1.0
2005-09-09,19670.0,19780.0,19670.0,19780.0,354,95.858573,66.935109,123.928571,0.004316,0.006176,19695.0,19740.0,-1.0
2005-09-12,19675.0,19675.0,19675.0,19675.0,390,114.14153,62.052711,124.642857,-0.005308,0.006259,19780.0,19695.0,-1.0
2005-09-13,19600.0,19600.0,19580.0,19580.0,246,122.212394,57.914638,124.285714,-0.004828,0.006319,19675.0,19780.0,0.0
2005-09-14,19635.0,19680.0,19615.0,19615.0,402,127.838172,59.004581,121.071429,0.001788,0.006073,19580.0,19675.0,0.0
2005-09-15,19660.0,19660.0,19560.0,19560.0,265,130.186128,56.531344,119.285714,-0.002804,0.005699,19615.0,19580.0,1.0
2005-09-16,19585.0,19650.0,19585.0,19650.0,2,136.808764,59.529168,107.142857,0.004601,0.005721,19560.0,19615.0,0.0
2005-09-19,19640.0,19660.0,19640.0,19660.0,0,140.14421,59.858905,100.0,0.000509,0.00569,19650.0,19560.0,0.0
2005-09-20,19700.0,19700.0,19700.0,19700.0,201,144.013513,61.2193,96.428571,0.002035,0.005692,19660.0,19650.0,-1.0
2005-09-21,19500.0,19500.0,19430.0,19430.0,0,117.201659,49.13833,112.5,-0.013706,0.006464,19700.0,19660.0,1.0
2005-09-22,19520.0,19520.0,19520.0,19520.0,650,97.894992,52.546627,109.642857,0.004632,0.006428,19430.0,19700.0,1.0
2005-09-23,19540.0,19620.0,19540.0,19620.0,0,86.473473,56.054144,112.142857,0.005123,0.006425,19520.0,19430.0,1.0
2005-09-26,19785.0,19785.0,19785.0,19785.0,27,92.549941,61.132972,105.714286,0.00841,0.006315,19620.0,19520.0,0.0
2005-09-27,19770.0,19835.0,19770.0,19835.0,20,98.00262,62.534217,99.642857,0.002527,0.006074,19785.0,19620.0,1.0
2005-09-28,19985.0,19985.0,19955.0,19955.0,1423,112.898617,65.720384,107.142857,0.00605,0.005916,19835.0,19785.0,1.0
