DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2001-10-22,13900.0,13900.0,13900.0,13900.0,63,448.355389,50.732421,277.428571,-0.001437,0.022016,13920.0,14000.0,1.0
2001-10-23,14550.0,14550.0,14500.0,14520.0,453,476.527044,56.720888,311.0,0.044604,0.019959,13900.0,13920.0,1.0
2001-10-24,14920.0,14920.0,14822.0,14860.0,22,523.995977,59.503736,300.071429,0.023416,0.018853,14520.0,13900.0,0.0
2001-10-25,14950.0,15100.0,14940.0,14940.0,50,552.321214,60.13835,297.928571,0.005384,0.018839,14860.0,14520.0,0.0
2001-10-26,14950.0,14950.0,14820.0,14820.0,29,548.905877,58.661315,300.071429,-0.008032,0.018389,14940.0,14860.0,-1.0
2001-10-29,14800.0,14800.0,14531.0,14621.0,0,505.360014,56.177272,288.571429,-0.013428,0.018955,14820.0,14940.0,-1.0
2001-10-30,14520.0,14520.0,14300.0,14300.0,19,433.704737,52.27925,295.785714,-0.021955,0.019564,14621.0,14820.0,1.0
2001-10-31,14450.0,14623.0,14450.0,14623.0,105,405.599823,55.686055,295.142857,0.022587,0.019736,14300.0,14621.0,0.0
2001-11-01,14888.0,14888.0,14480.0,14480.0,70,362.082094,53.892215,303.642857,-0.009779,0.020033,14623.0,14300.0,1.0
2001-11-02,14700.0,14700.0,14650.0,14650.0,562,329.554573,55.735768,295.785714,0.01174,0.019993,14480.0,14623.0,1.0
2001-11-05,14955.0,15000.0,14800.0,14980.0,2,335.752992,59.113622,313.642857,0.022526,0.01861,14650.0,14480.0,0.0
2001-11-06,14940.0,14940.0,14873.0,14873.0,353,325.733371,57.612268,281.285714,-0.007143,0.018254,14980.0,14650.0,0.0
2001-11-07,15000.0,15000.0,14830.0,14986.0,740,322.826227,58.81059,264.857143,0.007598,0.018208,14873.0,14980.0,1.0
2001-11-08,15303.0,15430.0,15250.0,15430.0,411,342.638068,63.181769,290.857143,0.029628,0.017886,14986.0,14873.0,-1.0
2001-11-09,15100.0,15140.0,14950.0,15093.0,15,318.304179,58.272383,323.714286,-0.021841,0.018832,15430.0,14986.0,0.0
2001-11-12,15030.0,15030.0,14890.0,15000.0,33,279.999874,56.928404,291.785714,-0.006162,0.018586,15093.0,15430.0,1.0
2001-11-13,15370.0,15543.0,15370.0,15543.0,16,296.426981,62.413095,302.0,0.0362,0.019793,15000.0,15093.0,0.0
2001-11-14,15700.0,15700.0,15590.0,15590.0,710,317.157408,62.838782,296.071429,0.003024,0.019168,15543.0,15000.0,0.0
2001-11-15,15850.0,15900.0,15710.0,15710.0,63,348.004283,63.957761,308.928571,0.007697,0.019047,15590.0,15543.0,0.0
2001-11-16,15750.0,15900.0,15750.0,15800.0,313,370.999877,64.807143,301.857143,0.005729,0.018433,15710.0,15590.0,0.0
2001-11-19,15990.0,16010.0,15786.0,15786.0,91,387.69222,64.553746,294.928571,-0.000886,0.017991,15800.0,15710.0,0.0
2001-11-20,15800.0,15800.0,15650.0,15800.0,66,390.041941,64.702508,282.571429,0.000887,0.017847,15786.0,15800.0,-1.0
2001-11-21,15600.0,15690.0,15450.0,15611.0,20,360.044091,60.984785,278.428571,-0.011962,0.018192,15800.0,15786.0,1.0
2001-11-22,15800.0,15850.0,15800.0,15850.0,125,359.352278,63.847886,279.785714,0.01531,0.016146,15611.0,15800.0,1.0
2001-11-23,15920.0,16040.0,15814.0,16040.0,6,365.993104,65.954588,270.928571,0.011987,0.015673,15850.0,15611.0,0.0
2001-11-26,16000.0,16090.0,16000.0,16090.0,69,358.307133,66.501257,269.714286,0.003117,0.015668,16040.0,15850.0,-1.0
2001-11-27,16020.0,16050.0,15810.0,15832.0,110,329.573939,61.069131,277.571429,-0.016035,0.016037,16090.0,16040.0,-1.0
2001-11-28,15650.0,15650.0,15450.0,15550.0,300,284.598673,55.632808,273.142857,-0.017812,0.016278,15832.0,16090.0,0.0
2001-11-29,15320.0,15470.0,15300.0,15470.0,209,228.819939,54.133871,256.714286,-0.005145,0.015426,15550.0,15832.0,1.0
2001-11-30,15360.0,15650.0,15350.0,15650.0,20,197.681037,56.958413,263.642857,0.011635,0.014957,15470.0,15550.0,-1.0
2001-12-03,15500.0,15500.0,15500.0,15500.0,44,151.788123,54.007931,235.571429,-0.009585,0.014949,15650.0,15470.0,0.0
2001-12-04,15570.0,15570.0,15500.0,15550.0,152,112.66527,54.855521,229.357143,0.003226,0.014827,15500.0,15650.0,1.0
