DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2005-10-24,14295.0,14380.0,14285.0,14380.0,5,-160.062556,34.535012,120.714286,0.009123,0.007873,14250.0,14185.0,-1.0
2005-10-25,14405.0,14405.0,14230.0,14230.0,0,-162.4177,31.82042,124.285714,-0.010431,0.008038,14380.0,14250.0,1.0
2005-10-26,14305.0,14305.0,14305.0,14305.0,100,-156.234264,34.616946,106.071429,0.005271,0.007629,14230.0,14380.0,-1.0
2005-10-27,14240.0,14240.0,14115.0,14115.0,0,-169.671684,31.1495,116.428571,-0.013282,0.008018,14305.0,14230.0,1.0
2005-10-28,14265.0,14265.0,14265.0,14265.0,67,-160.674663,36.619716,124.642857,0.010627,0.008384,14115.0,14305.0,1.0
2005-10-31,14370.0,14500.0,14370.0,14500.0,0,-125.60249,44.041885,137.5,0.016474,0.009147,14265.0,14115.0,0.0
2005-11-01,14525.0,14525.0,14525.0,14525.0,0,-94.352922,44.770848,128.214286,0.001724,0.009106,14500.0,14265.0,1.0
2005-11-02,14630.0,14630.0,14630.0,14630.0,4,-58.09054,47.838983,125.0,0.007229,0.00927,14525.0,14500.0,1.0
2005-11-03,14640.0,14815.0,14640.0,14815.0,0,-9.506058,52.780563,130.714286,0.012645,0.009715,14630.0,14525.0,0.0
2005-11-04,14765.0,14765.0,14765.0,14765.0,16,28.379409,51.381453,131.428571,-0.003375,0.009584,14815.0,14630.0,1.0
2005-11-07,14740.0,14850.0,14640.0,14850.0,0,69.628159,53.638978,137.5,0.005757,0.008329,14765.0,14815.0,0.0
2005-11-08,14845.0,14845.0,14845.0,14845.0,0,100.835494,53.482561,130.0,-0.000337,0.008318,14850.0,14765.0,0.0
2005-11-09,14880.0,14880.0,14880.0,14880.0,0,125.820233,54.483489,116.785714,0.002358,0.008317,14845.0,14850.0,1.0
2005-11-10,14970.0,14970.0,14970.0,14970.0,0,155.544496,57.037447,118.571429,0.006048,0.008391,14880.0,14845.0,1.0
2005-11-11,15125.0,15125.0,15125.0,15125.0,0,186.912371,61.064988,120.357143,0.010354,0.008211,14970.0,14880.0,-1.0
2005-11-14,15010.0,15010.0,15010.0,15010.0,5,204.299661,56.85035,116.071429,-0.007603,0.008037,15125.0,14970.0,-1.0
2005-11-15,15000.0,15000.0,14925.0,14925.0,8,205.458736,53.868255,116.785714,-0.005663,0.008104,15010.0,15125.0,-1.0
2005-11-16,14900.0,14900.0,14845.0,14845.0,0,192.054079,51.134113,108.928571,-0.00536,0.008186,14925.0,15010.0,0.0
2005-11-17,14905.0,14905.0,14905.0,14905.0,0,182.816053,53.068454,102.5,0.004042,0.008135,14845.0,14925.0,1.0
2005-11-18,15000.0,15000.0,15000.0,15000.0,0,177.993627,56.024706,92.5,0.006374,0.00792,14905.0,14845.0,1.0
2005-11-21,15075.0,15075.0,15075.0,15075.0,0,175.425616,58.246639,96.071429,0.005,0.007681,15000.0,14905.0,0.0
2005-11-22,15090.0,15090.0,15090.0,15090.0,0,172.932113,58.693924,89.642857,0.000995,0.00768,15075.0,15000.0,1.0
2005-11-23,15150.0,15150.0,15150.0,15150.0,0,171.339985,60.51424,80.714286,0.003976,0.00755,15090.0,15075.0,-1.0
2005-11-24,15090.0,15090.0,15090.0,15090.0,0,160.635546,57.782794,81.428571,-0.00396,0.007141,15150.0,15090.0,0.0
2005-11-25,15135.0,15135.0,15135.0,15135.0,0,151.617756,59.273465,69.642857,0.002982,0.007118,15090.0,15150.0,-1.0
2005-11-28,15035.0,15035.0,15035.0,15035.0,0,130.967534,54.667697,76.428571,-0.006607,0.006527,15135.0,15090.0,0.0
2005-11-29,15070.0,15070.0,15070.0,15070.0,78,113.030926,55.965958,76.428571,0.002328,0.006295,15035.0,15135.0,-1.0
2005-11-30,14995.0,14995.0,14995.0,14995.0,0,90.469582,52.504054,75.357143,-0.004977,0.005659,15070.0,15035.0,1.0
2005-12-01,15235.0,15235.0,15235.0,15235.0,0,95.391177,60.884092,81.428571,0.016005,0.006446,14995.0,15070.0,1.0
2005-12-02,15340.0,15340.0,15340.0,15340.0,41,106.443721,63.842479,80.714286,0.006892,0.006433,15235.0,14995.0,-1.0
2005-12-05,15315.0,15315.0,15250.0,15260.0,0,105.514474,60.136185,81.071429,-0.005215,0.006171,15340.0,15235.0,1.0
2005-12-06,15340.0,15340.0,15340.0,15340.0,0,110.258576,62.49337,81.071429,0.005242,0.006129,15260.0,15340.0,0.0
