DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,42660.0,42740.0,42540.0,42640.0,33393,453.372002,60.431119,556.428571,-0.002573,0.00827,42750.0,42340.0,-1.0
1990-02-07,42550.0,42970.0,42220.0,42310.0,64953,412.200009,57.212032,570.714286,-0.007739,0.008221,42640.0,42750.0,0.0
1990-02-08,42270.0,42470.0,42120.0,42350.0,39404,356.382644,57.509791,568.571429,0.000945,0.008222,42310.0,42640.0,-1.0
1990-02-09,42250.0,42380.0,41950.0,42060.0,49208,273.043481,54.54877,566.428571,-0.006848,0.007397,42350.0,42310.0,1.0
1990-02-12,42000.0,42490.0,41930.0,42360.0,42819,240.747807,57.030487,555.0,0.007133,0.007503,42060.0,42350.0,-1.0
1990-02-13,42430.0,42580.0,42120.0,42200.0,42270,181.679262,55.308249,501.428571,-0.003777,0.007542,42360.0,42060.0,0.0
1990-02-14,41950.0,42130.0,41750.0,42070.0,62834,121.38017,53.879162,494.285714,-0.003081,0.007588,42200.0,42360.0,-1.0
1990-02-15,42100.0,42200.0,41550.0,41620.0,56974,40.064769,49.132072,505.0,-0.010696,0.007804,42070.0,42200.0,1.0
1990-02-16,41820.0,42150.0,41630.0,42080.0,62751,32.79359,53.673921,505.0,0.011052,0.008101,41620.0,42070.0,1.0
1990-02-20,42220.0,42470.0,42130.0,42360.0,39766,37.913543,56.208962,502.142857,0.006654,0.008042,42080.0,41620.0,-1.0
1990-02-21,42470.0,42640.0,42120.0,42160.0,49118,21.755729,53.952901,490.0,-0.004721,0.008137,42360.0,42080.0,-1.0
1990-02-22,42100.0,42240.0,41810.0,41900.0,41155,-29.763903,51.069594,480.0,-0.006167,0.00819,42160.0,42360.0,0.0
1990-02-23,41750.0,42110.0,41750.0,41820.0,38958,-75.508306,50.175555,484.285714,-0.001909,0.007634,41900.0,42160.0,-1.0
1990-02-26,41550.0,41600.0,40960.0,41180.0,59672,-166.706302,43.588775,496.428571,-0.015304,0.007954,41820.0,41900.0,0.0
1990-02-27,41180.0,41250.0,40970.0,41100.0,29873,-247.046386,42.820312,501.428571,-0.001943,0.007939,41180.0,41820.0,-1.0
1990-02-28,41200.0,41230.0,40750.0,40890.0,40181,-318.688383,40.783765,482.142857,-0.005109,0.007593,41100.0,41180.0,0.0
1990-03-01,40920.0,41040.0,40780.0,40900.0,31466,-371.971679,40.92858,475.714286,0.000245,0.007605,40890.0,41100.0,-1.0
1990-03-02,40820.0,40870.0,40400.0,40560.0,59412,-432.964262,37.565637,480.714286,-0.008313,0.007732,40900.0,40890.0,0.0
1990-03-05,40600.0,40750.0,40500.0,40660.0,22910,-464.946151,39.162241,458.571429,0.002465,0.007264,40560.0,40900.0,0.0
1990-03-06,40690.0,40830.0,40570.0,40610.0,23296,-473.543698,38.631599,444.285714,-0.00123,0.006517,40660.0,40560.0,-1.0
1990-03-07,40420.0,40450.0,40080.0,40230.0,40823,-520.301006,34.770768,450.0,-0.009357,0.006689,40610.0,40660.0,0.0
1990-03-08,40260.0,40390.0,40180.0,40190.0,26904,-562.006357,34.377619,418.571429,-0.000994,0.006143,40230.0,40610.0,0.0
1990-03-09,39950.0,40180.0,39900.0,40160.0,33540,-593.245434,34.0662,401.428571,-0.000746,0.006158,40190.0,40230.0,0.0
1990-03-12,40220.0,40360.0,40020.0,40110.0,31444,-603.632416,33.520767,397.857143,-0.001245,0.00606,40160.0,40190.0,0.0
1990-03-13,39800.0,40120.0,39670.0,40070.0,54325,-605.765613,33.06411,392.857143,-0.000997,0.006023,40110.0,40160.0,0.0
1990-03-14,40000.0,40150.0,39880.0,39950.0,27947,-590.574584,31.668873,381.428571,-0.002995,0.005946,40070.0,40110.0,0.0
1990-03-15,39920.0,40180.0,39850.0,39960.0,51753,-567.57256,31.927438,379.285714,0.00025,0.005596,39950.0,40070.0,1.0
1990-03-16,40010.0,40260.0,40010.0,40090.0,29870,-527.144207,35.351401,339.285714,0.003253,0.005727,39960.0,39950.0,0.0
1990-03-19,40270.0,40420.0,40160.0,40190.0,33038,-477.48836,37.929348,342.857143,0.002494,0.005814,40090.0,39960.0,-1.0
1990-03-20,40200.0,40270.0,39250.0,39330.0,73524,-505.011316,27.718088,381.428571,-0.021398,0.006914,40190.0,40090.0,0.0
1990-03-21,39130.0,39390.0,39090.0,39250.0,38501,-524.430264,26.974674,384.285714,-0.002034,0.006217,39330.0,40190.0,1.0
1990-03-22,39700.0,40040.0,39700.0,40010.0,33126,-461.256204,42.723161,405.0,0.019363,0.007605,39250.0,39330.0,-1.0
1990-03-23,39950.0,40060.0,39150.0,39480.0,53678,-444.906569,36.865741,452.142857,-0.013247,0.007931,40010.0,39250.0,-1.0
1990-03-26,37730.0,37950.0,36700.0,37140.0,98984,-643.608489,22.199837,632.142857,-0.059271,0.014399,39480.0,40010.0,1.0
1990-03-27,37350.0,37570.0,37290.0,37430.0,48075,-756.614562,26.356296,625.0,0.007808,0.014657,37140.0,39480.0,0.0
1990-03-28,37800.0,37850.0,37300.0,37420.0,53973,-829.569699,26.304514,649.285714,-0.000267,0.0145,37430.0,37140.0,0.0
1990-03-29,37620.0,37790.0,37520.0,37600.0,61521,-858.018114,29.008937,655.0,0.00481,0.014622,37420.0,37430.0,0.0
1990-03-30,37620.0,37650.0,37180.0,37500.0,47136,-876.137658,28.38863,664.285714,-0.00266,0.014622,37600.0,37420.0,0.0
1990-04-02,37220.0,37460.0,37180.0,37450.0,17471,-882.629823,28.06463,655.0,-0.001333,0.014605,37500.0,37600.0,1.0
1990-04-03,38150.0,38240.0,37850.0,38010.0,32419,-833.250774,36.779144,692.142857,0.014953,0.015103,37450.0,37500.0,0.0
1990-04-04,37900.0,38210.0,37780.0,38180.0,21663,-770.76748,39.153447,699.285714,0.004473,0.015143,38010.0,37450.0,0.0
1990-04-05,38220.0,38330.0,37820.0,37930.0,29095,-716.263185,36.964676,714.285714,-0.006548,0.01516,38180.0,38010.0,1.0
1990-04-06,38280.0,38540.0,38110.0,38520.0,28519,-606.212334,44.851687,734.285714,0.015555,0.015586,37930.0,38180.0,-1.0
1990-04-09,38060.0,38190.0,37880.0,38040.0,27913,-576.504554,40.481904,707.142857,-0.012461,0.015747,38520.0,37930.0,0.0
1990-04-10,37970.0,38020.0,37620.0,37930.0,23873,-541.948397,39.519679,715.714286,-0.002892,0.015743,38040.0,38520.0,0.0
