DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2005-10-13,104820.0,104860.0,103820.0,103880.0,5662,-410.585708,29.220587,862.857143,-0.010478,0.00537,104980.0,105520.0,0.0
2005-10-14,104140.0,104620.0,103600.0,103660.0,4262,-539.582973,28.599416,841.428571,-0.002118,0.005356,103880.0,104980.0,1.0
2005-10-17,103880.0,104320.0,103860.0,104000.0,5092,-586.722436,31.044276,812.857143,0.00328,0.005329,103660.0,103880.0,0.0
2005-10-18,104000.0,104180.0,103640.0,104160.0,11532,-619.521787,32.216683,780.0,0.001538,0.005332,104000.0,103660.0,1.0
2005-10-19,104460.0,104660.0,104220.0,104440.0,8525,-597.601405,34.318085,737.142857,0.002688,0.004925,104160.0,104000.0,0.0
2005-10-20,104500.0,104500.0,103620.0,104320.0,7790,-585.224186,33.835251,757.142857,-0.001149,0.004885,104440.0,104160.0,1.0
2005-10-21,104420.0,105340.0,104400.0,105220.0,3141,-495.774347,40.593775,747.142857,0.008627,0.00481,104320.0,104440.0,-1.0
2005-10-24,105100.0,105280.0,104660.0,104780.0,6819,-457.792539,38.538885,732.857143,-0.004182,0.004851,105220.0,104320.0,-1.0
2005-10-25,104840.0,104920.0,103660.0,103820.0,7509,-509.448324,34.426912,784.285714,-0.009162,0.00507,104780.0,105220.0,-1.0
2005-10-26,103520.0,103620.0,102900.0,103100.0,9828,-612.520402,31.672221,798.571429,-0.006935,0.004742,103820.0,104780.0,-1.0
2005-10-27,103260.0,103400.0,102540.0,102600.0,8146,-706.229605,29.872165,802.857143,-0.00485,0.00475,103100.0,103820.0,0.0
2005-10-28,102800.0,103260.0,102440.0,102680.0,3861,-747.585659,30.555543,830.0,0.00078,0.004635,102600.0,103100.0,1.0
2005-10-31,102720.0,103400.0,102700.0,103140.0,9925,-704.98208,34.504618,828.571429,0.00448,0.004751,102680.0,102600.0,0.0
2005-11-01,103140.0,103720.0,102680.0,102960.0,8456,-683.396334,33.700622,858.571429,-0.001745,0.004733,103140.0,102680.0,-1.0
2005-11-02,103000.0,103200.0,102340.0,102600.0,5751,-693.823167,32.087435,837.142857,-0.003497,0.004722,102960.0,103140.0,-1.0
2005-11-03,102240.0,102860.0,102160.0,102340.0,6219,-713.810965,30.931779,814.285714,-0.002534,0.004698,102600.0,102960.0,-1.0
2005-11-04,102180.0,102620.0,101700.0,102040.0,0,-757.613364,29.603553,832.857143,-0.002931,0.004662,102340.0,102600.0,0.0
2005-11-07,102000.0,102000.0,102000.0,102000.0,7998,-780.706141,29.421611,797.142857,-0.000392,0.004665,102040.0,102340.0,1.0
2005-11-08,102140.0,102700.0,101820.0,102640.0,5405,-754.51791,36.182486,824.285714,0.006275,0.004836,102000.0,102040.0,-1.0
2005-11-09,102700.0,102760.0,101740.0,101920.0,4289,-779.333216,32.440985,834.285714,-0.007015,0.004913,102640.0,102000.0,0.0
2005-11-10,102520.0,102520.0,101760.0,101980.0,1595,-758.037679,33.06652,815.714286,0.000589,0.004868,101920.0,102640.0,0.0
2005-11-11,102220.0,102380.0,102080.0,102140.0,3958,-700.268156,34.799202,800.0,0.001569,0.004842,101980.0,101920.0,-1.0
2005-11-14,102260.0,102660.0,101660.0,101780.0,7454,-659.538876,32.748274,781.428571,-0.003525,0.004419,102140.0,101980.0,1.0
2005-11-15,102560.0,102560.0,101640.0,102220.0,6968,-573.088232,37.605576,781.428571,0.004323,0.004547,101780.0,102140.0,1.0
2005-11-16,102240.0,103340.0,102020.0,103220.0,6437,-418.320727,46.944204,814.285714,0.009783,0.005001,102220.0,101780.0,0.0
2005-11-17,103300.0,103320.0,102420.0,103000.0,6022,-310.270937,45.351595,820.0,-0.002131,0.004997,103220.0,102220.0,-1.0
2005-11-18,102880.0,103220.0,101600.0,101960.0,4707,-318.426263,38.660244,884.285714,-0.010097,0.005341,103000.0,103220.0,1.0
2005-11-21,101980.0,102620.0,101720.0,102540.0,3706,-261.779914,43.700073,874.285714,0.005689,0.005532,101960.0,103000.0,0.0
2005-11-22,102500.0,102720.0,102260.0,102520.0,3347,-202.785604,43.567894,845.714286,-0.000195,0.005123,102540.0,101960.0,1.0
2005-11-23,102860.0,102880.0,102560.0,102800.0,3405,-122.154956,46.02959,821.428571,0.002731,0.005142,102520.0,102540.0,1.0
2005-11-24,102820.0,103860.0,102700.0,103800.0,3804,26.307807,53.765579,838.571429,0.009728,0.005264,102800.0,102520.0,0.0
2005-11-25,103780.0,104000.0,103460.0,103620.0,4356,144.792378,52.325693,874.285714,-0.001734,0.00505,103800.0,102800.0,0.0
2005-11-28,103480.0,103740.0,103180.0,103620.0,4197,249.220833,52.325693,851.428571,0.0,0.004921,103620.0,103800.0,-1.0
2005-11-29,103680.0,104060.0,102700.0,102900.0,4237,258.688247,46.534336,875.714286,-0.006948,0.005167,103620.0,103620.0,1.0
2005-11-30,102980.0,103300.0,102860.0,103280.0,4714,300.374243,49.71948,852.857143,0.003693,0.005138,102900.0,103620.0,1.0
2005-12-01,103300.0,104160.0,103020.0,103700.0,4751,353.057698,53.037328,905.714286,0.004067,0.005189,103280.0,102900.0,1.0
2005-12-02,103740.0,104060.0,103380.0,103980.0,11355,387.926018,55.153339,882.857143,0.0027,0.005139,103700.0,103280.0,-1.0
