DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,24675.0,24925.0,24575.0,24800.0,3576,-532.65742,50.318152,662.5,0.005066,0.016229,24675.0,25012.5,1.0
1990-02-07,24550.0,25050.0,24425.0,25012.5,4857,-432.552039,51.813805,660.714286,0.008569,0.015802,24800.0,24675.0,0.0
1990-02-08,25025.0,25300.0,24775.0,24937.5,4912,-335.015051,51.232558,634.821429,-0.002999,0.015755,25012.5,24800.0,1.0
1990-02-09,25325.0,25425.0,25200.0,25312.5,4872,-212.891618,54.01841,625.0,0.015038,0.015921,24937.5,25012.5,-1.0
1990-02-12,25450.0,25650.0,24950.0,24975.0,8161,-144.404755,51.224265,621.428571,-0.013333,0.015793,25312.5,24937.5,1.0
1990-02-13,24875.0,26100.0,24750.0,26050.0,12435,16.6671,58.658586,674.107143,0.043043,0.017604,24975.0,25312.5,1.0
1990-02-14,25900.0,26825.0,25900.0,26425.0,14929,189.256409,60.809972,693.75,0.014395,0.017435,26050.0,24975.0,1.0
1990-02-15,26725.0,26950.0,26425.0,26762.5,6545,359.897582,62.666296,681.25,0.012772,0.017602,26425.0,26050.0,1.0
1990-02-16,27250.0,27900.0,27137.5,27837.5,12101,579.587086,67.827704,692.857143,0.040168,0.019388,26762.5,26425.0,1.0
1990-02-20,28212.5,28775.0,28025.0,28250.0,12235,783.644257,69.502741,727.678571,0.014818,0.019045,27837.5,26762.5,1.0
1990-02-21,27625.0,28600.0,27550.0,28550.0,10687,946.282084,70.680855,733.928571,0.010619,0.017443,28250.0,27837.5,-1.0
1990-02-22,27275.0,27325.0,26750.0,27000.0,7524,931.364635,58.28466,823.214286,-0.054291,0.021639,28550.0,28250.0,0.0
1990-02-23,26750.0,26975.0,26600.0,26875.0,6259,895.670064,57.360798,798.214286,-0.00463,0.021386,27000.0,28550.0,0.0
1990-02-26,26525.0,26900.0,26525.0,26762.5,5666,839.387026,56.488914,799.107143,-0.004186,0.021272,26875.0,27000.0,0.0
1990-02-27,26700.0,26850.0,26450.0,26687.5,6469,772.791619,55.87658,802.678571,-0.002802,0.021281,26762.5,26875.0,1.0
1990-02-28,26687.5,27150.0,26687.5,27062.5,5987,735.574818,58.316433,791.071429,0.014052,0.021379,26687.5,26762.5,0.0
1990-03-01,27250.0,27475.0,27150.0,27300.0,6802,723.110354,59.811143,783.035714,0.008776,0.020877,27062.5,26687.5,1.0
1990-03-02,27800.0,28525.0,27800.0,28425.0,12443,779.447388,65.980008,835.714286,0.041209,0.021815,27300.0,27062.5,1.0
1990-03-05,28575.0,29275.0,28475.0,29200.0,10773,876.913755,69.333935,846.428571,0.027265,0.02165,28425.0,27300.0,-1.0
1990-03-06,29025.0,29350.0,28562.5,28837.5,10703,900.095885,66.136728,806.25,-0.012414,0.021785,29200.0,28425.0,0.0
1990-03-07,28775.0,29125.0,28625.0,28662.5,5110,857.606362,64.569288,775.892857,-0.006068,0.021661,28837.5,29200.0,1.0
1990-03-08,28750.0,29025.0,28750.0,28975.0,3518,823.764428,66.122736,764.285714,0.010903,0.021212,28662.5,28837.5,0.0
1990-03-09,29425.0,29487.5,28750.0,28875.0,5968,772.270516,65.148981,735.714286,-0.003451,0.021337,28975.0,28662.5,0.0
1990-03-12,28375.0,28950.0,28325.0,28737.5,4927,738.02283,63.753915,713.392857,-0.004762,0.021483,28875.0,28975.0,-1.0
1990-03-13,28600.0,28900.0,28050.0,28175.0,7132,656.146884,58.233899,699.107143,-0.019574,0.022116,28737.5,28875.0,1.0
1990-03-14,28275.0,29687.5,28275.0,29350.0,11537,688.246289,65.156115,678.571429,0.041704,0.023343,28175.0,28737.5,1.0
1990-03-15,29875.0,29975.0,29475.0,29887.5,7853,754.583667,67.688661,694.642857,0.018313,0.023002,29350.0,28175.0,0.0
1990-03-16,30075.0,30150.0,29625.0,29937.5,6454,792.657749,67.918057,705.357143,0.001673,0.021693,29887.5,29350.0,0.0
1990-03-19,30050.0,30225.0,29525.0,29775.0,6551,788.250851,66.274002,726.785714,-0.005428,0.021764,29937.5,29887.5,-1.0
1990-03-20,29575.0,29750.0,29175.0,29325.0,7349,707.521963,61.789122,736.607143,-0.015113,0.022139,29775.0,29937.5,1.0
1990-03-21,29400.0,30600.0,29400.0,30300.0,9970,698.026028,67.068782,798.214286,0.033248,0.021651,29325.0,29775.0,-1.0
1990-03-22,30025.0,30100.0,29375.0,29525.0,8134,624.817041,60.179917,776.785714,-0.025578,0.022397,30300.0,29325.0,0.0
1990-03-23,29125.0,29575.0,29050.0,29475.0,6979,559.294651,59.742379,753.571429,-0.001693,0.022332,29525.0,30300.0,-1.0
1990-03-26,28900.0,29100.0,28375.0,28675.0,6892,420.303528,53.081278,775.892857,-0.027142,0.019684,29475.0,29525.0,-1.0
1990-03-27,29025.0,29100.0,28000.0,28062.5,9835,261.085263,48.498363,818.75,-0.02136,0.020303,28675.0,29475.0,1.0
1990-03-28,28100.0,29350.0,27925.0,29125.0,12651,237.495012,55.785396,894.642857,0.037862,0.021614,28062.5,28675.0,1.0
1990-03-29,29750.0,29825.0,29275.0,29475.0,5765,264.630742,57.825104,891.964286,0.012017,0.021621,29125.0,28062.5,1.0
1990-03-30,30062.5,30675.0,29875.0,30600.0,9405,341.101288,63.572977,933.035714,0.038168,0.022699,29475.0,29125.0,-1.0
1990-04-02,30775.0,30850.0,30125.0,30225.0,9090,344.056398,60.711942,924.107143,-0.012255,0.023011,30600.0,29475.0,1.0
1990-04-03,30475.0,31250.0,30375.0,31212.5,7211,425.57089,65.207484,889.285714,0.032672,0.022434,30225.0,30600.0,-1.0
1990-04-04,30875.0,30950.0,29900.0,30037.5,9292,373.676001,57.100087,938.392857,-0.037645,0.023538,31212.5,30225.0,0.0
1990-04-05,30200.0,30475.0,29562.5,29725.0,7142,309.582541,55.062566,966.071429,-0.010404,0.023485,30037.5,31212.5,1.0
1990-04-06,29800.0,30775.0,29625.0,30275.0,8426,281.88158,57.937325,998.214286,0.018503,0.023685,29725.0,30037.5,-1.0
1990-04-09,29950.0,30050.0,29125.0,29175.0,9367,181.855261,51.033344,1037.5,-0.036334,0.025015,30275.0,29725.0,1.0
1990-04-10,29475.0,29875.0,29187.5,29837.5,7558,170.67407,54.669038,996.428571,0.022708,0.025431,29175.0,30275.0,0.0
1990-04-11,29400.0,30050.0,29300.0,29525.0,7480,145.644286,52.724586,983.928571,-0.010473,0.02553,29837.5,29175.0,0.0
1990-04-12,29675.0,30000.0,29050.0,29212.5,8094,108.506148,50.759723,1014.285714,-0.010584,0.025246,29525.0,29837.5,0.0
1990-04-16,28925.0,29400.0,28875.0,29125.0,4062,49.342174,50.189693,973.214286,-0.002995,0.023642,29212.5,29525.0,0.0
1990-04-17,28825.0,29275.0,28625.0,29062.5,8759,-13.140555,49.758566,941.071429,-0.002146,0.023284,29125.0,29212.5,0.0
1990-04-18,29175.0,29350.0,28700.0,29050.0,7583,-92.698892,49.666478,885.714286,-0.00043,0.023276,29062.5,29125.0,0.0
1990-04-19,28775.0,29225.0,28725.0,29150.0,7214,-145.599638,50.456756,871.428571,0.003442,0.023275,29050.0,29062.5,-1.0
1990-04-20,27100.0,27200.0,26550.0,26625.0,11283,-431.733476,35.396393,971.428571,-0.086621,0.029534,29150.0,29050.0,0.0
1990-04-23,26875.0,27037.5,26350.0,26425.0,11434,-638.338022,34.436469,968.75,-0.007512,0.028343,26625.0,29150.0,1.0
1990-04-24,26525.0,27250.0,26400.0,27125.0,15196,-720.610268,40.558494,956.25,0.02649,0.028785,26425.0,26625.0,1.0
1990-04-25,27450.0,27975.0,27400.0,27775.0,13166,-731.620718,45.514784,923.214286,0.023963,0.029373,27125.0,26425.0,0.0
1990-04-26,27575.0,28212.5,27500.0,28025.0,10861,-688.611778,47.292516,908.928571,0.009001,0.028923,27775.0,27125.0,0.0
1990-04-27,27700.0,27900.0,27325.0,27900.0,5899,-662.885824,46.483147,876.785714,-0.00446,0.028568,28025.0,27775.0,-1.0
1990-04-30,27175.0,27375.0,26800.0,27225.0,7514,-698.023617,42.258524,873.214286,-0.024194,0.027717,27900.0,28025.0,1.0
1990-05-01,27625.0,28625.0,27600.0,28325.0,12255,-609.319546,50.37075,923.214286,0.040404,0.029062,27225.0,27900.0,0.0
1990-05-02,27800.0,28225.0,27725.0,28037.5,5448,-566.063563,48.52634,912.5,-0.01015,0.027725,28325.0,27225.0,0.0
1990-05-03,28450.0,28600.0,27850.0,27900.0,6493,-544.782007,47.619063,898.214286,-0.004904,0.02766,28037.5,28325.0,0.0
1990-05-04,27925.0,28000.0,27450.0,27812.5,6297,-519.13155,47.013705,900.0,-0.003136,0.026473,27900.0,28037.5,-1.0
1990-05-07,27475.0,27950.0,27375.0,27412.5,4416,-528.174681,44.23647,894.642857,-0.014382,0.02555,27812.5,27900.0,1.0
