DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,23520.0,23793.0,23247.0,23599.8,19254,-857.196447,31.860651,708.0,0.00429,0.02442,23499.0,24469.2,0.0
1990-02-07,23310.0,23520.0,23121.0,23473.8,16942,-755.462113,31.479629,694.8,-0.005339,0.022418,23599.8,23499.0,0.0
1990-02-08,23562.0,23730.0,23142.0,23234.4,17282,-661.394419,30.723784,693.9,-0.010199,0.022092,23473.8,23599.8,-1.0
1990-02-09,22806.0,23100.0,22743.0,22940.4,25064,-618.715478,29.768741,663.0,-0.012654,0.02066,23234.4,23473.8,1.0
1990-02-12,23058.0,23268.0,22995.0,23213.4,18059,-570.607787,31.912358,647.4,0.0119,0.01839,22940.4,23234.4,1.0
1990-02-13,23289.0,23856.0,23289.0,23578.8,28442,-502.877678,34.749328,639.3,0.015741,0.018941,23213.4,22940.4,1.0
1990-02-14,23562.0,24108.0,23478.0,24049.2,23067,-407.0015,38.260484,624.3,0.01995,0.01863,23578.8,23213.4,1.0
1990-02-15,24255.0,24486.0,24150.0,24343.2,27506,-276.425669,40.377673,621.0,0.012225,0.018468,24049.2,23578.8,-1.0
1990-02-16,24108.0,24318.0,23604.0,23860.2,16328,-220.531357,38.094364,612.3,-0.019841,0.018006,24343.2,24049.2,0.0
1990-02-20,23688.0,24045.0,23583.0,23814.0,16905,-168.769448,37.869306,597.3,-0.001936,0.017677,23860.2,24343.2,0.0
1990-02-21,23751.0,23898.0,23646.0,23835.0,13483,-144.952252,38.048816,576.9,0.000882,0.017194,23814.0,23860.2,0.0
1990-02-22,23919.0,24234.0,23856.0,23931.6,25121,-96.497262,38.922236,554.4,0.004053,0.016218,23835.0,23814.0,0.0
1990-02-23,23772.0,24108.0,23667.0,24053.4,19786,-53.979119,40.064989,533.4,0.00509,0.015888,23931.6,23835.0,1.0
1990-02-26,24402.0,24507.0,24108.0,24360.0,21116,16.567061,42.944202,492.0,0.012747,0.016081,24053.4,23931.6,-1.0
1990-02-27,24423.0,24423.0,23982.0,24049.2,29624,55.731623,40.829913,484.5,-0.012759,0.016283,24360.0,24053.4,-1.0
1990-02-28,23982.0,24045.0,23688.0,23755.2,32938,60.817806,38.855923,476.1,-0.012225,0.016478,24049.2,24360.0,-1.0
1990-03-01,23898.0,23919.0,22848.0,22944.6,27313,-19.119483,33.925556,510.6,-0.034123,0.016859,23755.2,24049.2,1.0
