DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2006-07-18,58110.0,58330.01,55550.0,55550.0,37,-1974.207869,53.763025,2587.859286,-0.039426,0.040948,57830.0,63470.0,1.0
2006-07-19,57050.0,58620.0,56650.0,58620.0,22,-1830.749576,57.4548,2705.002143,0.055266,0.037097,55550.0,57830.0,1.0
2006-07-20,60180.0,62010.0,59780.0,60910.0,93,-1472.358984,59.892559,2790.001429,0.039065,0.038463,58620.0,55550.0,0.0
2006-07-21,59500.0,61390.0,59110.0,61390.0,43,-1054.294099,60.385664,2790.001429,0.00788,0.037814,60910.0,58620.0,1.0
2006-07-24,66900.0,67230.01,66900.0,67230.01,1,-95.923521,65.844759,3153.573571,0.09513,0.041517,61390.0,60910.0,-1.0
2006-07-25,68500.0,68500.0,63300.0,65130.0,43,584.172275,62.785243,3262.858571,-0.031236,0.042041,67230.01,61390.0,1.0
2006-07-26,66000.0,70050.01,66000.0,69740.0,68,1542.150486,66.575297,3460.002143,0.070782,0.044271,65130.0,67230.01,0.0
2006-07-27,70650.0,72870.0,70300.0,71230.01,66,2400.611771,67.646385,3542.145,0.021365,0.044372,69740.0,65130.0,0.0
2006-07-28,71000.0,72500.0,69650.0,71840.0,58,3043.413441,68.087805,3617.859286,0.008564,0.04326,71230.01,69740.0,1.0
2006-07-31,74400.0,82700.0,74400.0,82110.0,72,4398.221454,74.373426,4207.145,0.142957,0.051948,71840.0,71230.01,-1.0
2006-08-01,84400.01,85420.0,75170.0,75740.0,121,4761.16814,66.696006,4815.002143,-0.077579,0.054946,82110.0,71840.0,1.0
2006-08-02,79700.01,85140.01,77990.0,77990.0,172,5332.553475,68.055845,5190.002857,0.029707,0.054981,75740.0,82110.0,-1.0
2006-08-03,73700.0,74500.0,72580.01,72920.0,118,5289.419507,62.082007,5396.430714,-0.065008,0.057322,77990.0,75740.0,0.0
2006-08-04,73250.0,73250.0,71610.0,72460.0,40,5106.802181,61.517701,5072.859286,-0.006308,0.055591,72920.0,77990.0,-1.0
2006-08-07,69000.0,69500.0,67800.0,69070.0,38,4528.631288,57.353927,5207.144286,-0.046784,0.056668,72460.0,72920.0,1.0
2006-08-08,68310.0,72990.0,68000.0,71580.01,33,4242.093807,59.639091,5344.287143,0.03634,0.056346,69070.0,72460.0,1.0
2006-08-09,74400.0,78920.0,74150.0,76510.0,83,4279.905294,63.618114,5626.429286,0.068874,0.057579,71580.01,69070.0,0.0
2006-08-10,75100.0,78650.0,74880.0,75290.0,109,4148.282243,62.091876,5732.857857,-0.015946,0.057933,76510.0,71580.01,-1.0
2006-08-11,74300.0,74300.0,72300.0,72690.01,34,3622.805089,58.801773,5529.285714,-0.034533,0.058804,75290.0,76510.0,-1.0
2006-08-14,67500.0,69130.0,67450.0,69130.0,24,2766.417463,54.399319,5532.143571,-0.048975,0.059164,72690.01,75290.0,0.0
2006-08-15,68210.0,69090.0,67750.0,68610.0,14,1982.762146,53.733896,5279.285714,-0.007522,0.05889,69130.0,72690.01,0.0
2006-08-16,70400.0,70460.0,66470.0,67660.0,17,987.525264,52.461767,5340.714286,-0.013846,0.055245,68610.0,69130.0,0.0
2006-08-17,67150.0,67150.0,64850.0,66890.01,44,249.577355,51.385002,5337.857143,-0.01138,0.054402,67660.0,68610.0,0.0
2006-08-18,65850.0,70500.0,65520.0,67310.0,103,-338.296673,51.970726,4917.857143,0.006279,0.053449,66890.01,67660.0,0.0
2006-08-21,65820.0,67060.0,64450.01,66240.0,28,-776.616331,50.317791,4389.999286,-0.015897,0.053193,67310.0,66890.01,1.0
