DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,86737.5,86737.5,86062.5,86137.5,28969,59.778339,46.07262,705.357143,-0.003903,0.005551,86475.0,86050.0,0.0
1990-02-07,86212.5,86262.5,85912.5,86012.5,24332,25.791174,45.381346,683.035714,-0.001451,0.005542,86137.5,86475.0,0.0
1990-02-08,86175.0,86412.5,86000.0,86125.0,22884,7.349196,46.165366,679.464286,0.001308,0.005397,86012.5,86137.5,1.0
1990-02-09,86237.5,86487.5,86112.5,86462.5,23026,37.061241,48.548365,674.107143,0.003919,0.00539,86125.0,86012.5,1.0
1990-02-12,86662.5,86912.5,86625.0,86725.0,24970,57.809918,50.380901,677.678571,0.003036,0.005423,86462.5,86125.0,0.0
1990-02-13,86600.0,86825.0,86575.0,86712.5,18006,52.835491,50.289326,644.642857,-0.000144,0.005377,86725.0,86462.5,0.0
1990-02-14,86675.0,86812.5,86600.0,86737.5,20451,48.563426,50.48321,578.571429,0.000288,0.005333,86712.5,86725.0,-1.0
1990-02-15,86662.5,86725.0,86400.0,86500.0,14437,44.91411,48.546634,533.928571,-0.002738,0.005372,86737.5,86712.5,1.0
1990-02-16,86387.5,86925.0,86000.0,86912.5,26405,70.947783,52.000163,566.071429,0.004769,0.005461,86500.0,86737.5,-1.0
1990-02-20,86150.0,86275.0,85937.5,86200.0,36604,28.448482,46.252822,490.178571,-0.008198,0.00558,86912.5,86500.0,0.0
1990-02-21,86075.0,86212.5,85962.5,86025.0,27688,-9.753471,44.928489,468.75,-0.00203,0.005562,86200.0,86912.5,-1.0
1990-02-22,86037.5,86062.5,85250.0,85275.0,53819,-118.568387,39.674804,498.214286,-0.008718,0.005783,86025.0,86200.0,0.0
1990-02-23,85137.5,85362.5,84925.0,85037.5,46558,-216.730084,38.140476,500.892857,-0.002785,0.005741,85275.0,86025.0,-1.0
1990-02-26,84175.0,84262.5,83975.0,84112.5,32741,-379.632509,32.804531,537.5,-0.010878,0.006118,85037.5,85275.0,0.0
1990-02-27,83987.5,84212.5,83987.5,84162.5,22366,-498.448247,33.353271,505.357143,0.000594,0.005618,84112.5,85037.5,0.0
1990-02-28,84175.0,84200.0,83837.5,84000.0,22246,-614.009879,32.426988,506.25,-0.001931,0.005011,84162.5,84112.5,-1.0
1990-03-01,83600.0,83837.5,83437.5,83475.0,51998,-750.10195,29.564729,516.964286,-0.00625,0.005092,84000.0,84162.5,0.0
1990-03-02,83550.0,83750.0,83137.5,83262.5,42826,-866.677751,28.462718,533.928571,-0.002546,0.00443,83475.0,84000.0,1.0
1990-03-05,84037.5,84037.5,83400.0,83987.5,35749,-873.097276,37.099236,557.142857,0.008707,0.004794,83262.5,83475.0,-1.0
1990-03-06,83625.0,83712.5,83437.5,83500.0,20395,-897.087128,34.140337,578.571429,-0.005804,0.004863,83987.5,83262.5,-1.0
1990-03-07,82887.5,82975.0,82575.0,82937.5,38867,-967.825085,31.045585,629.464286,-0.006737,0.004955,83500.0,83987.5,0.0
1990-03-08,83062.5,83212.5,82937.5,82975.0,22367,-1004.160964,31.494447,625.0,0.000452,0.004759,82937.5,83500.0,0.0
1990-03-09,82850.0,82987.5,82687.5,82850.0,33558,-1023.855671,30.77562,580.357143,-0.001506,0.004737,82975.0,82937.5,-1.0
1990-03-12,82350.0,82462.5,82100.0,82175.0,46910,-1074.176679,27.16462,564.285714,-0.008147,0.004928,82850.0,82975.0,0.0
1990-03-13,81925.0,82475.0,81925.0,82350.0,65210,-1081.818069,29.493368,585.714286,0.00213,0.004958,82175.0,82850.0,0.0
1990-03-14,82337.5,82462.5,82075.0,82350.0,46851,-1046.576306,29.493368,555.357143,0.0,0.004802,82350.0,82175.0,0.0
1990-03-15,81750.0,82337.5,81725.0,82312.5,47023,-1011.377378,29.261354,568.75,-0.000455,0.004677,82350.0,82350.0,-1.0
1990-03-16,82237.5,82462.5,81950.0,82025.0,39494,-992.78797,27.475973,529.464286,-0.003493,0.004656,82312.5,82350.0,0.0
1990-03-19,81550.0,81937.5,81475.0,81912.5,35433,-959.798477,26.784867,552.678571,-0.001372,0.004621,82025.0,82312.5,-1.0
1990-03-20,81675.0,81725.0,81062.5,81175.0,45017,-977.237755,22.741042,587.5,-0.009004,0.00482,81912.5,82025.0,0.0
1990-03-21,81287.5,81425.0,81100.0,81175.0,19666,-988.37166,22.741042,570.535714,0.0,0.00456,81175.0,81912.5,-1.0
1990-03-22,80650.0,81000.0,80625.0,80700.0,31745,-1013.169193,20.417578,566.071429,-0.005852,0.004461,81175.0,81175.0,1.0
1990-03-23,81200.0,82000.0,81025.0,81287.5,49374,-947.411657,29.999923,603.571429,0.00728,0.004969,80700.0,81175.0,-1.0
1990-03-26,80350.0,80450.0,79950.0,80075.0,31248,-993.683544,23.702566,659.821429,-0.014916,0.005483,81287.5,80700.0,-1.0
1990-03-27,79862.5,79975.0,79450.0,79650.0,29973,-1043.699793,21.937939,638.392857,-0.005308,0.005509,80075.0,81287.5,-1.0
1990-03-28,79100.0,79200.0,78625.0,78825.0,42904,-1131.832018,18.96982,691.964286,-0.010358,0.005474,79650.0,80075.0,1.0
