DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,29906.0,30075.0,29869.0,30015.0,5624,-7.924558,44.574691,489.285714,0.0,0.012975,30015.0,30143.0,1.0
1990-02-07,30094.0,30675.0,30019.0,30623.0,7882,25.86304,49.850726,505.642857,0.020257,0.013703,30015.0,30015.0,0.0
1990-02-08,30656.0,30938.0,30563.0,30784.0,9120,84.255134,51.15047,473.5,0.005257,0.013181,30623.0,30015.0,1.0
1990-02-09,31575.0,32700.0,31294.0,32531.0,16595,290.095633,62.46034,576.857143,0.05675,0.017908,30784.0,30623.0,1.0
1990-02-12,32475.0,33656.0,32475.0,33019.0,13803,481.584858,64.781511,621.0,0.015001,0.017809,32531.0,30784.0,0.0
1990-02-13,33113.0,33525.0,32663.0,33105.0,12316,629.405811,65.184035,634.357143,0.002605,0.016014,33019.0,32531.0,0.0
1990-02-14,33750.0,34275.0,32813.0,33041.0,15724,748.166169,64.593903,698.071429,-0.001933,0.015201,33105.0,33019.0,-1.0
1990-02-15,33300.0,33563.0,32531.0,32745.0,10922,809.440619,61.801709,741.0,-0.008959,0.015482,33041.0,33105.0,1.0
1990-02-16,32550.0,33525.0,32550.0,33274.0,11110,897.626182,64.760037,770.5,0.016155,0.015499,32745.0,33041.0,0.0
1990-02-20,33394.0,33825.0,33394.0,33480.0,7943,959.55938,65.851503,785.785714,0.006191,0.015492,33274.0,32745.0,1.0
1990-02-21,33656.0,34350.0,33263.0,34316.0,9560,1068.98064,69.900745,829.928571,0.02497,0.015524,33480.0,33274.0,1.0
1990-02-22,34406.0,35025.0,33956.0,34980.0,10077,1204.812665,72.611019,880.857143,0.01935,0.015779,34316.0,33480.0,0.0
1990-02-23,35250.0,35400.0,34575.0,34826.0,11406,1286.87005,71.043559,902.285714,-0.004403,0.015068,34980.0,34316.0,0.0
1990-02-26,34388.0,35138.0,34388.0,34748.0,2387,1316.506399,70.21316,925.071429,-0.00224,0.015192,34826.0,34980.0,-1.0
1990-02-27,34313.0,34763.0,34031.0,34144.0,6817,1272.070722,63.964298,962.642857,-0.017382,0.015997,34748.0,34826.0,1.0
1990-02-28,34200.0,35213.0,34069.0,35171.0,8340,1275.788258,69.090624,997.214286,0.030078,0.016848,34144.0,34748.0,1.0
1990-03-01,35250.0,36563.0,35250.0,36184.0,11198,1336.073393,73.044905,1069.857143,0.028802,0.016884,35171.0,34144.0,1.0
1990-03-02,36469.0,37313.0,36413.0,37305.0,11548,1465.987408,76.523889,1013.642857,0.030981,0.017266,36184.0,35171.0,1.0
1990-03-05,37350.0,39356.0,37350.0,39090.0,12371,1715.244231,80.672903,1075.785714,0.047849,0.018724,37305.0,36184.0,-1.0
1990-03-06,38888.0,39563.0,37500.0,38003.0,14804,1795.97828,72.638343,1161.571429,-0.027808,0.020578,39090.0,37305.0,1.0
1990-03-07,38475.0,39131.0,38006.0,38468.0,9536,1860.42935,73.871463,1137.714286,0.012236,0.020346,38003.0,39090.0,0.0
1990-03-08,38719.0,39281.0,38288.0,38314.0,8980,1863.397867,72.716765,1134.928571,-0.004003,0.020337,38468.0,38003.0,-1.0
1990-03-09,37219.0,37838.0,35906.0,35944.0,14088,1598.444301,57.706983,1237.285714,-0.061857,0.025581,38314.0,38468.0,0.0
1990-03-12,35850.0,36469.0,34631.0,35576.0,15491,1317.949028,55.659164,1329.214286,-0.010238,0.025742,35944.0,38314.0,1.0
1990-03-13,35906.0,36938.0,35813.0,36698.0,9591,1180.667296,60.329326,1348.857143,0.031538,0.026254,35576.0,35944.0,-1.0
1990-03-14,37125.0,37313.0,35250.0,35261.0,11822,919.275773,52.882016,1419.857143,-0.039157,0.025793,36698.0,35576.0,1.0
1990-03-15,34875.0,36281.0,34875.0,36143.0,8544,791.304753,56.570126,1461.357143,0.025013,0.026083,35261.0,36698.0,-1.0
1990-03-16,34969.0,36000.0,33563.0,33900.0,15809,450.422777,46.785501,1592.071429,-0.062059,0.029694,36143.0,35261.0,-1.0
1990-03-19,33000.0,33844.0,32738.0,32899.0,13354,55.492095,42.976573,1622.785714,-0.029528,0.03042,33900.0,36143.0,1.0
1990-03-20,33544.0,34575.0,33450.0,34204.0,10918,-150.526938,48.985083,1660.785714,0.039667,0.031468,32899.0,33900.0,0.0
1990-03-21,33900.0,34425.0,33563.0,33773.0,7543,-395.518251,47.280748,1622.928571,-0.012601,0.031469,34204.0,32899.0,1.0
1990-03-22,33563.0,34988.0,33563.0,34729.0,8352,-478.614089,51.373685,1644.071429,0.028307,0.031987,33773.0,34204.0,-1.0
