DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,22242.0,22308.0,22154.0,22198.0,330,137.087382,62.54571,257.714286,-0.002964,0.007561,22264.0,22198.0,0.0
1990-02-07,22198.0,22231.0,22066.0,22209.0,590,112.340606,62.721771,241.214286,0.000496,0.007544,22198.0,22264.0,1.0
1990-02-08,22264.0,22550.0,22253.0,22473.0,1407,115.696054,66.758439,242.785714,0.011887,0.007768,22209.0,22198.0,0.0
1990-02-09,22539.0,22572.0,22440.0,22506.0,1187,120.568927,67.230503,240.428571,0.001468,0.007763,22473.0,22209.0,1.0
1990-02-12,22517.0,22605.0,22429.0,22605.0,593,135.341002,68.666003,234.142857,0.004399,0.007682,22506.0,22473.0,1.0
1990-02-13,22616.0,22814.0,22594.0,22803.0,1235,165.03639,71.356702,214.5,0.008759,0.007712,22605.0,22506.0,0.0
1990-02-14,22825.0,22880.0,22715.0,22803.0,991,183.304869,71.356702,203.5,0.0,0.007634,22803.0,22605.0,1.0
1990-02-15,22913.0,23045.0,22825.0,23034.0,1744,217.353559,74.315095,205.071429,0.01013,0.00773,22803.0,22803.0,-1.0
1990-02-16,23100.0,23177.0,22605.0,22627.0,1505,200.008123,62.239962,234.928571,-0.01767,0.007158,23034.0,22803.0,-1.0
1990-02-20,22594.0,22682.0,22242.0,22385.0,1710,158.082924,56.279087,258.5,-0.010695,0.007111,22627.0,23034.0,1.0
1990-02-21,22385.0,22539.0,22242.0,22528.0,1209,137.713596,58.816214,246.714286,0.006388,0.00713,22385.0,22627.0,0.0
1990-02-22,22550.0,22583.0,22462.0,22550.0,525,121.364165,59.205937,240.428571,0.000977,0.007034,22528.0,22385.0,-1.0
1990-02-23,22550.0,22550.0,22000.0,22000.0,1693,63.442084,47.193913,268.714286,-0.02439,0.0088,22550.0,22528.0,-1.0
1990-02-26,21945.0,21945.0,21472.0,21813.0,2094,3.001324,43.854626,293.071429,-0.0085,0.008949,22000.0,22550.0,0.0
1990-02-27,21868.0,21890.0,21769.0,21846.0,2044,-48.645938,44.605895,290.714286,0.001513,0.008857,21813.0,22000.0,0.0
1990-02-28,21813.0,21923.0,21758.0,21824.0,1683,-92.799379,44.182091,290.714286,-0.001007,0.00884,21846.0,21813.0,-1.0
1990-03-01,21483.0,21516.0,21010.0,21197.0,2064,-187.777247,34.199212,324.5,-0.02873,0.010674,21824.0,21846.0,-1.0
1990-03-02,20955.0,21197.0,20933.0,21010.0,1758,-282.227937,31.821553,333.928571,-0.008822,0.010778,21197.0,21824.0,1.0
1990-03-05,21032.0,21307.0,21032.0,21164.0,1389,-341.591059,35.814405,342.571429,0.00733,0.010677,21010.0,21197.0,1.0
1990-03-06,21175.0,21384.0,21175.0,21373.0,770,-372.508624,40.84123,342.571429,0.009875,0.010924,21164.0,21010.0,0.0
1990-03-07,21373.0,21373.0,21241.0,21318.0,526,-388.960187,39.962922,340.214286,-0.002573,0.01089,21373.0,21164.0,0.0
1990-03-08,21329.0,21483.0,21252.0,21318.0,957,-392.973171,39.962922,339.428571,0.0,0.010846,21318.0,21373.0,1.0
1990-03-09,21296.0,21615.0,21230.0,21483.0,877,-378.039575,44.152421,326.071429,0.00774,0.011035,21318.0,21318.0,0.0
1990-03-12,21505.0,21527.0,21285.0,21461.0,724,-364.175731,43.717735,311.928571,-0.001024,0.011027,21483.0,21318.0,-1.0
1990-03-13,21417.0,21450.0,21285.0,21307.0,489,-352.093062,40.694422,303.285714,-0.007176,0.010669,21461.0,21483.0,-1.0
1990-03-14,21263.0,21274.0,21065.0,21098.0,922,-352.270738,36.934368,311.928571,-0.009809,0.010746,21307.0,21461.0,1.0
1990-03-15,21120.0,21527.0,21109.0,21428.0,1161,-318.734402,45.570631,303.285714,0.015641,0.011359,21098.0,21307.0,0.0
1990-03-16,21384.0,21582.0,21285.0,21527.0,632,-278.420556,47.842661,286.785714,0.00462,0.011199,21428.0,21098.0,0.0
1990-03-19,21483.0,21593.0,21461.0,21582.0,419,-219.832473,49.107811,287.571429,0.002555,0.01124,21527.0,21428.0,0.0
1990-03-20,21582.0,21703.0,21494.0,21681.0,1545,-155.171465,51.387742,290.714286,0.004587,0.011004,21582.0,21527.0,-1.0
1990-03-21,21670.0,21681.0,21417.0,21527.0,1846,-116.814273,47.815646,251.428571,-0.007103,0.01054,21681.0,21582.0,-1.0
1990-03-22,21505.0,21505.0,21208.0,21263.0,1153,-109.904686,42.342872,255.357143,-0.012264,0.010605,21527.0,21681.0,1.0
1990-03-23,21208.0,21571.0,21153.0,21560.0,857,-72.006694,49.440833,264.0,0.013968,0.011016,21263.0,21527.0,0.0
1990-03-26,21637.0,21648.0,21428.0,21604.0,495,-32.120648,50.401571,264.0,0.002041,0.011031,21560.0,21263.0,-1.0
1990-03-27,21560.0,21560.0,21406.0,21417.0,370,-23.345429,46.376347,268.714286,-0.008656,0.009961,21604.0,21560.0,0.0
1990-03-28,21340.0,21538.0,21296.0,21516.0,338,-7.319072,48.731144,269.5,0.004622,0.009894,21417.0,21604.0,0.0
1990-03-29,21483.0,21593.0,21395.0,21560.0,380,16.365091,49.781793,256.142857,0.002045,0.0099,21516.0,21417.0,1.0
1990-03-30,21615.0,21802.0,21527.0,21802.0,1232,64.466842,55.207644,258.5,0.011224,0.010212,21560.0,21516.0,-1.0
