DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1992-03-20,14955.0,14980.0,14925.0,14945.0,375,-57.635499,56.85829,131.785714,-0.000334,0.007624,14950.0,14925.0,0.0
1992-03-23,14930.0,14940.0,14910.0,14930.0,156,-38.807436,56.373162,130.0,-0.001004,0.006827,14945.0,14950.0,-1.0
1992-03-24,14940.0,14960.0,14790.0,14810.0,205,-33.341378,52.509399,132.142857,-0.008038,0.006993,14930.0,14945.0,0.0
1992-03-25,14810.0,14840.0,14785.0,14815.0,80,-28.422815,52.656183,118.928571,0.000338,0.006376,14810.0,14930.0,0.0
1992-03-26,14855.0,14855.0,14775.0,14790.0,158,-29.975692,51.794469,104.285714,-0.001687,0.006144,14815.0,14810.0,-1.0
1992-03-27,14730.0,14735.0,14525.0,14570.0,260,-46.106182,44.830062,119.285714,-0.014875,0.005696,14790.0,14815.0,-1.0
1992-03-30,14565.0,14575.0,14460.0,14475.0,196,-66.693207,42.154362,113.928571,-0.00652,0.005671,14570.0,14790.0,0.0
1992-03-31,14480.0,14530.0,14460.0,14495.0,205,-81.732639,42.931673,110.714286,0.001382,0.005673,14475.0,14570.0,0.0
1992-04-01,14400.0,14545.0,14380.0,14520.0,371,-93.640447,43.944278,112.142857,0.001725,0.0057,14495.0,14475.0,-1.0
1992-04-02,14540.0,14550.0,14280.0,14325.0,420,-118.746929,38.252644,124.285714,-0.01343,0.006217,14520.0,14495.0,0.0
1992-04-03,14310.0,14330.0,14215.0,14305.0,286,-138.179825,37.705885,123.214286,-0.001396,0.006105,14325.0,14520.0,1.0
1992-04-06,14360.0,14470.0,14350.0,14450.0,250,-139.535978,43.967726,127.857143,0.010136,0.006175,14305.0,14325.0,-1.0
1992-04-07,14435.0,14450.0,14090.0,14100.0,384,-170.751457,34.931667,145.357143,-0.024221,0.007908,14450.0,14305.0,-1.0
1992-04-08,14050.0,14050.0,13790.0,13960.0,181,-205.849851,32.026029,159.285714,-0.009929,0.00809,14100.0,14450.0,1.0
1992-04-09,14010.0,14425.0,13960.0,14390.0,505,-189.564841,46.807867,188.571429,0.030802,0.010533,13960.0,14100.0,0.0
1992-04-10,14440.0,14460.0,14310.0,14385.0,292,-177.089219,46.684537,196.785714,-0.000347,0.010487,14390.0,13960.0,0.0
1992-04-13,14360.0,14370.0,14310.0,14350.0,73,-168.619024,45.775015,190.0,-0.002433,0.010481,14385.0,14390.0,1.0
1992-04-14,14500.0,14710.0,14500.0,14630.0,336,-129.510189,53.584704,211.785714,0.019512,0.011373,14350.0,14385.0,0.0
1992-04-15,14680.0,14690.0,14610.0,14685.0,370,-88.389424,54.931508,211.785714,0.003759,0.011302,14630.0,14350.0,-1.0
1992-04-16,14670.0,14670.0,14445.0,14485.0,514,-74.452598,49.345367,210.0,-0.013619,0.011569,14685.0,14630.0,-1.0
1992-04-20,14410.0,14450.0,14025.0,14140.0,371,-94.480242,41.413713,234.642857,-0.023818,0.012514,14485.0,14685.0,-1.0
1992-04-21,14160.0,14170.0,13940.0,13990.0,390,-117.899828,38.449344,246.071429,-0.010608,0.012598,14140.0,14485.0,1.0
1992-04-22,13960.0,14085.0,13960.0,14080.0,417,-124.23316,41.198166,243.214286,0.006433,0.012746,13990.0,14140.0,0.0
1992-04-23,14090.0,14110.0,13950.0,14045.0,290,-132.653788,40.446508,235.357143,-0.002486,0.012741,14080.0,13990.0,0.0
1992-04-24,14080.0,14100.0,13960.0,13960.0,95,-136.241474,38.600021,237.142857,-0.006052,0.012709,14045.0,14080.0,0.0
1992-04-27,13995.0,14015.0,13930.0,13960.0,598,-132.386226,38.600021,231.428571,0.0,0.012705,13960.0,14045.0,-1.0
