DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1995-05-31,78750.0,79550.0,78500.0,78650.0,469,-115.142231,37.297642,957.142857,0.005112,0.007324,78250.0,79400.0,1.0
1995-06-01,78250.0,79300.0,78250.0,79300.0,315,-207.116506,40.834307,960.714286,0.008264,0.00732,78650.0,78250.0,0.0
1995-06-02,79250.0,79450.0,79100.0,79350.0,282,-266.176488,41.10723,946.428571,0.000631,0.006947,79300.0,78650.0,1.0
1995-06-05,78800.0,80400.0,78600.0,80250.0,707,-260.689449,45.938288,1046.428571,0.011342,0.007214,79350.0,79300.0,0.0
1995-06-06,80050.0,80750.0,79900.0,80500.0,782,-256.511604,47.218972,1089.285714,0.003115,0.007238,80250.0,79350.0,-1.0
1995-06-07,79250.0,80100.0,79250.0,79950.0,448,-296.058213,44.717005,1135.714286,-0.006832,0.007385,80500.0,80250.0,-1.0
1995-06-08,72500.0,72600.0,72000.0,72250.0,474,-1038.76346,24.78263,1632.142857,-0.09631,0.02175,79950.0,80500.0,0.0
1995-06-09,72250.0,72300.0,71500.0,71500.0,743,-1657.396726,23.563352,1653.571429,-0.010381,0.021778,72250.0,79950.0,1.0
1995-06-12,72000.0,72600.0,71900.0,72500.0,283,-2020.515832,28.656268,1703.571429,0.013986,0.022142,71500.0,72250.0,1.0
1995-06-13,73400.0,73500.0,73150.0,73350.0,715,-2192.689765,32.704123,1710.714286,0.011724,0.022252,72500.0,71500.0,0.0
1995-06-14,73100.0,73450.0,73000.0,73400.0,533,-2269.847619,32.94235,1607.142857,0.000682,0.022274,73350.0,72500.0,1.0
1995-06-15,73700.0,74400.0,73700.0,74250.0,1148,-2198.968151,37.021173,1578.571429,0.01158,0.022495,73400.0,73350.0,0.0
1995-06-16,74300.0,74500.0,74150.0,74200.0,436,-2130.128341,36.880691,1517.857143,-0.000673,0.02248,74250.0,73400.0,0.0
1995-06-19,73750.0,74400.0,73750.0,74300.0,135,-2048.039327,37.39273,1421.428571,0.001348,0.022428,74200.0,74250.0,0.0
1995-06-20,74050.0,74100.0,73750.0,73800.0,742,-2009.575781,35.829747,1367.857143,-0.006729,0.022147,74300.0,74200.0,0.0
1995-06-21,73400.0,73500.0,73050.0,73500.0,571,-2002.666913,34.881269,1346.428571,-0.004065,0.022142,73800.0,74300.0,0.0
1995-06-22,73500.0,74300.0,73500.0,74300.0,473,-1905.051352,39.499396,1378.571429,0.010884,0.022301,73500.0,73800.0,0.0
1995-06-23,74000.0,74250.0,73850.0,74200.0,264,-1798.046228,39.129856,1282.142857,-0.001346,0.022276,74300.0,73500.0,0.0
1995-06-26,74250.0,74350.0,74150.0,74350.0,222,-1481.984445,40.037286,1235.714286,0.002022,0.022306,74200.0,74300.0,0.0
1995-06-27,74450.0,74750.0,74250.0,74650.0,418,-1156.824396,41.899071,1182.142857,0.004035,0.022359,74350.0,74200.0,0.0
1995-06-28,74600.0,74700.0,74100.0,74700.0,646,-885.270179,42.219781,657.142857,0.00067,0.022261,74650.0,74350.0,0.0
1995-06-29,74600.0,75250.0,74500.0,75150.0,306,-633.318738,45.152191,653.571429,0.006024,0.022165,74700.0,74650.0,0.0
1995-06-30,75250.0,75400.0,75100.0,75200.0,353,-416.755673,45.481288,596.428571,0.000665,0.022121,75150.0,74700.0,0.0
1995-07-03,75250.0,75250.0,75250.0,75250.0,96,-249.947819,45.831082,528.571429,0.000665,0.022016,75200.0,75150.0,0.0
1995-07-05,75250.0,75250.0,75100.0,75100.0,64,-130.154316,44.900962,507.142857,-0.001993,0.022007,75250.0,75200.0,0.0
1995-07-06,75250.0,75750.0,75250.0,75450.0,497,-9.021144,47.57956,482.142857,0.00466,0.021856,75100.0,75250.0,1.0
1995-07-07,75900.0,77000.0,75900.0,76700.0,700,224.800413,55.804757,567.857143,0.016567,0.022208,75450.0,75100.0,0.0
1995-07-10,76700.0,77250.0,76500.0,77250.0,772,479.441939,58.816838,575.0,0.007171,0.022262,76700.0,75450.0,0.0
1995-07-11,77200.0,77200.0,76650.0,77000.0,923,642.172074,56.931023,578.571429,-0.003236,0.006873,77250.0,76700.0,1.0
1995-07-12,77200.0,77750.0,76950.0,77750.0,708,853.250104,60.985518,582.142857,0.00974,0.006337,77000.0,77250.0,1.0
1995-07-13,78000.0,78600.0,78000.0,78300.0,838,1069.633865,63.661113,585.714286,0.007074,0.00597,77750.0,77000.0,1.0
1995-07-14,78500.0,79000.0,78500.0,78800.0,927,1270.419558,65.932374,603.571429,0.006386,0.005725,78300.0,77750.0,1.0
1995-07-17,78800.0,79300.0,78800.0,79300.0,656,1378.366314,68.068076,625.0,0.006345,0.00573,78800.0,78300.0,-1.0
1995-07-18,79350.0,79350.0,78400.0,78500.0,374,1349.655628,61.469967,657.142857,-0.010088,0.006129,79300.0,78800.0,-1.0
