DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-05-09,15870.0,15870.0,15760.0,15760.0,192,-37.399239,42.670085,140.0,-0.004422,0.006381,15830.0,15800.0,0.0
1990-05-10,15800.0,15800.0,15740.0,15740.0,314,-22.11357,42.074332,122.857143,-0.001269,0.006075,15760.0,15830.0,-1.0
1990-05-11,15710.0,15750.0,15650.0,15650.0,493,-17.773091,39.404771,105.0,-0.005718,0.005836,15740.0,15760.0,-1.0
1990-05-14,15590.0,15590.0,15550.0,15560.0,566,-23.268194,36.870917,100.714286,-0.005751,0.005661,15650.0,15740.0,0.0
1990-05-15,15550.0,15550.0,15520.0,15520.0,423,-28.101718,35.763824,90.714286,-0.002571,0.005629,15560.0,15650.0,1.0
1990-05-16,15590.0,15750.0,15590.0,15700.0,244,-14.740865,43.941935,98.571429,0.011598,0.006265,15520.0,15560.0,0.0
1990-05-17,15700.0,15750.0,15700.0,15700.0,519,-4.791282,43.941935,95.0,0.0,0.006047,15700.0,15520.0,1.0
1990-05-18,16220.0,16350.0,16100.0,16330.0,420,57.955387,62.89661,130.714286,0.040127,0.01054,15700.0,15700.0,-1.0
1990-05-21,16200.0,16250.0,16150.0,16200.0,199,94.196447,58.659065,136.428571,-0.007961,0.010529,16330.0,15700.0,0.0
1990-05-22,16100.0,16200.0,16050.0,16130.0,329,115.47343,56.436484,136.428571,-0.004321,0.009772,16200.0,16330.0,-1.0
1990-05-23,16030.0,16060.0,15970.0,16020.0,449,118.395779,53.021901,147.857143,-0.00682,0.009861,16130.0,16200.0,0.0
1990-05-24,16020.0,16020.0,15950.0,16000.0,98,116.630585,52.396905,149.285714,-0.001248,0.009873,16020.0,16130.0,-1.0
1990-05-25,15950.0,16000.0,15900.0,15920.0,120,106.716891,49.861904,149.285714,-0.005,0.009943,16000.0,16020.0,0.0
1990-05-29,15850.0,15880.0,15850.0,15850.0,194,88.527793,47.677392,147.857143,-0.004397,0.009993,15920.0,16000.0,0.0
1990-05-30,15850.0,15950.0,15850.0,15850.0,301,76.260306,47.677392,147.142857,0.0,0.009976,15850.0,15920.0,0.0
1990-05-31,15850.0,16040.0,15850.0,15900.0,366,72.362944,49.517657,156.428571,0.003155,0.009914,15850.0,15850.0,0.0
1990-06-01,15870.0,15900.0,15850.0,15850.0,264,64.467934,47.716001,152.857143,-0.003145,0.009949,15900.0,15850.0,0.0
1990-06-04,15850.0,15850.0,15700.0,15820.0,701,51.164704,46.6166,156.428571,-0.001893,0.009877,15850.0,15900.0,-1.0
1990-06-05,15700.0,15750.0,15670.0,15670.0,466,25.775457,41.462794,164.285714,-0.009482,0.010092,15820.0,15850.0,0.0
