DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,16840.0,16880.0,16720.0,16800.0,276,162.842771,71.061087,170.0,0.001192,0.01323,16780.0,16780.0,0.0
1990-02-07,16800.0,16800.0,16700.0,16780.0,188,137.519943,70.543642,148.571429,-0.00119,0.010715,16800.0,16780.0,-1.0
1990-02-08,16820.0,16840.0,16660.0,16660.0,137,102.735556,67.370036,145.714286,-0.007151,0.010886,16780.0,16800.0,1.0
1990-02-09,16640.0,16840.0,16560.0,16820.0,329,91.461998,69.363354,154.285714,0.009604,0.010762,16660.0,16780.0,0.0
1990-02-12,16900.0,16900.0,16820.0,16860.0,221,80.743929,69.85444,154.285714,0.002378,0.01075,16820.0,16660.0,0.0
1990-02-13,16860.0,16940.0,16800.0,16880.0,279,82.654957,70.111799,147.142857,0.001186,0.010624,16860.0,16820.0,0.0
1990-02-14,16860.0,16860.0,16620.0,16800.0,372,73.356903,67.627694,151.428571,-0.004739,0.010467,16880.0,16860.0,0.0
1990-02-15,16700.0,16760.0,16640.0,16740.0,157,56.191274,65.737523,144.285714,-0.003571,0.007483,16800.0,16880.0,-1.0
1990-02-16,16600.0,16600.0,16440.0,16500.0,328,17.164436,58.650749,155.714286,-0.014337,0.00776,16740.0,16800.0,-1.0
1990-02-20,16460.0,16480.0,16280.0,16380.0,237,-24.678917,55.388755,164.285714,-0.007273,0.006521,16500.0,16740.0,-1.0
1990-02-21,16200.0,16200.0,15920.0,15980.0,486,-93.817147,46.114474,190.0,-0.02442,0.00799,16380.0,16500.0,1.0
1990-02-22,16300.0,16500.0,16300.0,16350.0,289,-107.187596,53.982182,217.142857,0.023154,0.009636,15980.0,16380.0,1.0
1990-02-23,16360.0,16500.0,16360.0,16500.0,353,-105.037978,56.681082,219.285714,0.009174,0.009873,16350.0,15980.0,-1.0
1990-02-26,16580.0,16600.0,16400.0,16400.0,381,-107.397699,54.410833,229.285714,-0.006061,0.009748,16500.0,16350.0,0.0
1990-02-27,16320.0,16440.0,16280.0,16370.0,560,-109.370856,53.711556,229.285714,-0.001829,0.009488,16400.0,16500.0,-1.0
1990-02-28,16300.0,16380.0,16060.0,16280.0,273,-122.398829,51.566529,245.0,-0.005498,0.009226,16370.0,16400.0,1.0
1990-03-01,16300.0,16400.0,16200.0,16400.0,218,-121.678119,54.207003,246.428571,0.007371,0.009342,16280.0,16370.0,1.0
1990-03-02,16400.0,16560.0,16400.0,16550.0,424,-108.483406,57.316576,237.857143,0.009146,0.009549,16400.0,16280.0,1.0
1990-03-05,16560.0,16660.0,16560.0,16640.0,148,-85.415301,59.095096,240.0,0.005438,0.009532,16550.0,16400.0,0.0
1990-03-06,16600.0,16700.0,16600.0,16660.0,93,-65.546195,59.4968,237.142857,0.001202,0.009532,16640.0,16550.0,1.0
1990-03-07,16660.0,16880.0,16660.0,16870.0,384,-23.830836,63.540621,234.285714,0.012605,0.009904,16660.0,16640.0,0.0
1990-03-08,16800.0,16960.0,16760.0,16860.0,115,11.679336,63.22096,237.142857,-0.000593,0.009906,16870.0,16660.0,-1.0
1990-03-09,16860.0,16860.0,16640.0,16680.0,159,33.944317,57.600422,231.428571,-0.010676,0.010172,16860.0,16870.0,0.0
1990-03-12,16680.0,16720.0,16580.0,16600.0,216,36.313255,55.225129,225.714286,-0.004796,0.010217,16680.0,16860.0,-1.0
1990-03-13,16640.0,16640.0,16420.0,16480.0,221,24.261999,51.76052,208.571429,-0.007229,0.010219,16600.0,16680.0,1.0
1990-03-14,16460.0,16760.0,16440.0,16760.0,289,43.23746,58.370905,194.285714,0.01699,0.010676,16480.0,16600.0,0.0
1990-03-15,16760.0,16840.0,16660.0,16760.0,152,59.235984,58.370905,196.428571,0.0,0.010662,16760.0,16480.0,-1.0
1990-03-16,16780.0,16840.0,16520.0,16520.0,190,51.668422,51.475911,205.0,-0.01432,0.011069,16760.0,16760.0,1.0
1990-03-19,16480.0,16620.0,16480.0,16620.0,169,50.99007,53.952105,203.571429,0.006053,0.011131,16520.0,16760.0,-1.0
1990-03-20,16580.0,16620.0,16480.0,16490.0,67,36.620952,50.374863,190.714286,-0.007822,0.011225,16620.0,16520.0,1.0
1990-03-21,16560.0,16590.0,16500.0,16590.0,207,32.949131,52.977975,183.571429,0.006064,0.010875,16490.0,16620.0,-1.0
1990-03-22,16600.0,16600.0,16280.0,16280.0,124,1.277789,45.12354,195.0,-0.018686,0.011507,16590.0,16490.0,-1.0
1990-03-23,16200.0,16220.0,15860.0,16040.0,351,-51.225826,40.07548,217.142857,-0.014742,0.010694,16280.0,16590.0,0.0
1990-03-26,16040.0,16120.0,16020.0,16120.0,56,-84.979812,42.422349,217.142857,0.004988,0.009471,16040.0,16280.0,1.0
1990-03-27,16180.0,16300.0,16090.0,16220.0,217,-99.919103,45.292251,216.428571,0.006203,0.009345,16120.0,16040.0,0.0
1990-03-28,16220.0,16220.0,16180.0,16200.0,35,-112.118704,44.814109,205.0,-0.001233,0.009271,16220.0,16120.0,-1.0
1990-03-29,16210.0,16210.0,15600.0,15840.0,329,-155.717353,37.193452,232.857143,-0.022222,0.010363,16200.0,16220.0,0.0
