DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,28200.0,29325.0,28140.0,29258.0,2934,205.394728,46.387798,707.142857,0.023079,0.020063,28598.0,29550.0,1.0
1990-02-07,29175.0,30000.0,28838.0,29768.0,3027,139.104946,49.103811,736.571429,0.017431,0.019584,29258.0,28598.0,0.0
1990-02-08,29625.0,29888.0,29475.0,29775.0,2000,91.84056,49.141243,717.857143,0.000235,0.018882,29768.0,29258.0,0.0
1990-02-09,29640.0,29738.0,29445.0,29663.0,1499,64.603834,48.526438,648.214286,-0.003762,0.018926,29775.0,29768.0,0.0
1990-02-12,29363.0,29685.0,29190.0,29648.0,1629,35.730098,48.438702,654.071429,-0.000506,0.018929,29663.0,29775.0,1.0
1990-02-13,29715.0,30563.0,29715.0,30510.0,2339,97.676716,53.6298,613.357143,0.029074,0.019091,29648.0,29663.0,0.0
1990-02-14,30510.0,30510.0,30165.0,30360.0,1013,133.285059,52.664253,596.214286,-0.004916,0.019102,30510.0,29648.0,0.0
1990-02-15,30360.0,30435.0,30083.0,30180.0,742,143.209799,51.461015,587.642857,-0.005929,0.018809,30360.0,30510.0,0.0
1990-02-16,30083.0,30090.0,29790.0,29948.0,834,122.591161,49.870058,557.071429,-0.007687,0.018795,30180.0,30360.0,0.0
1990-02-20,30000.0,30143.0,29970.0,30113.0,871,131.750397,51.038394,547.428571,0.00551,0.017977,29948.0,30180.0,0.0
1990-02-21,30113.0,30263.0,30000.0,30158.0,1509,142.173216,51.369454,548.5,0.001494,0.017826,30113.0,29948.0,-1.0
1990-02-22,30338.0,30338.0,29475.0,29730.0,1360,137.746035,48.046816,585.5,-0.014192,0.016014,30158.0,30113.0,-1.0
1990-02-23,29025.0,29130.0,28830.0,28958.0,1842,51.035422,42.615428,630.0,-0.025967,0.016841,29730.0,30158.0,-1.0
1990-02-26,28755.0,28800.0,28515.0,28553.0,2751,-74.241774,39.99314,589.357143,-0.013986,0.014098,28958.0,29730.0,0.0
1990-02-27,28515.0,29025.0,28440.0,28748.0,2198,-150.532124,41.874036,546.5,0.006829,0.013934,28553.0,28958.0,0.0
1990-02-28,28575.0,28860.0,28523.0,28628.0,1524,-204.021314,41.027559,487.571429,-0.004174,0.013943,28748.0,28553.0,0.0
1990-03-01,28725.0,28845.0,28590.0,28620.0,1178,-243.425112,40.967852,476.285714,-0.000279,0.013894,28628.0,28748.0,-1.0
1990-03-02,28650.0,28650.0,28155.0,28238.0,1887,-341.765197,38.114732,488.071429,-0.013347,0.014123,28620.0,28628.0,1.0
1990-03-05,27930.0,28988.0,27923.0,28695.0,2227,-367.500151,43.273392,528.785714,0.016184,0.014596,28238.0,28620.0,0.0
1990-03-06,28590.0,28950.0,28590.0,28778.0,1729,-373.881905,44.169166,489.142857,0.002892,0.014558,28695.0,28238.0,1.0
1990-03-07,29025.0,29228.0,28680.0,29063.0,1698,-342.579751,47.241047,503.642857,0.009903,0.014732,28778.0,28695.0,0.0
1990-03-08,28913.0,29040.0,28800.0,28875.0,1075,-336.570042,45.48079,497.285714,-0.006469,0.013029,29063.0,28778.0,-1.0
1990-03-09,28725.0,28793.0,28508.0,28530.0,1230,-360.348079,42.34247,495.642857,-0.011948,0.012259,28875.0,29063.0,-1.0
1990-03-12,28275.0,28575.0,28245.0,28320.0,1126,-387.352703,40.488894,505.285714,-0.007361,0.011599,28530.0,28875.0,1.0
1990-03-13,28050.0,28710.0,28005.0,28598.0,1573,-359.712736,44.009117,536.857143,0.009816,0.011871,28320.0,28530.0,0.0
1990-03-14,28628.0,28650.0,28365.0,28448.0,1099,-348.046876,42.560455,495.571429,-0.005245,0.011887,28598.0,28320.0,1.0
1990-03-15,28448.0,28860.0,28440.0,28830.0,1163,-296.688531,47.33959,461.285714,0.013428,0.012324,28448.0,28598.0,0.0
1990-03-16,28950.0,29160.0,28838.0,28905.0,1490,-236.470567,48.238132,453.214286,0.002601,0.010364,28830.0,28448.0,0.0
1990-03-19,28845.0,29175.0,28845.0,28988.0,1031,-176.646988,49.267134,435.0,0.002871,0.010407,28905.0,28830.0,-1.0
1990-03-20,29063.0,29220.0,28350.0,28358.0,1625,-175.905927,42.397297,473.071429,-0.021733,0.011203,28988.0,28905.0,1.0
1990-03-21,28350.0,28725.0,28275.0,28688.0,1258,-151.495028,46.684219,487.0,0.011637,0.011551,28358.0,28988.0,1.0
1990-03-22,28800.0,28988.0,28650.0,28965.0,912,-95.427315,50.008695,475.785714,0.009656,0.01171,28688.0,28358.0,0.0
1990-03-23,28995.0,29010.0,28763.0,28950.0,783,-57.272873,49.829232,417.357143,-0.000518,0.011692,28965.0,28688.0,0.0
1990-03-26,28688.0,29085.0,28688.0,28950.0,493,-21.997284,49.829232,420.0,0.0,0.011362,28950.0,28965.0,0.0
1990-03-27,28905.0,29100.0,28800.0,28913.0,876,10.38242,49.322615,402.285714,-0.001278,0.009921,28950.0,28950.0,1.0
1990-03-28,28875.0,29100.0,28875.0,29093.0,1156,61.682286,51.888602,399.571429,0.006226,0.009493,28913.0,28950.0,1.0
1990-03-29,29175.0,29850.0,29145.0,29828.0,4007,165.947445,60.605797,427.428571,0.025264,0.01077,29093.0,28913.0,0.0
1990-03-30,29775.0,29888.0,29475.0,29843.0,2060,248.533823,60.758213,433.357143,0.000503,0.010694,29828.0,29093.0,1.0
1990-04-02,30225.0,30600.0,30023.0,30165.0,2860,324.259842,63.978475,437.071429,0.01079,0.010843,29843.0,29828.0,0.0
1990-04-03,30300.0,30300.0,30090.0,30210.0,1217,377.772002,64.413296,431.714286,0.001492,0.01026,30165.0,29843.0,1.0
1990-04-04,30113.0,30510.0,30113.0,30480.0,1333,439.904096,66.984602,430.071429,0.008937,0.009932,30210.0,30165.0,-1.0
1990-04-05,30375.0,30420.0,29550.0,29738.0,2130,428.460944,55.270257,472.928571,-0.024344,0.011493,30480.0,30210.0,0.0
1990-04-06,29700.0,29835.0,29438.0,29820.0,1728,414.642733,56.204522,477.714286,0.002757,0.011346,29738.0,30480.0,-1.0
1990-04-09,29588.0,29693.0,29175.0,29213.0,1490,331.973256,48.200806,461.642857,-0.020355,0.012153,29820.0,29738.0,0.0
1990-04-10,29250.0,29625.0,29213.0,29363.0,1258,281.596353,50.130011,458.928571,0.005135,0.011855,29213.0,29820.0,1.0
1990-04-11,29775.0,30000.0,29550.0,29745.0,1662,274.620196,54.730401,480.285714,0.01301,0.011935,29363.0,29213.0,0.0
1990-04-12,29700.0,29813.0,29580.0,29790.0,1332,274.045596,55.247404,479.285714,0.001513,0.011817,29745.0,29363.0,-1.0
1990-04-16,29340.0,29415.0,29190.0,29385.0,1131,226.927264,49.748937,493.785714,-0.013595,0.012187,29790.0,29745.0,0.0
1990-04-17,29070.0,29460.0,29070.0,29280.0,687,155.760628,48.385886,500.214286,-0.003573,0.011934,29385.0,29790.0,0.0
1990-04-18,29250.0,29250.0,29085.0,29115.0,770,77.92517,46.234452,498.071429,-0.005635,0.012002,29280.0,29385.0,0.0
1990-04-19,29235.0,29250.0,28965.0,29063.0,1019,4.06294,45.54327,464.357143,-0.001786,0.011998,29115.0,29280.0,1.0
1990-04-20,29175.0,29505.0,29123.0,29325.0,813,-35.30985,49.635934,466.428571,0.009015,0.011079,29063.0,29115.0,-1.0
1990-04-23,28920.0,29055.0,28230.0,28448.0,2971,-151.739021,39.129713,490.571429,-0.029906,0.012705,29325.0,29063.0,1.0
1990-04-24,28650.0,28875.0,28500.0,28800.0,1338,-193.079812,44.375719,506.071429,0.012373,0.012819,28448.0,29325.0,1.0
1990-04-25,28740.0,29183.0,28733.0,29040.0,1368,-203.634706,47.648132,509.857143,0.008333,0.012946,28800.0,28448.0,0.0
1990-04-26,28950.0,29055.0,28808.0,29018.0,682,-205.844998,47.375267,461.071429,-0.000758,0.012948,29040.0,28800.0,0.0
1990-04-27,29100.0,29153.0,28995.0,28995.0,505,-208.64296,47.071543,444.0,-0.000793,0.012945,29018.0,29040.0,-1.0
1990-04-30,28665.0,28853.0,28650.0,28650.0,1731,-247.387485,42.65099,422.571429,-0.011899,0.01312,28995.0,29018.0,1.0
