DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,25950.0,25990.0,25825.0,25915.0,1530,278.71773,64.762492,358.214286,-0.001349,0.00938,25950.0,25790.0,-1.0
1990-02-07,25825.0,26075.0,25500.0,25600.0,4328,234.032917,60.443609,364.285714,-0.012155,0.009137,25915.0,25950.0,0.0
1990-02-08,25675.0,25770.0,25600.0,25680.0,2185,196.472563,61.160733,352.142857,0.003125,0.008934,25600.0,25915.0,0.0
1990-02-09,25725.0,25775.0,25525.0,25705.0,2223,167.956521,61.395531,341.428571,0.000974,0.008319,25680.0,25600.0,1.0
1990-02-12,25700.0,26375.0,25650.0,26195.0,5938,186.412374,65.760396,377.142857,0.019062,0.009113,25705.0,25680.0,0.0
1990-02-13,26200.0,26265.0,26080.0,26125.0,2997,174.356,64.656742,351.428571,-0.002672,0.009062,26195.0,25705.0,1.0
1990-02-14,26050.0,26575.0,25950.0,26345.0,6389,183.049346,66.56128,367.5,0.008421,0.009133,26125.0,26195.0,-1.0
1990-02-15,26450.0,26490.0,26050.0,26145.0,9862,176.765781,63.252189,357.5,-0.007592,0.009107,26345.0,26125.0,1.0
1990-02-16,26225.0,26450.0,26125.0,26270.0,5324,187.899321,64.450834,352.5,0.004781,0.009115,26145.0,26345.0,1.0
1990-02-20,26500.0,26750.0,26350.0,26720.0,6237,231.204776,68.424775,363.928571,0.01713,0.009387,26270.0,26145.0,-1.0
1990-02-21,26725.0,26845.0,26530.0,26540.0,3436,246.130272,65.331742,357.5,-0.006737,0.009548,26720.0,26270.0,-1.0
1990-02-22,26450.0,26550.0,26250.0,26305.0,4297,226.289901,61.402807,360.0,-0.008855,0.009758,26540.0,26720.0,0.0
1990-02-23,26350.0,26440.0,26200.0,26325.0,2495,210.546661,61.616262,366.428571,0.00076,0.009738,26305.0,26540.0,-1.0
1990-02-26,26100.0,26100.0,25300.0,25555.0,7942,128.823746,50.130303,415.714286,-0.02925,0.011601,26325.0,26305.0,0.0
1990-02-27,25675.0,25700.0,25230.0,25490.0,6341,56.620964,49.270189,437.5,-0.002544,0.011516,25555.0,26325.0,0.0
1990-02-28,25550.0,25625.0,25155.0,25400.0,4135,-11.496787,48.038046,430.0,-0.003531,0.010596,25490.0,25555.0,0.0
1990-03-01,25350.0,25550.0,25350.0,25400.0,2477,-76.040265,48.038046,432.142857,0.0,0.010592,25400.0,25490.0,0.0
1990-03-02,25475.0,25550.0,25280.0,25395.0,2604,-123.228457,47.960494,433.571429,-0.000197,0.010482,25400.0,25400.0,0.0
1990-03-05,25425.0,25575.0,25350.0,25455.0,1437,-157.634787,49.024205,397.857143,0.002363,0.010071,25395.0,25400.0,1.0
1990-03-06,25550.0,25700.0,25550.0,25600.0,2333,-159.884979,51.593255,402.142857,0.005696,0.009896,25455.0,25395.0,-1.0
1990-03-07,25480.0,25480.0,25230.0,25335.0,2977,-186.997171,46.961493,383.928571,-0.010352,0.010108,25600.0,25455.0,0.0
1990-03-08,25425.0,25590.0,25260.0,25280.0,1701,-224.569889,46.028243,376.071429,-0.002171,0.00999,25335.0,25600.0,-1.0
1990-03-09,25100.0,25175.0,24950.0,25150.0,4840,-264.707783,43.807423,376.428571,-0.005142,0.010026,25280.0,25335.0,0.0
1990-03-12,25125.0,25240.0,25075.0,25140.0,1953,-287.066766,43.632126,353.928571,-0.000398,0.00973,25150.0,25280.0,0.0
1990-03-13,24900.0,25170.0,24835.0,25110.0,3292,-306.249042,43.075027,355.357143,-0.001193,0.009691,25140.0,25150.0,0.0
1990-03-14,25150.0,25200.0,25080.0,25120.0,1383,-297.515647,43.335056,342.5,0.000398,0.009686,25110.0,25140.0,0.0
1990-03-15,25100.0,25275.0,25025.0,25185.0,2380,-279.435037,45.090128,343.214286,0.002588,0.008642,25120.0,25110.0,0.0
1990-03-16,25270.0,25375.0,25050.0,25105.0,2194,-270.189099,43.31646,293.214286,-0.003176,0.008645,25185.0,25120.0,0.0
1990-03-19,25175.0,25250.0,25050.0,25105.0,2088,-258.581049,43.31646,273.928571,0.0,0.008354,25105.0,25185.0,-1.0
1990-03-20,25200.0,25225.0,24530.0,24680.0,5536,-284.789618,34.844636,290.0,-0.016929,0.008865,25105.0,25105.0,0.0
1990-03-21,24400.0,24800.0,24325.0,24740.0,5078,-291.754228,36.757547,309.642857,0.002431,0.008785,24680.0,25105.0,1.0
1990-03-22,24825.0,25045.0,24775.0,25010.0,2229,-271.967346,44.618131,312.142857,0.010914,0.008198,24740.0,24680.0,0.0
1990-03-23,25075.0,25175.0,24750.0,24975.0,3916,-246.75598,43.865224,326.428571,-0.001399,0.00816,25010.0,24740.0,-1.0
1990-03-26,24550.0,24550.0,24250.0,24465.0,5243,-270.380542,34.671396,360.714286,-0.02042,0.008912,24975.0,25010.0,-1.0
1990-03-27,24125.0,24325.0,23975.0,24195.0,7446,-304.578475,30.901772,369.285714,-0.011036,0.009013,24465.0,24975.0,-1.0
1990-03-28,24225.0,24250.0,24000.0,24020.0,6586,-336.572157,28.69946,363.571429,-0.007233,0.007063,24195.0,24465.0,0.0
1990-03-29,24175.0,24185.0,23825.0,23985.0,7763,-359.570402,28.262468,365.714286,-0.001457,0.007068,24020.0,24195.0,0.0
1990-03-30,24075.0,24100.0,23855.0,24055.0,5805,-367.446112,30.543646,371.428571,0.002918,0.007167,23985.0,24020.0,-1.0
1990-04-02,23850.0,23925.0,23775.0,23905.0,2795,-382.456328,28.46118,367.5,-0.006236,0.007189,24055.0,23985.0,1.0
1990-04-03,24175.0,24225.0,24075.0,24150.0,2038,-372.243577,36.164777,381.785714,0.010249,0.007691,23905.0,24055.0,1.0
