DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2008-10-13,67230.0,69800.0,67230.0,69800.0,1,-4605.20572,53.338997,2935.0,0.10443,0.040331,63200.0,67300.0,1.0
2008-10-14,74080.0,74520.0,71660.0,71820.0,210,-4280.857828,55.698631,3229.285714,0.02894,0.040862,69800.0,63200.0,0.0
2008-10-15,71110.0,71110.0,70500.0,70670.0,24,-4025.475969,54.069398,3292.857143,-0.016012,0.040542,71820.0,69800.0,-1.0
2008-10-16,68000.0,68000.0,66850.0,67070.0,127,-4134.049579,49.144333,3515.0,-0.050941,0.041672,70670.0,71820.0,0.0
2008-10-17,67440.0,67440.0,67440.0,67440.0,0,-4146.214937,49.678899,3328.571429,0.005517,0.041766,67070.0,70670.0,0.0
2008-10-20,68220.0,68770.0,68220.0,68770.0,1,-3932.738741,51.63607,3173.571429,0.019721,0.041812,67440.0,67070.0,0.0
2008-10-21,69240.0,69390.0,67580.0,67580.0,180,-3813.106877,49.80563,3208.571429,-0.017304,0.037476,68770.0,67440.0,-1.0
2008-10-22,66700.0,66700.0,64110.0,64480.0,34,-3785.033009,45.228484,3341.428571,-0.045872,0.038244,67580.0,68770.0,0.0
2008-10-23,62750.0,63690.0,62750.0,63690.0,4,-3756.603035,44.063712,3339.285714,-0.012252,0.038244,64480.0,67580.0,-1.0
2008-10-24,58880.0,60100.0,58880.0,60100.0,5,-3973.087099,39.077598,3171.428571,-0.056367,0.039379,63690.0,64480.0,-1.0
2008-10-27,57340.0,58420.0,57340.0,58420.0,2,-4171.38245,36.850589,3127.142857,-0.027953,0.039281,60100.0,63690.0,0.0
2008-10-28,59260.0,59770.0,58400.0,58530.0,207,-4143.670768,37.110576,2910.0,0.001883,0.03937,58420.0,60100.0,1.0
2008-10-29,61090.0,62690.0,61090.0,62690.0,222,-3822.598831,46.126797,3047.857143,0.071075,0.043082,58530.0,58420.0,0.0
2008-10-30,62940.0,62950.0,62940.0,62950.0,50,-3531.757156,46.607824,2752.142857,0.004147,0.043032,62690.0,58530.0,0.0
2008-10-31,61760.0,64010.0,61760.0,64010.0,121,-3115.06644,48.613966,2441.428571,0.016839,0.043304,62950.0,62690.0,1.0
2008-11-03,65580.0,65930.0,65170.0,65930.0,150,-2471.127872,52.068822,2241.428571,0.029995,0.044039,64010.0,62950.0,1.0
2008-11-04,69750.0,70000.0,69750.0,70000.0,1,-1578.723634,58.284954,2437.857143,0.061732,0.046293,65930.0,64010.0,0.0
2008-11-05,68590.0,68590.0,68590.0,68590.0,117,-994.949693,55.744571,2265.714286,-0.020143,0.042055,70000.0,65930.0,-1.0
2008-11-06,66600.0,66900.0,65810.0,65810.0,9,-728.716041,50.933986,2437.857143,-0.040531,0.042839,68590.0,70000.0,0.0
2008-11-07,66900.0,66900.0,66900.0,66900.0,0,-332.283083,52.729229,2420.714286,0.016563,0.042341,65810.0,68590.0,0.0
2008-11-10,68200.0,68200.0,67120.0,67120.0,51,28.212701,53.096171,2384.285714,0.003288,0.042329,66900.0,65810.0,0.0
2008-11-11,66230.0,66230.0,66230.0,66230.0,0,255.879035,51.364775,2200.0,-0.01326,0.040189,67120.0,66900.0,0.0
2008-11-12,66100.0,66100.0,65370.0,65370.0,12,398.972877,49.657102,2137.857143,-0.012985,0.033262,66230.0,67120.0,0.0
2008-11-13,65650.0,65650.0,65370.0,65500.0,2,507.418974,49.931644,1814.285714,0.001989,0.032539,65370.0,66230.0,0.0
2008-11-14,66860.0,66860.0,66000.0,66000.0,60,552.53011,51.03547,1714.285714,0.007634,0.032502,65500.0,65370.0,0.0
2008-11-17,65000.0,65000.0,65000.0,65000.0,10,443.915535,48.738671,1687.857143,-0.015152,0.03082,66000.0,65500.0,0.0
2008-11-18,64670.0,65080.0,64670.0,65080.0,50,412.605963,48.939691,1420.0,0.001231,0.03079,65000.0,66000.0,-1.0
