DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1993-03-12,23160.0,23160.0,22840.0,23010.0,190,225.428908,43.400458,191.785714,-0.007762,0.010314,23190.0,23170.0,1.0
1993-03-15,23020.0,23215.0,22970.0,23215.0,95,260.348656,46.909364,196.785714,0.008909,0.01047,23010.0,23190.0,-1.0
1993-03-16,23210.0,23210.0,23090.0,23090.0,152,270.106231,45.089967,178.571429,-0.005384,0.010515,23215.0,23010.0,-1.0
1993-03-17,23100.0,23120.0,22955.0,22965.0,166,264.114138,43.272729,185.0,-0.005414,0.010509,23090.0,23215.0,0.0
1993-03-18,23010.0,23050.0,23010.0,23030.0,42,256.392225,44.531435,184.642857,0.00283,0.007918,22965.0,23090.0,-1.0
1993-03-19,23060.0,23060.0,22880.0,22880.0,66,230.933991,42.210373,190.0,-0.006513,0.007481,23030.0,22965.0,-1.0
1993-03-22,22840.0,22850.0,22680.0,22755.0,73,200.65334,40.312359,188.571429,-0.005463,0.007635,22880.0,23030.0,0.0
1993-03-23,22720.0,22760.0,22630.0,22690.0,416,166.918802,39.316892,186.428571,-0.002857,0.007617,22755.0,22880.0,-1.0
1993-03-24,22660.0,22660.0,22500.0,22580.0,283,109.75397,37.61903,190.0,-0.004848,0.007262,22690.0,22755.0,1.0
1993-03-25,22580.0,22705.0,22480.0,22705.0,260,70.355611,40.764722,192.857143,0.005536,0.007289,22580.0,22690.0,0.0
1993-03-26,22710.0,22750.0,22660.0,22715.0,109,35.879997,41.019552,166.428571,0.00044,0.006611,22705.0,22580.0,1.0
1993-03-29,22700.0,22820.0,22690.0,22800.0,88,15.264471,43.253239,172.142857,0.003742,0.006632,22715.0,22705.0,0.0
1993-03-30,22750.0,22860.0,22740.0,22825.0,37,0.81717,43.923401,165.714286,0.001096,0.006603,22800.0,22715.0,1.0
