DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1999-02-17,16683750.0,16696250.0,16536250.0,16696250.0,0,1430.937581,64.206263,247500.0,0.00595,0.011252,16597500.0,16106250.0,0.0
1999-02-18,16681250.0,16801250.0,16625000.0,16750000.0,0,39380.660577,64.821444,249285.714286,0.003219,0.011189,16696250.0,16597500.0,0.0
1999-02-19,16710000.0,16837500.0,16671250.0,16715000.0,0,80620.515738,64.051947,249285.714286,-0.00209,0.011185,16750000.0,16696250.0,0.0
1999-02-22,16597500.0,16822500.0,16552500.0,16645000.0,0,107306.844492,62.451812,245535.714286,-0.004188,0.010964,16715000.0,16750000.0,0.0
1999-02-23,16627500.0,16681250.0,16573750.0,16606250.0,0,126724.24915,61.531567,221875.0,-0.002328,0.010759,16645000.0,16715000.0,0.0
1999-02-24,16607500.0,16716250.0,16587500.0,16695000.0,0,148134.774635,62.883691,220982.142857,0.005344,0.010684,16606250.0,16645000.0,-1.0
1999-02-25,16493750.0,16590000.0,16462500.0,16497500.0,0,139126.021823,58.022145,216696.428571,-0.01183,0.01082,16695000.0,16606250.0,-1.0
1999-02-26,16302500.0,16568750.0,16263750.0,16373750.0,0,119173.920677,55.112643,226517.857143,-0.007501,0.010947,16497500.0,16695000.0,-1.0
1999-03-01,16302500.0,16372500.0,16270000.0,16273750.0,0,93464.143802,52.791518,205357.142857,-0.006107,0.010976,16373750.0,16497500.0,1.0
1999-03-02,16302500.0,16457500.0,16270000.0,16407500.0,0,89500.744411,55.507183,207767.857143,0.008219,0.011072,16273750.0,16373750.0,1.0
1999-03-03,16302500.0,16572500.0,16270000.0,16556250.0,0,96918.781987,58.353159,211339.285714,0.009066,0.011207,16407500.0,16273750.0,1.0
1999-03-04,16302500.0,16746250.0,16270000.0,16666250.0,0,100639.621712,60.354566,236517.857143,0.006644,0.010653,16556250.0,16407500.0,0.0
1999-03-05,16567500.0,16662500.0,16565000.0,16583750.0,0,92912.706288,58.11377,234821.428571,-0.00495,0.009287,16666250.0,16556250.0,0.0
1999-03-08,16581250.0,16662500.0,16545000.0,16545000.0,0,81523.170654,57.037283,202500.0,-0.002337,0.009317,16583750.0,16666250.0,-1.0
1999-03-09,16450000.0,16450000.0,16450000.0,16450000.0,0,62552.196343,54.371917,197857.142857,-0.005742,0.009406,16545000.0,16583750.0,0.0
1999-03-10,16407500.0,16407500.0,16407500.0,16407500.0,0,41233.171379,53.167993,188303.571429,-0.002584,0.009449,16450000.0,16545000.0,0.0
1999-03-11,16446250.0,16446250.0,16446250.0,16446250.0,0,23458.533825,54.167056,179196.428571,0.002362,0.008812,16407500.0,16450000.0,-1.0
1999-03-12,16075000.0,16075000.0,16075000.0,16075000.0,0,-27585.815945,44.414284,186428.571429,-0.022574,0.010087,16446250.0,16407500.0,-1.0
1999-03-15,15973750.0,15973750.0,15973750.0,15973750.0,0,-73766.515572,42.134669,185982.142857,-0.006299,0.010114,16075000.0,16446250.0,1.0
1999-03-16,16066250.0,16066250.0,15945000.0,16066250.0,0,-98399.183998,44.933041,185446.428571,0.005791,0.010068,15973750.0,16075000.0,0.0
1999-03-17,16115000.0,16192500.0,16111250.0,16115000.0,0,-107433.856189,46.395876,177857.142857,0.003034,0.010063,16066250.0,15973750.0,-1.0
1999-03-18,16085000.0,16158750.0,15992500.0,15992500.0,0,-128763.040742,43.293082,167946.428571,-0.007602,0.007539,16115000.0,16066250.0,-1.0
1999-03-19,15848750.0,15911250.0,15848750.0,15848750.0,0,-160478.542038,39.895514,170803.571429,-0.008989,0.007493,15992500.0,16115000.0,1.0
1999-03-22,15926250.0,16021250.0,15926250.0,16005000.0,0,-173842.467588,44.994393,169732.142857,0.009859,0.007853,15848750.0,15992500.0,0.0
1999-03-23,15981250.0,15993750.0,15978750.0,15986250.0,0,-182537.20548,44.511176,150000.0,-0.001172,0.007855,16005000.0,15848750.0,0.0
1999-03-24,15981250.0,15993750.0,15956250.0,15956250.0,0,-184262.532375,43.701532,118660.714286,-0.001877,0.00784,15986250.0,16005000.0,0.0
1999-03-25,15900000.0,15900000.0,15900000.0,15900000.0,0,-185180.54992,42.15047,115446.428571,-0.003525,0.007847,15956250.0,15986250.0,1.0
1999-03-26,16088750.0,16088750.0,15958750.0,16088750.0,0,-164314.44906,48.747258,120535.714286,0.011871,0.008249,15900000.0,15956250.0,0.0
1999-03-29,16028750.0,16088750.0,15958750.0,16028750.0,0,-152343.149749,46.936473,123035.714286,-0.003729,0.007948,16088750.0,15900000.0,0.0
1999-03-30,16022500.0,16157500.0,16011250.0,16022500.0,0,-133240.7517,46.740971,130446.428571,-0.00039,0.007826,16028750.0,16088750.0,-1.0
1999-03-31,15911250.0,15916250.0,15870000.0,15911250.0,0,-124014.691971,43.283662,138571.428571,-0.006943,0.007855,16022500.0,16028750.0,1.0
1999-04-01,16023750.0,16161250.0,16018750.0,16161250.0,0,-92397.815652,51.945755,129910.714286,0.015712,0.008416,15911250.0,16022500.0,1.0
1999-04-05,16247500.0,16247500.0,16216250.0,16230000.0,0,-62574.31214,53.994425,128839.285714,0.004254,0.008211,16161250.0,15911250.0,0.0
1999-04-06,16273750.0,16282500.0,16117500.0,16273750.0,0,-32282.562306,55.295021,131964.285714,0.002696,0.008081,16230000.0,16161250.0,0.0
1999-04-07,16256250.0,16306250.0,16256250.0,16256250.0,0,-6832.34145,54.631506,126517.857143,-0.001075,0.008034,16273750.0,16230000.0,0.0
1999-04-08,16223750.0,16336250.0,16223750.0,16223750.0,0,8751.308089,53.349781,122678.571429,-0.001999,0.008032,16256250.0,16273750.0,0.0
1999-04-09,16212500.0,16268750.0,16212500.0,16252500.0,0,26397.234453,54.371649,116428.571429,0.001772,0.007974,16223750.0,16256250.0,-1.0
1999-04-12,16187500.0,16217500.0,16187500.0,16187500.0,0,36938.262185,51.623264,108750.0,-0.003999,0.007997,16252500.0,16223750.0,-1.0
1999-04-13,16057500.0,16158750.0,16057500.0,16057500.0,0,34452.536213,46.536371,116160.714286,-0.008031,0.00812,16187500.0,16252500.0,-1.0
1999-04-14,15940000.0,16007500.0,15940000.0,15940000.0,0,17533.31955,42.43342,121875.0,-0.007317,0.006727,16057500.0,16187500.0,-1.0
1999-04-15,15828750.0,15976250.0,15828750.0,15828750.0,0,-5022.217527,38.909725,128392.857143,-0.006979,0.006757,15940000.0,16057500.0,-1.0
1999-04-16,15713750.0,15753750.0,15666250.0,15713750.0,0,-32823.493592,35.596005,126517.857143,-0.007265,0.006762,15828750.0,15940000.0,-1.0
1999-04-19,15566250.0,15722500.0,15561250.0,15566250.0,0,-64020.496726,31.824887,128750.0,-0.009387,0.006927,15713750.0,15828750.0,1.0
1999-04-20,15728750.0,15728750.0,15602500.0,15728750.0,0,-82091.135365,39.501276,129910.714286,0.010439,0.007237,15566250.0,15713750.0,1.0
1999-04-21,15836250.0,15846250.0,15711250.0,15836250.0,0,-88377.825721,43.950957,128660.714286,0.006835,0.007163,15728750.0,15566250.0,0.0
1999-04-22,15801250.0,15801250.0,15777500.0,15801250.0,0,-95951.31685,42.853333,115000.0,-0.00221,0.006826,15836250.0,15728750.0,0.0
1999-04-23,15780000.0,15848750.0,15780000.0,15780000.0,0,-102131.960243,42.163322,113750.0,-0.001345,0.006826,15801250.0,15836250.0,0.0
1999-04-26,15728750.0,15737500.0,15702500.0,15728750.0,0,-111421.035363,40.468616,107500.0,-0.003248,0.006845,15780000.0,15801250.0,1.0
1999-04-27,15997500.0,15997500.0,15733750.0,15997500.0,0,-95427.470558,51.510831,123125.0,0.017087,0.007777,15728750.0,15780000.0,-1.0
1999-04-28,15793750.0,15998750.0,15762500.0,15793750.0,0,-97934.485752,44.835027,131964.285714,-0.012736,0.007804,15997500.0,15728750.0,-1.0
1999-04-29,15715000.0,15747500.0,15711250.0,15715000.0,0,-103464.5397,42.512169,133839.285714,-0.004986,0.007831,15793750.0,15997500.0,0.0
1999-04-30,15756250.0,15798750.0,15722500.0,15756250.0,0,-100474.856978,44.152523,135178.571429,0.002625,0.007866,15715000.0,15793750.0,1.0
1999-05-03,15863750.0,15863750.0,15820000.0,15863750.0,0,-85038.816617,48.283227,133571.428571,0.006823,0.007896,15756250.0,15715000.0,1.0
1999-05-04,16017500.0,16017500.0,15968750.0,16017500.0,0,-52742.276204,53.540204,136160.714286,0.009692,0.007411,15863750.0,15756250.0,1.0
1999-05-05,16156250.0,16156250.0,16130000.0,16156250.0,0,-10549.271574,57.680739,135535.714286,0.008662,0.0076,16017500.0,15863750.0,1.0
1999-05-06,16241250.0,16296250.0,16222500.0,16241250.0,0,27315.4361,60.01171,133928.571429,0.005261,0.007665,16156250.0,16017500.0,0.0
1999-05-07,16187500.0,16262500.0,16187500.0,16187500.0,0,48374.064445,57.853021,127767.857143,-0.003309,0.007694,16241250.0,16156250.0,0.0
1999-05-10,16228750.0,16266250.0,16162500.0,16228750.0,0,71986.992178,59.073768,123571.428571,0.002548,0.007704,16187500.0,16241250.0,-1.0
1999-05-11,16160000.0,16180000.0,16160000.0,16160000.0,0,85275.318599,56.161533,118839.285714,-0.004236,0.007746,16228750.0,16187500.0,-1.0
1999-05-12,16058750.0,16141250.0,16058750.0,16058750.0,0,87918.227316,52.07276,121875.0,-0.006265,0.007813,16160000.0,16228750.0,1.0
1999-05-13,16208750.0,16208750.0,16060000.0,16208750.0,0,97137.396283,57.088534,127678.571429,0.009341,0.007876,16058750.0,16160000.0,1.0
1999-05-14,16312500.0,16312500.0,16312500.0,16312500.0,0,117776.107805,60.165078,129553.571429,0.006401,0.007773,16208750.0,16058750.0,1.0
1999-05-17,16428750.0,16428750.0,16312500.0,16428750.0,0,146296.617704,63.318322,118660.714286,0.007126,0.007658,16312500.0,16208750.0,0.0
1999-05-18,16422500.0,16422500.0,16422500.0,16422500.0,0,165610.217587,63.031483,102232.142857,-0.00038,0.00741,16428750.0,16312500.0,1.0
1999-05-19,16535000.0,16577500.0,16506250.0,16535000.0,0,185903.776867,66.016836,107410.714286,0.00685,0.007016,16422500.0,16428750.0,0.0
1999-05-20,16468750.0,16542500.0,16450000.0,16500000.0,0,191756.771625,64.289259,108035.714286,-0.002117,0.006872,16535000.0,16422500.0,-1.0
1999-05-21,16372500.0,16372500.0,16315000.0,16372500.0,0,177655.888574,58.292176,113571.428571,-0.007727,0.007102,16500000.0,16535000.0,-1.0
1999-05-24,16286250.0,16350000.0,16257500.0,16286250.0,0,152683.684174,54.555845,110803.571429,-0.005268,0.007208,16372500.0,16500000.0,0.0
