DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,27925.0,28150.0,27875.0,28137.5,23062,-218.957044,47.49778,295.535714,0.008061,0.006703,27912.5,28012.5,1.0
1990-02-07,28175.0,28425.0,28175.0,28387.5,33691,-168.765456,51.718901,301.785714,0.008885,0.00651,28137.5,27912.5,-1.0
1990-02-08,28350.0,28425.0,28212.5,28237.5,24042,-138.639179,49.186179,297.321429,-0.005284,0.006568,28387.5,28137.5,1.0
1990-02-09,28300.0,28525.0,28212.5,28337.5,25690,-104.369738,50.920898,300.0,0.003541,0.006593,28237.5,28387.5,0.0
1990-02-12,28400.0,28475.0,28250.0,28262.5,23908,-72.73627,49.559196,304.464286,-0.002647,0.006509,28337.5,28237.5,0.0
1990-02-13,28200.0,28325.0,28175.0,28200.0,26044,-47.750191,48.394699,289.285714,-0.002211,0.006374,28262.5,28337.5,1.0
1990-02-14,28200.0,28375.0,28162.5,28337.5,20729,-19.157454,51.121782,275.892857,0.004876,0.006473,28200.0,28262.5,1.0
1990-02-15,28425.0,28575.0,28375.0,28550.0,26929,29.006897,55.055548,280.357143,0.007499,0.006032,28337.5,28200.0,0.0
1990-02-16,28500.0,28562.5,28400.0,28487.5,21238,60.85036,53.696911,254.464286,-0.002189,0.00605,28550.0,28337.5,-1.0
1990-02-20,28450.0,28537.5,28300.0,28312.5,26018,69.884094,49.970339,244.642857,-0.006143,0.006102,28487.5,28550.0,1.0
1990-02-21,28300.0,28700.0,28275.0,28550.0,33101,97.893325,54.603418,255.357143,0.008389,0.006095,28312.5,28487.5,1.0
1990-02-22,29100.0,29175.0,28987.5,29012.5,25952,160.622219,61.934648,271.428571,0.0162,0.00696,28550.0,28312.5,-1.0
1990-02-23,29075.0,29075.0,28875.0,28887.5,24756,191.602468,59.19652,273.214286,-0.004308,0.007051,29012.5,28550.0,-1.0
1990-02-26,28850.0,28850.0,28637.5,28712.5,37322,193.588591,55.482341,272.321429,-0.006058,0.007177,28887.5,29012.5,0.0
1990-02-27,28650.0,28812.5,28650.0,28737.5,40487,196.304516,55.910522,264.285714,0.000871,0.00642,28712.5,28887.5,1.0
1990-02-28,28700.0,29050.0,28687.5,29037.5,48355,221.795389,60.781077,269.642857,0.010439,0.006701,28737.5,28712.5,0.0
1990-03-01,29025.0,29400.0,28975.0,29050.0,49352,242.839067,60.972537,284.821429,0.00043,0.006511,29037.5,28737.5,0.0
1990-03-02,29075.0,29150.0,28875.0,29137.5,38138,265.56666,62.357246,282.142857,0.003012,0.006097,29050.0,29037.5,0.0
1990-03-05,29150.0,29250.0,29075.0,29212.5,24383,279.647821,63.54752,278.571429,0.002574,0.006073,29137.5,29050.0,1.0
1990-03-06,29225.0,29662.5,29125.0,29575.0,50251,315.186144,68.687876,306.25,0.012409,0.006396,29212.5,29137.5,0.0
1990-03-07,29575.0,29712.5,29475.0,29525.0,37776,338.101435,67.295543,308.035714,-0.001691,0.006451,29575.0,29212.5,1.0
1990-03-08,29500.0,29750.0,29400.0,29725.0,41030,371.362005,69.926014,316.071429,0.006774,0.006371,29525.0,29575.0,1.0
1990-03-09,29750.0,30050.0,29687.5,30012.5,48476,414.737935,73.236082,330.357143,0.009672,0.006442,29725.0,29525.0,-1.0
1990-03-12,29950.0,29950.0,29600.0,29750.0,38855,407.105545,66.146088,342.857143,-0.008746,0.006758,30012.5,29725.0,-1.0
1990-03-13,29725.0,29862.5,29475.0,29500.0,35067,374.902484,60.123595,340.178571,-0.008403,0.006952,29750.0,30012.5,-1.0
