DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,16520.0,16542.0,16330.0,16352.0,19734,141.036131,67.667561,367.142857,-0.017485,0.014162,16643.0,16587.0,1.0
1990-02-07,16184.0,16800.0,16184.0,16766.0,40273,134.072227,70.525489,397.5,0.025318,0.014895,16352.0,16643.0,0.0
1990-02-08,16666.0,16755.0,16576.0,16643.0,21595,125.216709,68.632392,396.642857,-0.007336,0.014586,16766.0,16352.0,1.0
1990-02-09,16666.0,16968.0,16621.0,16934.0,57393,138.276826,70.654214,384.642857,0.017485,0.014718,16643.0,16766.0,-1.0
1990-02-12,16856.0,16990.0,16699.0,16733.0,20689,118.614654,67.474689,381.428571,-0.01187,0.014996,16934.0,16643.0,-1.0
1990-02-13,16632.0,16654.0,16296.0,16307.0,34734,67.362371,61.121363,391.857143,-0.025459,0.016044,16733.0,16934.0,1.0
1990-02-14,16453.0,16621.0,16408.0,16464.0,26333,42.557741,62.557194,382.285714,0.009628,0.016123,16307.0,16733.0,0.0
1990-02-15,16374.0,16554.0,16341.0,16509.0,22004,39.952311,62.975236,372.714286,0.002733,0.015909,16464.0,16307.0,0.0
1990-02-16,16453.0,16610.0,16442.0,16554.0,17407,33.748839,63.413936,369.5,0.002726,0.015627,16509.0,16464.0,-1.0
1990-02-20,16554.0,16576.0,16173.0,16229.0,28903,-3.210077,58.07632,348.714286,-0.019633,0.016197,16554.0,16509.0,0.0
1990-02-21,16184.0,16330.0,16184.0,16318.0,23734,-23.499734,59.111617,331.928571,0.005484,0.016047,16229.0,16554.0,1.0
1990-02-22,16274.0,16654.0,16195.0,16632.0,32200,-14.054255,62.601486,315.142857,0.019243,0.015763,16318.0,16229.0,-1.0
1990-02-23,16542.0,16610.0,16285.0,16307.0,22899,-32.566726,57.257082,319.928571,-0.019541,0.016269,16632.0,16318.0,0.0
1990-02-26,16218.0,16442.0,16206.0,16218.0,26129,-63.989707,55.823594,320.0,-0.005458,0.016149,16307.0,16632.0,0.0
1990-02-27,16128.0,16229.0,15938.0,16218.0,42703,-87.992223,55.823594,318.428571,0.0,0.015398,16218.0,16307.0,0.0
1990-02-28,16128.0,16274.0,16106.0,16195.0,24904,-111.66556,55.405569,286.428571,-0.001418,0.014875,16218.0,16218.0,-1.0
