DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2005-10-24,10420.0,10540.0,10420.0,10520.0,21,-192.147515,39.299957,119.285714,0.014465,0.010488,10370.0,10510.0,0.0
2005-10-25,10620.0,10630.0,10540.0,10540.0,0,-184.404766,40.040611,125.0,0.001901,0.010511,10520.0,10370.0,0.0
2005-10-26,10540.0,10540.0,10540.0,10540.0,243,-175.83142,40.040611,112.857143,0.0,0.010242,10540.0,10520.0,-1.0
2005-10-27,10500.0,10500.0,10420.0,10430.0,38,-178.887346,37.154303,110.0,-0.010436,0.010397,10540.0,10540.0,-1.0
2005-10-28,10400.0,10400.0,10330.0,10350.0,62,-186.090868,35.148943,115.714286,-0.00767,0.010175,10430.0,10540.0,1.0
2005-10-31,10480.0,10520.0,10480.0,10510.0,44,-169.526715,41.949548,124.285714,0.015459,0.010897,10350.0,10430.0,0.0
2005-11-01,10530.0,10570.0,10530.0,10550.0,19,-148.829911,43.519869,123.571429,0.003806,0.010848,10510.0,10350.0,0.0
2005-11-02,10610.0,10610.0,10570.0,10600.0,50,-127.896913,45.497057,112.142857,0.004739,0.010623,10550.0,10510.0,1.0
2005-11-03,10730.0,10760.0,10730.0,10760.0,0,-91.855784,51.339686,122.142857,0.015094,0.011285,10600.0,10550.0,0.0
2005-11-04,10780.0,10780.0,10780.0,10780.0,3,-53.60268,52.021743,117.857143,0.001859,0.011313,10760.0,10600.0,0.0
2005-11-07,10810.0,10810.0,10800.0,10810.0,0,-20.934799,53.082105,114.285714,0.002783,0.010941,10780.0,10760.0,0.0
2005-11-08,10770.0,10770.0,10770.0,10770.0,0,7.013168,51.453772,98.571429,-0.0037,0.010596,10810.0,10780.0,0.0
2005-11-09,10780.0,10780.0,10780.0,10780.0,0,27.429499,51.852889,87.857143,0.000929,0.010588,10770.0,10810.0,1.0
2005-11-10,10850.0,10850.0,10850.0,10850.0,50,50.034762,54.660281,80.0,0.006494,0.010658,10780.0,10770.0,0.0
2005-11-11,10880.0,10880.0,10880.0,10880.0,121,69.17997,55.841007,70.0,0.002765,0.010616,10850.0,10780.0,0.0
2005-11-14,10880.0,10890.0,10860.0,10860.0,0,83.3521,54.818904,64.285714,-0.001838,0.009633,10880.0,10850.0,0.0
2005-11-15,10880.0,10880.0,10880.0,10880.0,36,98.330374,55.693866,65.714286,0.001842,0.009616,10860.0,10880.0,-1.0
2005-11-16,10770.0,10780.0,10760.0,10780.0,40,97.373401,50.44346,65.714286,-0.009191,0.009734,10880.0,10860.0,0.0
2005-11-17,10820.0,10820.0,10820.0,10820.0,15,98.34649,52.394635,61.428571,0.003711,0.009606,10780.0,10880.0,0.0
2005-11-18,10830.0,10860.0,10830.0,10850.0,6,97.62865,53.856617,52.142857,0.002773,0.0078,10820.0,10780.0,0.0
2005-11-21,10900.0,10900.0,10870.0,10870.0,33,93.873448,54.84937,51.428571,0.001843,0.007559,10850.0,10820.0,0.0
2005-11-22,10860.0,10920.0,10860.0,10910.0,0,93.815684,56.845428,51.428571,0.00368,0.006796,10870.0,10850.0,1.0
2005-11-23,10950.0,10950.0,10950.0,10950.0,2,94.669767,58.799761,42.857143,0.003666,0.006246,10910.0,10870.0,0.0
2005-11-24,10930.0,10930.0,10920.0,10920.0,0,89.174551,56.732202,43.571429,-0.00274,0.006322,10950.0,10910.0,1.0
2005-11-25,10970.0,10970.0,10970.0,10970.0,51,88.834079,59.307468,45.0,0.004579,0.006341,10920.0,10950.0,-1.0
2005-11-28,10960.0,10960.0,10840.0,10840.0,40,71.79621,50.868651,51.428571,-0.011851,0.006477,10970.0,10920.0,0.0
2005-11-29,10800.0,10870.0,10800.0,10870.0,6,60.556992,52.566116,55.714286,0.002768,0.006125,10840.0,10970.0,0.0
2005-11-30,10820.0,10850.0,10820.0,10850.0,0,49.287698,51.297211,54.285714,-0.00184,0.005418,10870.0,10840.0,1.0
2005-12-01,10910.0,10910.0,10910.0,10910.0,72,44.376253,54.826691,56.428571,0.00553,0.005465,10850.0,10870.0,1.0
2005-12-02,10970.0,11040.0,10970.0,11040.0,28,52.516197,61.329725,63.571429,0.011916,0.005865,10910.0,10850.0,0.0
2005-12-05,11080.0,11080.0,11060.0,11060.0,0,57.628002,62.220198,65.0,0.001812,0.005068,11040.0,10910.0,0.0
2005-12-06,11050.0,11050.0,11050.0,11050.0,50,60.350041,61.459519,57.142857,-0.000904,0.005087,11060.0,11040.0,0.0
2005-12-07,11090.0,11090.0,11050.0,11050.0,0,61.171895,61.459519,57.142857,0.0,0.005078,11050.0,11060.0,0.0
2005-12-08,11050.0,11050.0,11050.0,11050.0,47,60.168214,61.459519,54.285714,0.0,0.004975,11050.0,11050.0,0.0
2005-12-09,11070.0,11070.0,11070.0,11070.0,92,60.880537,62.602629,52.142857,0.00181,0.004977,11050.0,11050.0,-1.0
2005-12-12,11050.0,11050.0,11000.0,11000.0,52,54.905608,56.317925,52.857143,-0.006323,0.005079,11070.0,11050.0,0.0
2005-12-13,10990.0,11010.0,10960.0,11010.0,82,49.41997,56.986483,53.571429,0.000909,0.005057,11000.0,11070.0,0.0
2005-12-14,11020.0,11030.0,11020.0,11020.0,19,47.845318,57.683329,52.857143,0.000908,0.005029,11010.0,11000.0,-1.0
2005-12-15,10970.0,10970.0,10920.0,10960.0,16,39.809072,52.221671,56.428571,-0.005445,0.005186,11020.0,11010.0,1.0
2005-12-16,10960.0,11020.0,10950.0,11010.0,59,38.794935,55.982424,52.142857,0.004562,0.004796,10960.0,11020.0,-1.0
2005-12-19,10970.0,10990.0,10970.0,10980.0,48,33.703198,53.284653,50.0,-0.002725,0.004817,11010.0,10960.0,1.0
2005-12-20,10970.0,11020.0,10970.0,11020.0,286,29.61638,56.315664,50.0,0.003643,0.004839,10980.0,11010.0,1.0
2005-12-21,11070.0,11160.0,11070.0,11160.0,0,38.408882,64.874647,55.714286,0.012704,0.005472,11020.0,10980.0,0.0
2005-12-22,11170.0,11170.0,11170.0,11170.0,0,44.541295,65.389728,47.142857,0.000896,0.005444,11160.0,11020.0,0.0
2005-12-23,11180.0,11180.0,11180.0,11180.0,0,49.741,65.927325,45.0,0.000895,0.005414,11170.0,11160.0,1.0
2005-12-27,11240.0,11240.0,11240.0,11240.0,2,58.713176,69.032624,48.571429,0.005367,0.005426,11180.0,11170.0,1.0
2005-12-28,11250.0,11280.0,11250.0,11280.0,1,68.154085,70.924912,48.571429,0.003559,0.005401,11240.0,11180.0,1.0
2005-12-29,11310.0,11330.0,11310.0,11330.0,10,81.16308,73.127544,52.142857,0.004433,0.004567,11280.0,11240.0,0.0
2005-12-30,11340.0,11340.0,11340.0,11340.0,89,91.412687,73.557104,51.428571,0.000883,0.00457,11330.0,11280.0,1.0
2006-01-03,11370.0,11540.0,11370.0,11520.0,4,114.290512,79.808304,60.714286,0.015873,0.005364,11340.0,11330.0,1.0
2006-01-04,11710.0,11720.0,11710.0,11720.0,0,151.174813,84.20619,71.428571,0.017361,0.006187,11520.0,11340.0,0.0
2006-01-05,11710.0,11710.0,11710.0,11710.0,50,174.73764,83.246531,70.714286,-0.000853,0.005932,11720.0,11520.0,1.0
2006-01-06,11730.0,11760.0,11730.0,11760.0,0,196.572121,84.215961,67.142857,0.00427,0.005938,11710.0,11720.0,1.0
2006-01-09,11800.0,11800.0,11800.0,11800.0,15,213.732961,84.962433,65.0,0.003401,0.00588,11760.0,11710.0,-1.0
2006-01-10,11690.0,11690.0,11690.0,11690.0,1,211.639756,74.555606,70.0,-0.009322,0.006418,11800.0,11760.0,1.0
2006-01-11,11750.0,11760.0,11750.0,11760.0,64,214.854452,76.543158,71.428571,0.005988,0.00643,11690.0,11800.0,1.0
2006-01-12,11840.0,11850.0,11830.0,11850.0,0,222.973436,78.820264,67.857143,0.007653,0.006506,11760.0,11690.0,0.0
2006-01-13,11870.0,11870.0,11870.0,11870.0,0,226.864614,79.297569,68.571429,0.001688,0.006167,11850.0,11760.0,1.0
2006-01-16,11910.0,11910.0,11910.0,11910.0,85,229.71231,80.254385,70.714286,0.00337,0.006141,11870.0,11850.0,-1.0
2006-01-17,11850.0,11850.0,11830.0,11830.0,711,220.342201,73.010884,72.142857,-0.006717,0.006504,11910.0,11870.0,0.0
2006-01-18,11660.0,11870.0,11650.0,11850.0,314,211.82225,73.655385,85.0,0.001691,0.006222,11830.0,11910.0,-1.0
2006-01-19,11780.0,11800.0,11680.0,11700.0,0,183.30522,61.762852,93.571429,-0.012658,0.007111,11850.0,11830.0,0.0
2006-01-20,11700.0,11700.0,11700.0,11700.0,106,153.271755,61.762852,92.857143,0.0,0.007034,11700.0,11850.0,-1.0
2006-01-23,11540.0,11590.0,11530.0,11590.0,0,116.949456,54.22157,90.714286,-0.009402,0.007503,11700.0,11700.0,0.0
2006-01-24,11610.0,11610.0,11610.0,11610.0,5,85.881098,55.300383,77.857143,0.001726,0.007136,11590.0,11700.0,0.0
2006-01-25,11650.0,11650.0,11580.0,11580.0,133,55.993657,53.275769,82.142857,-0.002584,0.007196,11610.0,11590.0,1.0
2006-01-26,11620.0,11700.0,11620.0,11680.0,438,42.034964,58.715618,87.142857,0.008636,0.007344,11580.0,11610.0,1.0
2006-01-27,11790.0,11870.0,11780.0,11870.0,0,45.648407,66.603342,97.857143,0.016267,0.007926,11680.0,11580.0,1.0
2006-01-30,11960.0,11960.0,11960.0,11960.0,15,54.39852,69.525896,96.428571,0.007582,0.007997,11870.0,11680.0,0.0
2006-01-31,11950.0,11950.0,11950.0,11950.0,4,58.11931,68.810778,92.142857,-0.000836,0.008021,11960.0,11870.0,1.0
2006-02-01,11960.0,12000.0,11960.0,12000.0,45,62.889262,70.448816,89.285714,0.004184,0.008021,11950.0,11960.0,1.0
2006-02-02,12030.0,12050.0,12030.0,12050.0,8,71.826425,72.024498,91.428571,0.004167,0.007469,12000.0,11950.0,0.0
2006-02-03,12010.0,12020.0,12010.0,12020.0,25,74.177073,69.635294,91.428571,-0.00249,0.006693,12050.0,12000.0,0.0
2006-02-06,12090.0,12090.0,12040.0,12040.0,0,80.171068,70.343355,90.714286,0.001664,0.006678,12020.0,12050.0,0.0
2006-02-07,12000.0,12000.0,12000.0,12000.0,158,79.721949,66.984664,77.857143,-0.003322,0.006712,12040.0,12020.0,0.0
2006-02-08,11910.0,12000.0,11880.0,12000.0,173,82.536997,66.984664,74.285714,0.0,0.006692,12000.0,12040.0,0.0
2006-02-09,12050.0,12080.0,12010.0,12040.0,28,89.196928,68.722443,80.0,0.003333,0.006315,12000.0,12000.0,1.0
2006-02-10,12080.0,12120.0,12080.0,12120.0,9,101.565146,71.897773,73.571429,0.006645,0.00634,12040.0,12000.0,-1.0
2006-02-13,12030.0,12080.0,12030.0,12080.0,0,104.823755,68.194514,78.571429,-0.0033,0.006254,12120.0,12040.0,0.0
2006-02-14,12070.0,12070.0,12070.0,12070.0,25,101.312945,67.258726,74.285714,-0.000828,0.006262,12080.0,12120.0,0.0
2006-02-15,12060.0,12060.0,12050.0,12050.0,1,92.009262,65.326353,67.142857,-0.001657,0.006254,12070.0,12080.0,0.0
2006-02-16,12080.0,12080.0,12080.0,12080.0,0,87.004205,66.866648,55.714286,0.00249,0.00605,12050.0,12070.0,1.0
2006-02-17,12130.0,12130.0,12130.0,12130.0,2,86.203703,69.307753,52.857143,0.004139,0.006086,12080.0,12050.0,1.0
2006-02-20,12150.0,12220.0,12150.0,12220.0,1,91.652789,73.129487,58.571429,0.00742,0.005394,12130.0,12080.0,1.0
2006-02-21,12270.0,12270.0,12270.0,12270.0,0,100.344407,74.979717,58.571429,0.004092,0.005392,12220.0,12130.0,1.0
2006-02-22,12330.0,12330.0,12330.0,12330.0,0,109.935744,77.01656,59.285714,0.00489,0.004754,12270.0,12220.0,0.0
2006-02-23,12350.0,12350.0,12350.0,12350.0,2,118.853643,77.666054,57.857143,0.001622,0.004755,12330.0,12270.0,0.0
2006-02-24,12360.0,12360.0,12360.0,12360.0,40,123.400582,78.000271,53.571429,0.00081,0.004625,12350.0,12330.0,1.0
2006-02-27,12430.0,12480.0,12420.0,12480.0,113,135.118536,81.562898,59.285714,0.009709,0.004692,12360.0,12350.0,-1.0
2006-02-28,12370.0,12370.0,12330.0,12370.0,2,128.824852,70.414442,61.428571,-0.008814,0.004357,12480.0,12360.0,1.0
2006-03-01,12460.0,12470.0,12460.0,12470.0,64,131.883494,73.933609,62.857143,0.008084,0.004389,12370.0,12480.0,1.0
2006-03-02,12550.0,12570.0,12510.0,12530.0,0,137.357217,75.780196,64.285714,0.004812,0.004386,12470.0,12370.0,0.0
2006-03-03,12520.0,12520.0,12520.0,12520.0,13,139.919614,74.833235,58.571429,-0.000798,0.004406,12530.0,12470.0,1.0
2006-03-06,12560.0,12580.0,12560.0,12580.0,304,146.680249,76.71488,62.142857,0.004792,0.004423,12520.0,12530.0,-1.0
2006-03-07,12450.0,12450.0,12330.0,12360.0,212,129.501064,59.293045,78.571429,-0.017488,0.006013,12580.0,12520.0,-1.0
2006-03-08,12430.0,12430.0,12160.0,12290.0,340,105.539887,54.94156,95.714286,-0.005663,0.006191,12360.0,12580.0,1.0
2006-03-09,12370.0,12400.0,12350.0,12380.0,82,92.756865,59.119356,100.0,0.007323,0.006257,12290.0,12360.0,0.0
2006-03-10,12400.0,12430.0,12400.0,12410.0,276,83.109006,60.426927,97.142857,0.002423,0.006252,12380.0,12290.0,1.0
2006-03-13,12510.0,12540.0,12500.0,12530.0,98,84.334173,65.208923,102.857143,0.00967,0.00648,12410.0,12380.0,0.0
2006-03-14,12500.0,12510.0,12490.0,12510.0,4,81.892961,63.837599,101.428571,-0.001596,0.006426,12530.0,12410.0,0.0
2006-03-15,12520.0,12520.0,12520.0,12520.0,381,76.059949,64.243146,100.714286,0.000799,0.00634,12510.0,12530.0,0.0
2006-03-16,12530.0,12550.0,12510.0,12510.0,9,71.480797,63.477128,102.857143,-0.000799,0.00634,12520.0,12510.0,1.0
2006-03-17,12680.0,12680.0,12670.0,12670.0,8,79.229172,69.706126,106.428571,0.01279,0.006718,12510.0,12520.0,1.0
2006-03-20,12690.0,12780.0,12690.0,12780.0,2,93.254365,73.064413,103.571429,0.008682,0.006855,12670.0,12510.0,0.0
2006-03-21,12750.0,12750.0,12750.0,12750.0,33,99.459701,70.779705,98.571429,-0.002347,0.006924,12780.0,12670.0,1.0
2006-03-22,12760.0,12810.0,12750.0,12810.0,19,106.378011,72.627583,95.714286,0.004706,0.006852,12750.0,12780.0,0.0
2006-03-23,12860.0,12860.0,12840.0,12840.0,0,117.477456,73.524893,98.571429,0.002342,0.006839,12810.0,12750.0,1.0
2006-03-24,12930.0,12930.0,12930.0,12930.0,2,134.595644,76.054974,100.714286,0.007009,0.006895,12840.0,12810.0,0.0
2006-03-27,12930.0,12930.0,12920.0,12920.0,2,143.596577,75.20103,83.571429,-0.000773,0.006923,12930.0,12840.0,0.0
2006-03-28,12890.0,12940.0,12890.0,12940.0,29,150.729271,75.787034,67.857143,0.001548,0.006918,12920.0,12930.0,0.0
2006-03-29,12970.0,12970.0,12950.0,12970.0,6,154.726575,76.675977,62.142857,0.002318,0.006708,12940.0,12920.0,1.0
2006-03-30,13040.0,13040.0,13040.0,13040.0,0,163.252352,78.64181,63.571429,0.005397,0.006312,12970.0,12940.0,1.0
2006-03-31,13100.0,13100.0,13100.0,13100.0,16,173.267607,80.175853,58.571429,0.004601,0.006206,13040.0,12970.0,1.0
2006-04-03,13100.0,13230.0,13100.0,13230.0,0,191.166282,83.010154,65.0,0.009924,0.006399,13100.0,13040.0,0.0
2006-04-04,13230.0,13230.0,13230.0,13230.0,0,200.295852,83.010154,64.285714,0.0,0.006382,13230.0,13100.0,0.0
2006-04-05,13230.0,13230.0,13230.0,13230.0,0,200.914913,83.010154,61.428571,0.0,0.006383,13230.0,13230.0,1.0
2006-04-06,13310.0,13310.0,13310.0,13310.0,0,207.624386,84.677387,55.0,0.006047,0.004641,13230.0,13230.0,0.0
2006-04-07,13300.0,13300.0,13300.0,13300.0,0,208.348317,83.579935,47.857143,-0.000751,0.00429,13310.0,13230.0,0.0
2006-04-10,13280.0,13280.0,13280.0,13280.0,188,203.36145,81.308527,47.142857,-0.001504,0.004338,13300.0,13310.0,-1.0
2006-04-11,13170.0,13170.0,13100.0,13130.0,313,181.281408,66.655465,55.714286,-0.011295,0.005328,13280.0,13300.0,-1.0
2006-04-12,13100.0,13100.0,12990.0,13070.0,0,153.454504,61.802819,62.142857,-0.00457,0.005291,13130.0,13280.0,1.0
2006-04-13,13130.0,13130.0,13130.0,13130.0,0,133.144041,64.591651,60.0,0.004591,0.005259,13070.0,13130.0,0.0
2006-04-18,13130.0,13130.0,13130.0,13130.0,387,114.87822,64.591651,59.285714,0.0,0.005272,13130.0,13070.0,1.0
2006-04-19,13230.0,13330.0,13230.0,13320.0,86,114.383721,72.051528,70.0,0.014471,0.005836,13130.0,13130.0,1.0
2006-04-20,13400.0,13440.0,13400.0,13400.0,81,118.892237,74.456895,76.428571,0.006006,0.005454,13320.0,13130.0,1.0
2006-04-21,13430.0,13490.0,13430.0,13490.0,11,124.99945,76.855745,77.857143,0.006716,0.005364,13400.0,13320.0,1.0
2006-04-24,13520.0,13530.0,13520.0,13530.0,10,130.876555,77.844973,76.428571,0.002965,0.005255,13490.0,13400.0,-1.0
2006-04-25,13450.0,13450.0,13450.0,13450.0,25,125.235265,71.300498,72.857143,-0.005913,0.005543,13530.0,13490.0,1.0
2006-04-26,13540.0,13580.0,13540.0,13580.0,26,130.01915,75.000405,82.142857,0.009665,0.005766,13450.0,13530.0,0.0
2006-04-27,13650.0,13650.0,13590.0,13590.0,110,133.578024,75.262069,87.142857,0.000736,0.00569,13580.0,13450.0,0.0
2006-04-28,13500.0,13570.0,13480.0,13560.0,22,131.282755,72.802038,89.285714,-0.002208,0.005735,13590.0,13580.0,1.0
2006-05-02,13590.0,13650.0,13590.0,13650.0,133,139.622192,75.405049,95.0,0.006637,0.005809,13560.0,13590.0,0.0
2006-05-03,13690.0,13730.0,13630.0,13630.0,0,143.932378,73.727526,100.714286,-0.001465,0.005868,13650.0,13560.0,1.0
2006-05-04,13750.0,13750.0,13750.0,13750.0,33,155.917321,77.033741,96.428571,0.008804,0.005998,13630.0,13650.0,1.0
2006-05-05,13800.0,13890.0,13800.0,13890.0,16,175.953472,80.145548,96.428571,0.010182,0.006209,13750.0,13630.0,1.0
2006-05-08,13950.0,14060.0,13950.0,14060.0,0,200.61142,83.108337,104.285714,0.012239,0.006355,13890.0,13750.0,1.0
2006-05-09,14130.0,14130.0,14130.0,14130.0,34,221.842875,84.144826,109.285714,0.004979,0.00634,14060.0,13890.0,-1.0
