DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,26625.0,26800.0,26555.0,26675.0,13426,25.828258,55.888426,393.214286,-0.004293,0.008974,26790.0,26690.0,0.0
1990-02-07,26580.0,27200.0,26580.0,26680.0,27962,34.136674,55.948136,402.142857,0.000187,0.008449,26675.0,26790.0,0.0
1990-02-08,26625.0,26825.0,26575.0,26715.0,12589,38.024333,56.39303,400.357143,0.001312,0.008433,26680.0,26675.0,-1.0
1990-02-09,26575.0,26650.0,26300.0,26365.0,17505,23.796724,50.867796,385.357143,-0.013101,0.008397,26715.0,26680.0,1.0
1990-02-12,26425.0,26725.0,26425.0,26525.0,12670,31.300564,53.157249,387.857143,0.006069,0.008524,26365.0,26715.0,1.0
1990-02-13,26725.0,26950.0,26600.0,26665.0,19479,45.71572,55.116185,359.285714,0.005278,0.008553,26525.0,26365.0,0.0
1990-02-14,26500.0,26750.0,26450.0,26650.0,13415,55.692633,54.852892,364.642857,-0.000563,0.007744,26665.0,26525.0,0.0
1990-02-15,26705.0,26920.0,26575.0,26650.0,20341,68.283858,54.852892,350.0,0.0,0.00772,26650.0,26665.0,0.0
1990-02-16,26625.0,26920.0,26575.0,26700.0,15225,84.932312,55.671981,355.0,0.001876,0.007678,26650.0,26650.0,0.0
1990-02-20,26750.0,26850.0,26600.0,26715.0,13186,88.962918,55.929813,355.0,0.000562,0.007098,26700.0,26650.0,-1.0
1990-02-21,26725.0,26870.0,26375.0,26400.0,21106,56.207354,49.431202,372.5,-0.011791,0.00759,26715.0,26700.0,1.0
1990-02-22,26800.0,26925.0,26730.0,26790.0,18408,62.337046,56.284541,373.571429,0.014773,0.007786,26400.0,26715.0,-1.0
1990-02-23,26650.0,26825.0,26600.0,26625.0,20851,54.661486,53.056119,366.785714,-0.006159,0.007844,26790.0,26400.0,-1.0
1990-02-26,26550.0,26600.0,26100.0,26150.0,48172,-0.039816,45.003692,380.357143,-0.01784,0.008088,26625.0,26790.0,-1.0
1990-02-27,26150.0,26225.0,25750.0,25800.0,63221,-76.256632,40.08802,396.785714,-0.013384,0.008563,26150.0,26625.0,1.0
1990-02-28,25900.0,26050.0,25750.0,26025.0,21851,-103.044858,44.353098,373.928571,0.008721,0.008791,25800.0,26150.0,1.0
1990-03-01,26000.0,26175.0,25950.0,26150.0,13630,-113.348541,46.607516,372.142857,0.004803,0.008859,26025.0,25800.0,-1.0
1990-03-02,26075.0,26125.0,25900.0,25990.0,9206,-142.658765,44.153527,360.357143,-0.006119,0.008946,26150.0,26025.0,0.0
1990-03-05,25950.0,26050.0,25850.0,25940.0,5849,-169.197268,43.380121,348.928571,-0.001924,0.008931,25990.0,26150.0,0.0
1990-03-06,26000.0,26100.0,25910.0,25930.0,5881,-189.258053,43.216761,332.142857,-0.000386,0.007806,25940.0,25990.0,0.0
1990-03-07,25875.0,26075.0,25875.0,25950.0,6573,-203.196573,43.673794,325.0,0.000771,0.007789,25930.0,25940.0,0.0
1990-03-08,25975.0,26125.0,25875.0,25890.0,7001,-218.921809,42.567734,318.214286,-0.002312,0.007711,25950.0,25930.0,-1.0
1990-03-09,25750.0,25850.0,25725.0,25790.0,14081,-232.268238,40.712804,305.357143,-0.003862,0.007704,25890.0,25950.0,-1.0
1990-03-12,25825.0,25950.0,25375.0,25515.0,15789,-269.425971,36.04331,328.571429,-0.010663,0.007934,25790.0,25890.0,0.0
1990-03-13,25450.0,25675.0,25425.0,25590.0,12516,-284.283899,38.149282,311.071429,0.002939,0.007974,25515.0,25790.0,0.0
1990-03-14,25600.0,25740.0,25600.0,25690.0,7864,-270.812646,40.933826,284.285714,0.003908,0.007657,25590.0,25515.0,0.0
1990-03-15,25650.0,25875.0,25650.0,25665.0,8795,-251.280977,40.445499,284.285714,-0.000973,0.007486,25690.0,25590.0,0.0
1990-03-16,25750.0,25925.0,25700.0,25725.0,6094,-231.35729,42.228536,265.357143,0.002338,0.007386,25665.0,25690.0,0.0
