DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,16590.0,16750.0,16580.0,16740.0,13257,-291.620739,32.504874,188.571429,0.00722,0.005981,16620.0,16640.0,1.0
1990-02-07,16800.0,16910.0,16770.0,16880.0,16358,-255.197482,38.35724,192.142857,0.008363,0.006395,16740.0,16620.0,-1.0
1990-02-08,16950.0,16950.0,16670.0,16710.0,14320,-239.449443,34.480062,195.714286,-0.010071,0.006577,16880.0,16740.0,0.0
1990-02-09,16700.0,16800.0,16670.0,16720.0,9044,-220.86335,34.901151,191.428571,0.000598,0.006612,16710.0,16880.0,-1.0
1990-02-12,16750.0,16770.0,16600.0,16650.0,10991,-204.619863,33.289291,194.285714,-0.004187,0.006403,16720.0,16710.0,-1.0
1990-02-13,16630.0,16670.0,16540.0,16570.0,12936,-193.568585,31.491733,182.857143,-0.004805,0.006353,16650.0,16720.0,-1.0
1990-02-14,16530.0,16630.0,16440.0,16510.0,13257,-188.765649,30.16957,182.142857,-0.003621,0.006166,16570.0,16650.0,0.0
1990-02-15,16580.0,16630.0,16550.0,16560.0,12755,-172.525379,32.714009,180.714286,0.003028,0.005855,16510.0,16570.0,1.0
1990-02-16,16550.0,16670.0,16490.0,16620.0,11535,-150.155469,35.731183,174.285714,0.003623,0.005982,16560.0,16510.0,0.0
1990-02-20,16620.0,16700.0,16560.0,16590.0,12234,-131.95788,34.891756,164.285714,-0.001805,0.005956,16620.0,16560.0,-1.0
1990-02-21,16530.0,16590.0,16430.0,16500.0,13958,-122.289289,32.426164,164.285714,-0.005425,0.005671,16590.0,16620.0,1.0
1990-02-22,16900.0,16900.0,16730.0,16750.0,18162,-90.72256,44.270893,182.142857,0.015152,0.006689,16500.0,16590.0,-1.0
1990-02-23,16770.0,16800.0,16530.0,16560.0,19161,-84.546107,38.789089,188.571429,-0.011343,0.006865,16750.0,16500.0,0.0
1990-02-26,16520.0,16570.0,16380.0,16540.0,23560,-82.753288,38.246079,192.857143,-0.001208,0.006845,16560.0,16750.0,0.0
1990-02-27,16550.0,16650.0,16510.0,16550.0,23409,-76.772983,38.708648,190.714286,0.000605,0.006555,16540.0,16560.0,1.0
1990-02-28,16500.0,16630.0,16460.0,16610.0,19297,-65.931344,41.536587,190.714286,0.003625,0.006614,16550.0,16540.0,0.0
1990-03-01,16600.0,16800.0,16560.0,16640.0,25755,-50.426927,42.948858,187.857143,0.001806,0.006527,16610.0,16550.0,-1.0
1990-03-02,16560.0,16610.0,16300.0,16440.0,22409,-54.06576,36.610841,202.857143,-0.012019,0.006498,16640.0,16610.0,0.0
1990-03-05,16440.0,16520.0,16400.0,16430.0,14143,-56.888589,36.318736,199.285714,-0.000608,0.006471,16440.0,16640.0,1.0
1990-03-06,16430.0,16800.0,16400.0,16690.0,19069,-35.504845,47.953177,218.571429,0.015825,0.007372,16430.0,16440.0,0.0
1990-03-07,16710.0,16990.0,16700.0,16750.0,24431,-12.741685,50.179979,226.428571,0.003595,0.007291,16690.0,16430.0,1.0
1990-03-08,16720.0,17020.0,16630.0,17010.0,23278,28.103988,58.446825,245.714286,0.015522,0.007965,16750.0,16690.0,1.0
1990-03-09,17030.0,17210.0,17030.0,17160.0,22030,76.409296,62.276493,247.142857,0.008818,0.008031,17010.0,16750.0,-1.0
1990-03-12,17180.0,17200.0,16900.0,17010.0,17916,93.508312,56.69824,258.571429,-0.008741,0.008127,17160.0,17010.0,0.0
1990-03-13,16950.0,17060.0,16940.0,16970.0,11034,105.526443,55.264126,255.714286,-0.002352,0.007815,17010.0,17160.0,-1.0
1990-03-14,16920.0,16940.0,16720.0,16730.0,17156,92.012547,47.485028,245.0,-0.014143,0.008434,16970.0,17010.0,1.0
1990-03-15,16720.0,16910.0,16680.0,16890.0,15769,96.410153,52.367794,242.142857,0.009564,0.008612,16730.0,16970.0,-1.0
1990-03-16,16830.0,16890.0,16650.0,16730.0,14991,84.534378,47.642505,245.714286,-0.009473,0.008809,16890.0,16730.0,1.0
1990-03-19,16650.0,17050.0,16610.0,16950.0,13928,92.330783,53.865646,267.142857,0.01315,0.009157,16730.0,16890.0,1.0
1990-03-20,16950.0,17250.0,16950.0,17180.0,21080,123.60783,59.248258,276.428571,0.013569,0.009524,16950.0,16730.0,1.0
1990-03-21,17300.0,17470.0,17250.0,17390.0,27457,165.975965,63.391782,280.0,0.012224,0.009779,17180.0,16950.0,1.0
1990-03-22,17530.0,17680.0,17470.0,17630.0,25611,212.624117,67.419686,276.428571,0.013801,0.010044,17390.0,17180.0,-1.0
1990-03-23,17550.0,17550.0,17160.0,17240.0,20691,208.460634,56.658691,301.428571,-0.022121,0.011254,17630.0,17390.0,1.0
1990-03-26,17230.0,17510.0,17060.0,17420.0,15588,213.329186,59.911047,305.0,0.010441,0.011036,17240.0,17630.0,0.0
1990-03-27,17450.0,17470.0,17320.0,17340.0,11907,203.63855,57.854565,294.285714,-0.004592,0.010742,17420.0,17240.0,-1.0
1990-03-28,17280.0,17290.0,17010.0,17030.0,13359,167.443216,50.576407,290.0,-0.017878,0.011547,17340.0,17420.0,0.0
1990-03-29,16980.0,17120.0,16950.0,17070.0,12824,140.029865,51.440725,287.857143,0.002349,0.011548,17030.0,17340.0,1.0
1990-03-30,17100.0,17190.0,17040.0,17170.0,9780,133.975762,53.619347,277.142857,0.005858,0.011577,17070.0,17030.0,-1.0
1990-04-02,17130.0,17230.0,16980.0,16990.0,14343,105.120078,49.352209,286.428571,-0.010483,0.011859,17170.0,17070.0,0.0
1990-04-03,16980.0,17050.0,16850.0,16930.0,15482,78.797663,47.967364,282.857143,-0.003531,0.011548,16990.0,17170.0,1.0
1990-04-04,17000.0,17270.0,17000.0,17180.0,18250,74.818868,53.804553,290.714286,0.014767,0.011882,16930.0,16990.0,1.0
1990-04-05,17250.0,17380.0,17120.0,17370.0,18851,82.827739,57.637571,292.142857,0.011059,0.011661,17180.0,16930.0,0.0
1990-04-06,17500.0,17600.0,17270.0,17440.0,18554,88.909363,58.973426,284.285714,0.00403,0.011664,17370.0,17180.0,0.0
1990-04-09,17450.0,17580.0,17380.0,17510.0,13394,89.710016,60.315682,277.142857,0.004014,0.011276,17440.0,17370.0,-1.0
1990-04-10,17480.0,17480.0,17300.0,17340.0,12255,80.7565,55.578974,271.428571,-0.009709,0.011385,17510.0,17440.0,-1.0
1990-04-11,17300.0,17300.0,17120.0,17160.0,13968,53.491771,50.96998,266.428571,-0.010381,0.011454,17340.0,17510.0,-1.0
1990-04-12,17120.0,17150.0,16930.0,16940.0,17341,12.561933,45.906632,249.285714,-0.012821,0.011789,17160.0,17340.0,0.0
1990-04-16,16830.0,16970.0,16770.0,16910.0,13422,-13.025527,45.238111,231.428571,-0.001771,0.01137,16940.0,17160.0,1.0
1990-04-17,16900.0,17100.0,16830.0,17080.0,18055,-16.51576,49.714846,240.0,0.010053,0.011389,16910.0,16940.0,0.0
1990-04-18,17150.0,17250.0,17100.0,17100.0,25099,-21.191104,50.22525,228.571429,0.001171,0.011166,17080.0,16910.0,1.0
1990-04-19,17150.0,17380.0,17100.0,17270.0,26394,-5.385156,54.452284,236.428571,0.009942,0.011021,17100.0,17080.0,1.0
1990-04-20,17780.0,17800.0,17630.0,17720.0,18569,47.14361,63.259256,263.571429,0.026057,0.011983,17270.0,17100.0,-1.0
1990-04-23,17740.0,17800.0,17600.0,17610.0,13533,73.128753,60.2694,260.0,-0.006208,0.01184,17720.0,17270.0,-1.0
1990-04-24,17500.0,17590.0,17300.0,17330.0,21966,59.930928,53.318251,267.857143,-0.0159,0.01196,17610.0,17720.0,1.0
1990-04-25,17300.0,17800.0,17300.0,17770.0,24644,89.181504,61.044499,279.285714,0.025389,0.012197,17330.0,17610.0,1.0
1990-04-26,17770.0,18600.0,17740.0,18560.0,54815,183.985992,70.310537,322.142857,0.044457,0.015182,17770.0,17330.0,1.0
1990-04-27,18400.0,19200.0,18400.0,18920.0,47885,295.245109,73.295131,355.714286,0.019397,0.01547,18560.0,17770.0,0.0
1990-04-30,18800.0,19100.0,18720.0,18890.0,21531,383.45271,72.65216,368.571429,-0.001586,0.014742,18920.0,18560.0,0.0
1990-05-01,18860.0,19670.0,18750.0,19010.0,33759,460.825447,73.649491,419.285714,0.006353,0.014734,18890.0,18920.0,0.0
1990-05-02,19000.0,19050.0,18660.0,19030.0,23118,521.358332,73.819775,431.428571,0.001052,0.014757,19010.0,18890.0,-1.0
1990-05-03,18950.0,19030.0,18750.0,18810.0,21575,538.466374,68.575631,435.0,-0.011561,0.014811,19030.0,19010.0,-1.0
1990-05-04,18900.0,18950.0,18550.0,18600.0,17975,522.765116,63.857752,449.285714,-0.011164,0.015101,18810.0,19030.0,1.0
1990-05-07,18500.0,19170.0,18400.0,18830.0,25212,521.954402,66.59875,485.0,0.012366,0.015031,18600.0,18810.0,0.0
1990-05-08,18900.0,19070.0,18720.0,18810.0,16518,503.540435,66.134798,497.857143,-0.001062,0.014993,18830.0,18600.0,1.0
1990-05-09,18780.0,19140.0,18750.0,19110.0,17537,510.579711,69.563567,505.714286,0.015949,0.015218,18810.0,18830.0,0.0
1990-05-10,19150.0,19320.0,19050.0,19210.0,19656,524.385847,70.614814,487.142857,0.005233,0.015219,19110.0,18810.0,-1.0
1990-05-11,19150.0,19170.0,18410.0,18640.0,30999,468.335905,58.315341,530.0,-0.029672,0.016626,19210.0,19110.0,-1.0
1990-05-14,18650.0,18800.0,18220.0,18250.0,22746,365.371269,51.503239,549.285714,-0.020923,0.017185,18640.0,19210.0,-1.0
1990-05-15,18250.0,18340.0,17860.0,17910.0,32590,239.279549,46.315193,547.857143,-0.01863,0.017481,18250.0,18640.0,0.0
1990-05-16,18010.0,18110.0,17850.0,17890.0,20400,134.820004,46.01598,505.0,-0.001117,0.017474,17910.0,18250.0,1.0
1990-05-17,17950.0,18220.0,17940.0,18160.0,19216,69.026479,50.655763,471.428571,0.015092,0.017607,17890.0,17910.0,-1.0
1990-05-18,18280.0,18280.0,17870.0,18000.0,17012,-3.582973,48.058942,473.571429,-0.008811,0.017783,18160.0,17890.0,0.0
1990-05-21,17900.0,17910.0,17720.0,17840.0,14443,-75.775147,45.523372,427.857143,-0.008889,0.01786,18000.0,18160.0,0.0
1990-05-22,17860.0,18050.0,17790.0,17920.0,13791,-122.743247,47.041367,418.571429,0.004484,0.017027,17840.0,18000.0,0.0
1990-05-23,17950.0,18020.0,17840.0,17950.0,10773,-161.924345,47.628088,411.428571,0.001674,0.016959,17920.0,17840.0,1.0
1990-05-24,18000.0,18170.0,18000.0,18150.0,11393,-174.748727,51.480873,398.571429,0.011142,0.016652,17950.0,17920.0,0.0
1990-05-25,18250.0,18350.0,18200.0,18220.0,11834,-184.613039,52.775904,357.857143,0.003857,0.01584,18150.0,17950.0,-1.0
1990-05-29,18230.0,18300.0,17910.0,17960.0,14024,-214.649824,47.702527,360.714286,-0.01427,0.012886,18220.0,18150.0,0.0
1990-05-30,18000.0,18080.0,17890.0,17930.0,12260,-228.768317,47.131383,346.428571,-0.00167,0.012019,17960.0,18220.0,-1.0
1990-05-31,17930.0,18020.0,17800.0,17820.0,14190,-243.090001,45.00029,342.857143,-0.006135,0.012044,17930.0,17960.0,-1.0
1990-06-01,17880.0,17890.0,17580.0,17610.0,20701,-259.287438,41.151196,307.857143,-0.011785,0.012025,17820.0,17930.0,-1.0
1990-06-04,17600.0,17600.0,17120.0,17210.0,25141,-296.499112,34.946499,301.428571,-0.022714,0.012656,17610.0,17820.0,0.0
1990-06-05,17250.0,17360.0,17160.0,17240.0,14991,-320.609183,35.747171,281.428571,0.001743,0.01262,17210.0,17610.0,1.0
1990-06-06,17350.0,17530.0,17330.0,17360.0,16074,-319.942496,38.976904,283.571429,0.006961,0.012713,17240.0,17210.0,0.0
1990-06-07,17360.0,17570.0,17300.0,17410.0,14525,-304.354747,40.313836,279.285714,0.00288,0.01232,17360.0,17240.0,-1.0
1990-06-08,17450.0,17530.0,17220.0,17270.0,20810,-301.170243,37.822357,272.142857,-0.008041,0.012344,17410.0,17360.0,1.0
1990-06-11,17150.0,17500.0,17070.0,17440.0,12609,-280.862737,42.506536,282.857143,0.009844,0.011941,17270.0,17410.0,0.0
1990-06-12,17500.0,17630.0,17440.0,17530.0,12174,-259.144809,44.852126,277.857143,0.005161,0.011938,17440.0,17270.0,0.0
1990-06-13,17580.0,17670.0,17520.0,17600.0,17040,-230.932762,46.665335,275.714286,0.003993,0.010583,17530.0,17440.0,-1.0
1990-06-14,17550.0,17550.0,17190.0,17260.0,18808,-230.438864,39.84068,289.285714,-0.019318,0.010455,17600.0,17530.0,0.0
1990-06-15,17230.0,17320.0,17200.0,17210.0,11395,-226.320539,38.921452,283.571429,-0.002897,0.009816,17260.0,17600.0,1.0
1990-06-18,17200.0,17400.0,17110.0,17340.0,13033,-202.635937,42.63799,276.428571,0.007554,0.010015,17210.0,17260.0,-1.0
1990-06-19,17370.0,17380.0,17130.0,17220.0,14926,-191.918691,40.223193,280.714286,-0.00692,0.009371,17340.0,17210.0,1.0
1990-06-20,17300.0,17610.0,17300.0,17400.0,29973,-157.847536,45.265583,292.857143,0.010453,0.009637,17220.0,17340.0,0.0
1990-06-21,17370.0,17490.0,17370.0,17460.0,13627,-126.630729,46.858114,279.285714,0.003448,0.009545,17400.0,17220.0,0.0
1990-06-22,17690.0,17690.0,17450.0,17540.0,15156,-95.27231,48.982226,261.428571,0.004582,0.009548,17460.0,17400.0,1.0
1990-06-25,17510.0,17850.0,17490.0,17840.0,26379,-39.103264,56.045057,272.857143,0.017104,0.010286,17540.0,17460.0,0.0
1990-06-26,17740.0,17900.0,17700.0,17870.0,24232,10.94687,56.680044,266.428571,0.001682,0.009981,17840.0,17540.0,0.0
1990-06-27,17900.0,18030.0,17900.0,17920.0,27753,50.013865,57.773119,258.571429,0.002798,0.009961,17870.0,17840.0,-1.0
1990-06-28,17880.0,17900.0,17790.0,17830.0,26884,71.239122,55.086237,245.714286,-0.005022,0.009548,17920.0,17870.0,1.0
1990-06-29,18150.0,18200.0,18030.0,18180.0,22102,118.669907,62.439088,241.428571,0.01963,0.010439,17830.0,17920.0,1.0
1990-07-02,18520.0,19180.0,18520.0,18870.0,34656,229.13491,71.987832,299.285714,0.037954,0.012989,18180.0,17830.0,1.0
1990-07-03,18900.0,19240.0,18830.0,19220.0,29785,348.90175,75.293418,317.857143,0.018548,0.01299,18870.0,18180.0,-1.0
1990-07-05,18850.0,18850.0,18360.0,18380.0,20382,357.020608,57.942779,350.0,-0.043704,0.015566,19220.0,18870.0,0.0
1990-07-06,18380.0,18580.0,18050.0,18240.0,23753,350.036488,55.540574,379.285714,-0.007617,0.015732,18380.0,19220.0,-1.0
1990-07-09,18180.0,18220.0,17970.0,18060.0,20815,319.662338,52.503543,377.857143,-0.009868,0.015922,18240.0,18380.0,0.0
1990-07-10,18150.0,18250.0,18100.0,18190.0,12638,301.074855,54.459673,373.571429,0.007198,0.015961,18060.0,18240.0,-1.0
1990-07-11,18170.0,18190.0,17880.0,17960.0,18420,255.601745,50.523417,367.857143,-0.012644,0.01613,18190.0,18060.0,0.0
1990-07-12,17890.0,18030.0,17840.0,17940.0,15415,207.790133,50.179425,372.857143,-0.001114,0.016042,17960.0,18190.0,0.0
