DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-07-30,199750.0,200062.6,199750.0,200062.6,831,316.023855,66.42945,331.471429,0.001878,0.001089,199687.6,199343.8,0.0
1990-07-31,200000.0,200140.6,199953.2,200140.6,292,347.16615,67.21992,331.457143,0.00039,0.001074,200062.6,199687.6,1.0
1990-08-01,200140.6,200500.0,200140.6,200437.6,1094,392.196445,70.105273,295.742857,0.001484,0.00109,200140.6,200062.6,-1.0
1990-08-02,200218.8,200375.0,200125.0,200125.0,538,391.288514,63.753884,273.428571,-0.00156,0.001161,200437.6,200140.6,1.0
1990-08-03,200062.6,200812.6,200062.6,200468.8,1136,418.858299,67.271318,321.428571,0.001718,0.001198,200125.0,200437.6,-1.0
1990-08-06,200375.0,200812.6,200078.2,200078.2,2713,399.970133,60.142587,362.728571,-0.001948,0.001281,200468.8,200125.0,-1.0
1990-08-07,200250.0,200265.6,199718.8,199718.8,683,344.9341,54.417305,381.685714,-0.001796,0.001254,200078.2,200468.8,0.0
1990-08-08,199812.6,199875.0,199625.0,199625.0,561,285.920517,52.996762,386.157143,-0.00047,0.001243,199718.8,200078.2,1.0
1990-08-09,199812.6,199937.6,199656.2,199781.2,1016,257.348235,55.099733,393.971429,0.000782,0.00124,199625.0,199718.8,1.0
1990-08-10,199968.8,199968.8,199968.8,199968.8,155,246.155583,57.554091,356.028571,0.000939,0.001246,199781.2,199625.0,0.0
1990-08-13,199968.8,200062.6,199968.8,200031.2,79,233.997688,58.368496,344.871429,0.000312,0.001108,199968.8,199781.2,0.0
1990-08-14,200000.0,200062.6,199984.4,200015.6,229,208.816589,58.068624,332.6,-7.8e-05,0.001093,200031.2,199968.8,0.0
1990-08-15,200093.8,200218.8,199968.8,200000.0,347,173.167666,57.749088,346.0,-7.8e-05,0.001093,200015.6,200031.2,-1.0
1990-08-16,199875.0,199875.0,199468.8,199500.0,539,93.23797,48.530627,354.928571,-0.0025,0.001234,200000.0,200015.6,0.0
1990-08-17,199390.6,199500.0,199281.2,199406.2,605,17.351313,47.010728,343.771429,-0.00047,0.001239,199500.0,200000.0,0.0
1990-08-20,199406.2,199421.8,199343.8,199390.6,567,-36.357621,46.748381,335.957143,-7.8e-05,0.001238,199406.2,199500.0,-1.0
1990-08-21,199093.8,199234.4,199093.8,199156.2,182,-109.728613,42.876269,331.485714,-0.001176,0.00125,199390.6,199406.2,-1.0
1990-08-22,199062.6,199187.6,198937.6,199000.0,505,-172.603779,40.467963,327.014286,-0.000784,0.001253,199156.2,199390.6,0.0
1990-08-23,198812.6,199093.8,198750.0,198937.6,2412,-218.924127,39.512405,298.0,-0.000314,0.001228,199000.0,199156.2,-1.0
1990-08-24,198750.0,198843.8,198593.8,198656.2,582,-276.800876,35.446313,270.1,-0.001415,0.001257,198937.6,199000.0,1.0
1990-08-27,198984.4,199000.0,198937.6,199000.0,794,-289.753209,43.154012,255.6,0.001731,0.001319,198656.2,198937.6,-1.0
1990-08-28,198937.6,198937.6,198812.6,198843.8,263,-315.060688,40.775984,251.128571,-0.000785,0.001263,199000.0,198656.2,1.0
1990-08-29,198953.2,199125.0,198921.8,199125.0,3347,-310.604178,46.496534,248.885714,0.001414,0.00123,198843.8,199000.0,0.0
1990-08-30,199171.8,199281.2,199062.6,199234.4,3351,-293.779049,48.574744,251.1,0.000549,0.001234,199125.0,198843.8,1.0
