DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1990-02-06,96281.3,96343.8,96062.5,96218.8,25371,-666.064357,34.085881,569.214286,-0.002592,0.003276,96468.8,96656.3,0.0
1990-02-07,95812.5,96250.0,95781.3,96250.0,43962,-652.451397,34.578178,540.192857,0.000324,0.003298,96218.8,96468.8,1.0
1990-02-08,96281.3,96937.5,96187.5,96625.0,38482,-602.832571,40.343541,566.978571,0.003896,0.003483,96250.0,96218.8,1.0
1990-02-09,96968.8,97718.8,96875.0,97593.8,40757,-448.059366,52.053594,627.25,0.010026,0.004229,96625.0,96250.0,-1.0
1990-02-12,97593.8,97812.5,97031.3,97093.8,28029,-358.243048,46.979088,654.035714,-0.005123,0.004328,97593.8,96625.0,1.0
1990-02-13,97125.0,97468.8,96906.3,97406.3,30936,-240.183016,50.259643,629.478571,0.003219,0.004396,97093.8,97593.8,0.0
1990-02-14,97500.0,97562.5,97250.0,97343.8,29123,-146.867642,49.600761,609.385714,-0.000642,0.004303,97406.3,97093.8,-1.0
1990-02-15,97218.8,97281.3,96750.0,96812.5,45945,-112.821979,44.282784,595.992857,-0.005458,0.004418,97343.8,97406.3,0.0
1990-02-16,96906.3,97125.0,96718.8,96906.3,30896,-85.736757,45.401863,609.378571,0.000969,0.004427,96812.5,97343.8,-1.0
1990-02-20,96187.5,96343.8,95437.5,95656.3,52665,-181.014199,35.250803,665.185714,-0.012899,0.004915,96906.3,96812.5,0.0
1990-02-21,95687.5,95875.0,95343.8,95687.5,36889,-241.68605,35.642638,633.928571,0.000326,0.004826,95656.3,96906.3,1.0
1990-02-22,95687.5,96312.5,95468.8,96218.8,31734,-232.318294,42.069578,651.785714,0.005552,0.005024,95687.5,95656.3,0.0
1990-02-23,96187.5,96500.0,96000.0,96156.3,35257,-218.564797,41.546864,647.321429,-0.00065,0.004997,96218.8,95687.5,1.0
1990-02-26,96312.5,96687.5,96187.5,96656.3,35005,-165.347643,47.202323,660.707143,0.0052,0.004956,96156.3,96218.8,1.0
1990-02-27,96750.0,97000.0,96750.0,97000.0,39849,-92.875825,50.714083,656.235714,0.003556,0.004993,96656.3,96156.3,-1.0
1990-02-28,96875.0,96937.5,96281.3,96312.5,33284,-119.782238,44.378088,674.092857,-0.007088,0.005104,97000.0,96656.3,-1.0
1990-03-01,96312.5,96343.8,95750.0,95812.5,30426,-171.384078,40.396962,662.935714,-0.005191,0.005217,96312.5,97000.0,1.0
1990-03-02,95875.0,96437.5,95812.5,96062.5,34332,-200.701966,43.157087,629.45,0.002609,0.005246,95812.5,96312.5,-1.0
1990-03-05,96000.0,96000.0,95312.5,95375.0,21398,-286.343073,37.964079,627.221429,-0.007157,0.005251,96062.5,95812.5,1.0
1990-03-06,95531.3,95812.5,95281.3,95750.0,23876,-309.231747,42.087005,624.985714,0.003932,0.00533,95375.0,96062.5,0.0
1990-03-07,95937.5,96031.3,95781.3,95812.5,14186,-320.259834,42.76705,622.757143,0.000653,0.005252,95750.0,95375.0,0.0
1990-03-08,95937.5,96000.0,95718.8,95906.3,19018,-289.082464,43.83235,600.428571,0.000979,0.005248,95812.5,95750.0,-1.0
1990-03-09,96000.0,96031.3,95187.5,95375.0,37302,-302.853855,39.367006,631.685714,-0.00554,0.005347,95906.3,95812.5,0.0
1990-03-12,95375.0,95562.5,95281.3,95531.3,11548,-304.726882,41.27297,546.857143,0.001639,0.005363,95375.0,95906.3,-1.0
1990-03-13,95406.3,95531.3,94781.3,94937.5,28183,-359.746838,36.576586,562.485714,-0.006216,0.005417,95531.3,95375.0,1.0
1990-03-14,95000.0,95531.3,94937.5,95500.0,19204,-360.170768,43.210103,544.635714,0.005925,0.005087,94937.5,95531.3,0.0
1990-03-15,95437.5,95500.0,95218.8,95375.0,13269,-379.368475,42.161015,529.007143,-0.001309,0.005004,95500.0,94937.5,1.0
1990-03-16,95312.5,96000.0,95281.3,95906.3,23597,-325.683356,47.952738,542.4,0.005571,0.005117,95375.0,95500.0,0.0
1990-03-19,95718.8,95906.3,95562.5,95875.0,10400,-266.58518,47.651685,542.407143,-0.000326,0.005118,95906.3,95375.0,1.0
1990-03-20,95843.8,96250.0,95406.3,96250.0,38846,-176.013115,51.575488,551.335714,0.003911,0.005091,95875.0,95906.3,0.0
1990-03-21,96156.3,96312.5,95968.8,96125.0,23500,-101.161501,50.229228,533.471429,-0.001299,0.005088,96250.0,95875.0,0.0
1990-03-22,95937.5,96656.3,95937.5,96187.5,26782,-37.911222,50.91996,540.171429,0.00065,0.004248,96125.0,96250.0,0.0
1990-03-23,96312.5,96625.0,96062.5,96312.5,20972,24.320561,52.343564,526.778571,0.0013,0.004254,96187.5,96125.0,0.0
1990-03-26,96593.8,96718.8,96375.0,96437.5,10575,78.643335,53.785298,517.857143,0.001298,0.004098,96312.5,96187.5,0.0
1990-03-27,96375.0,96500.0,96250.0,96312.5,11920,124.211675,52.090404,515.621429,-0.001296,0.004106,96437.5,96312.5,0.0
1990-03-28,96218.8,96593.8,96093.8,96437.5,11940,154.517452,53.664884,531.25,0.001298,0.003956,96312.5,96437.5,-1.0
1990-03-29,96187.5,96375.0,95812.5,95843.8,20670,136.594771,45.95077,515.621429,-0.006156,0.004069,96437.5,96312.5,-1.0
1990-03-30,95875.0,95937.5,95343.8,95437.5,24010,77.568896,41.524419,537.942857,-0.004239,0.003892,95843.8,96437.5,0.0
1990-04-02,95593.8,95750.0,95437.5,95500.0,14769,39.749593,42.446748,506.692857,0.000655,0.003747,95437.5,95843.8,0.0
1990-04-03,95593.8,95843.8,95468.8,95625.0,12114,15.640303,44.33653,491.064286,0.001309,0.003712,95500.0,95437.5,1.0
1990-04-04,95625.0,96593.8,95593.8,96281.3,19841,63.114074,53.043156,542.407143,0.006863,0.003664,95625.0,95500.0,0.0
1990-04-05,96031.3,96187.5,95875.0,96187.5,12973,76.004574,51.804469,520.092857,-0.000974,0.003589,96281.3,95625.0,0.0
1990-04-06,96125.0,96625.0,95937.5,96187.5,22922,82.553127,51.804469,544.642857,0.0,0.003588,96187.5,96281.3,-1.0
1990-04-09,96062.5,96062.5,95812.5,95937.5,6579,64.548515,48.313617,511.164286,-0.002599,0.003631,96187.5,96187.5,0.0
1990-04-10,95718.8,96187.5,95656.3,95875.0,15896,32.771512,47.450519,524.557143,-0.000651,0.003418,95937.5,96187.5,0.0
1990-04-11,95687.5,96093.8,95625.0,95718.8,17846,-7.209105,45.272346,506.7,-0.001629,0.003426,95875.0,95937.5,0.0
1990-04-12,95812.5,95968.8,95531.3,95593.8,10744,-47.470399,43.546789,497.771429,-0.001306,0.003143,95718.8,95875.0,-1.0
1990-04-16,95812.5,95812.5,95281.3,95406.3,12348,-98.54276,41.017991,506.692857,-0.001961,0.002915,95593.8,95718.8,-1.0
1990-04-17,95562.5,95718.8,94593.8,94875.0,27735,-179.260761,34.833173,569.192857,-0.005569,0.003136,95406.3,95593.8,-1.0
1990-04-18,94906.3,95125.0,94156.3,94250.0,31596,-287.334003,29.220277,602.671429,-0.006588,0.003136,94875.0,95406.3,0.0
1990-04-19,94062.5,94375.0,94000.0,94218.8,21487,-379.804598,28.967674,584.814286,-0.000331,0.003136,94250.0,94875.0,-1.0
1990-04-20,94343.8,94437.5,93656.3,93750.0,19801,-488.59319,25.411775,598.207143,-0.004976,0.003073,94218.8,94250.0,-1.0
1990-04-23,93625.0,93843.8,93531.3,93593.8,20586,-600.025912,24.334557,598.207143,-0.001666,0.003075,93750.0,94218.8,0.0
1990-04-24,93687.5,93843.8,93343.8,93468.8,26823,-685.205697,23.475501,607.135714,-0.001336,0.003047,93593.8,93750.0,0.0
1990-04-25,93468.8,93750.0,93375.0,93468.8,24022,-744.976395,23.475501,562.492857,0.0,0.003007,93468.8,93593.8,-1.0
1990-04-26,93562.5,93593.8,92906.3,93125.0,27507,-805.199848,21.0967,582.578571,-0.003678,0.002984,93468.8,93468.8,0.0
1990-04-27,93125.0,93562.5,92937.5,93156.3,24233,-839.696098,21.875727,578.114286,0.000336,0.003012,93125.0,93468.8,0.0
1990-04-30,93125.0,93312.5,93093.8,93250.0,8602,-843.589444,24.284933,566.95,0.001006,0.003,93156.3,93125.0,-1.0
1990-05-01,93406.3,93656.3,92906.3,93093.8,19011,-846.123766,23.012205,582.578571,-0.001675,0.002817,93250.0,93156.3,0.0
1990-05-02,93000.0,93125.0,92812.5,93031.3,23873,-836.988187,22.503162,571.414286,-0.000671,0.002742,93093.8,93250.0,1.0
1990-05-03,93218.8,93406.3,93156.3,93250.0,21118,-787.008452,28.469809,566.95,0.002351,0.002818,93031.3,93093.8,1.0
1990-05-04,93437.5,94687.5,93093.8,94562.5,41814,-598.95542,52.199579,642.842857,0.014075,0.004273,93250.0,93031.3,-1.0
1990-05-07,94406.3,94468.8,94250.0,94343.8,12929,-467.179368,49.305166,584.807143,-0.002313,0.003956,94562.5,93250.0,1.0
1990-05-08,94468.8,94625.0,94375.0,94593.8,20788,-326.159524,52.55153,535.7,0.00265,0.004028,94343.8,94562.5,-1.0
1990-05-09,94187.5,94312.5,93937.5,94000.0,30983,-259.205835,45.171857,555.792857,-0.006277,0.004191,94593.8,94343.8,1.0
1990-05-10,94156.3,94562.5,94156.3,94562.5,29039,-144.130958,52.080127,540.171429,0.005984,0.004431,94000.0,94593.8,1.0
1990-05-11,94718.8,95656.3,94687.5,95625.0,53821,57.004525,61.810146,595.978571,0.011236,0.005104,94562.5,94000.0,0.0
1990-05-14,95406.3,95906.3,95375.0,95843.8,23968,246.24292,63.438227,598.214286,0.002288,0.005117,95625.0,94562.5,-1.0
1990-05-15,95656.3,95750.0,95406.3,95531.3,19984,367.59223,59.542826,602.678571,-0.003261,0.005159,95843.8,95625.0,0.0
1990-05-16,95500.0,95687.5,95250.0,95406.3,38969,447.202948,58.003543,584.821429,-0.001308,0.005149,95531.3,95843.8,0.0
1990-05-17,95468.8,95687.5,95187.5,95312.5,24098,503.62599,56.815044,575.892857,-0.000983,0.005003,95406.3,95531.3,-1.0
1990-05-18,95156.3,95218.8,94843.8,94968.8,23004,515.049968,52.561051,593.75,-0.003606,0.004848,95312.5,95406.3,0.0
1990-05-21,94906.3,95062.5,94781.3,95000.0,22366,519.093701,52.907005,560.264286,0.000329,0.004846,94968.8,95312.5,1.0
1990-05-22,95125.0,95687.5,95125.0,95625.0,33569,544.491153,59.306883,587.05,0.006579,0.004863,95000.0,94968.8,0.0
1990-05-23,95718.8,96093.8,95437.5,95812.5,43384,576.041563,61.007681,607.142857,0.001961,0.004833,95625.0,95000.0,0.0
1990-05-24,95968.8,96156.3,95656.3,95656.3,38906,567.513186,58.806916,529.021429,-0.00163,0.00484,95812.5,95625.0,-1.0
1990-05-25,95468.8,95468.8,95187.5,95218.8,18582,527.291913,53.027539,540.185714,-0.004574,0.004984,95656.3,95812.5,1.0
1990-05-29,95343.8,95531.3,95250.0,95531.3,28480,500.0443,56.343071,542.421429,0.003282,0.004903,95218.8,95656.3,1.0
1990-05-30,95625.0,95843.8,95625.0,95781.3,42069,467.322187,58.838,517.864286,0.002617,0.004908,95531.3,95218.8,0.0
1990-05-31,95781.3,95875.0,95562.5,95875.0,24577,434.685283,59.763704,500.007143,0.000978,0.004908,95781.3,95531.3,1.0
1990-06-01,95875.0,97000.0,95781.3,96875.0,56859,499.556267,68.02135,508.928571,0.01043,0.00523,95875.0,95781.3,0.0
1990-06-04,96906.3,97000.0,96781.3,96906.3,24722,542.899842,68.2388,486.6,0.000323,0.005212,96875.0,95875.0,0.0
1990-06-05,97125.0,97156.3,96593.8,96656.3,21143,546.169387,64.469242,495.528571,-0.00258,0.005295,96906.3,96875.0,0.0
1990-06-06,96562.5,96718.8,96500.0,96687.5,24055,550.846901,64.731763,479.907143,0.000323,0.004512,96656.3,96906.3,0.0
1990-06-07,96843.8,96875.0,96562.5,96718.8,16943,545.486826,65.01097,466.514286,0.000324,0.004454,96687.5,96656.3,0.0
1990-06-08,96781.3,96875.0,96562.5,96687.5,12079,513.084923,64.461572,455.357143,-0.000324,0.004451,96718.8,96687.5,0.0
1990-06-11,96406.3,96656.3,96375.0,96593.8,14803,466.630913,62.751383,457.592857,-0.000969,0.004173,96687.5,96718.8,0.0
1990-06-12,96687.5,96718.8,96531.3,96593.8,12470,439.286964,62.751383,421.878571,0.0,0.004042,96593.8,96687.5,1.0
1990-06-13,96656.3,97125.0,96625.0,97062.5,17777,462.034327,67.723838,412.942857,0.004852,0.003457,96593.8,96593.8,1.0
1990-06-14,97343.8,97406.3,97000.0,97281.3,26364,488.589454,69.744526,406.25,0.002254,0.003456,97062.5,96593.8,-1.0
1990-06-15,97312.5,97437.5,96531.3,96718.8,31422,437.449219,59.461208,437.492857,-0.005782,0.003631,97281.3,97062.5,-1.0
1990-06-18,96562.5,96625.0,96375.0,96437.5,12995,367.566637,55.063398,439.728571,-0.002908,0.003686,96718.8,97281.3,0.0
1990-06-19,96468.8,96593.8,96281.3,96406.3,17140,291.762966,54.579817,439.728571,-0.000324,0.003676,96437.5,96718.8,-1.0
1990-06-20,96406.3,96593.8,96062.5,96125.0,20819,202.688829,50.290095,455.357143,-0.002918,0.003642,96406.3,96437.5,1.0
1990-06-21,96250.0,96375.0,96031.3,96343.8,17784,151.233785,53.369045,392.857143,0.002276,0.00366,96125.0,96406.3,0.0
1990-06-22,96437.5,96531.3,96281.3,96406.3,12493,110.758578,54.238978,395.092857,0.000649,0.003412,96343.8,96125.0,-1.0
1990-06-25,96437.5,96437.5,95812.5,95843.8,12713,21.838726,45.938008,399.557143,-0.005835,0.003637,96406.3,96343.8,1.0
1990-06-26,95875.0,96500.0,95843.8,96125.0,21746,-27.895939,50.075612,430.8,0.002934,0.003668,95843.8,96406.3,1.0
1990-06-27,96250.0,96406.3,96125.0,96343.8,12776,-46.835669,53.076123,428.571429,0.002276,0.003529,96125.0,95843.8,1.0
1990-06-28,96625.0,96750.0,96500.0,96687.5,12457,-25.071333,57.397724,435.264286,0.003567,0.00354,96343.8,96125.0,1.0
1990-06-29,96781.3,97031.3,96531.3,97000.0,24986,10.279563,60.910271,448.657143,0.003232,0.00356,96687.5,96343.8,0.0
1990-07-02,96875.0,97031.3,96781.3,96937.5,12370,22.824249,59.850839,453.121429,-0.000644,0.003568,97000.0,96687.5,1.0
1990-07-03,96937.5,97156.3,96843.8,97156.3,8321,58.066331,62.323074,437.5,0.002257,0.002836,96937.5,97000.0,-1.0
1990-07-05,97125.0,97218.8,96937.5,96968.8,9611,75.419803,58.979042,428.571429,-0.00193,0.002869,97156.3,96937.5,-1.0
1990-07-06,96875.0,96937.5,96281.3,96312.5,27786,29.707471,49.040909,412.95,-0.006768,0.003174,96968.8,97156.3,-1.0
1990-07-09,96093.8,96156.3,95906.3,96031.3,16670,-25.646321,45.480657,417.407143,-0.00292,0.003225,96312.5,96968.8,0.0
1990-07-10,96062.5,96187.5,95875.0,95906.3,13479,-74.344572,43.948799,417.407143,-0.001302,0.003229,96031.3,96312.5,1.0
1990-07-11,96000.0,96281.3,95937.5,96062.5,14354,-97.4434,46.382245,406.242857,0.001629,0.003257,95906.3,96031.3,1.0
1990-07-12,96093.8,96593.8,95625.0,96531.3,31084,-59.763718,52.970784,450.892857,0.00488,0.003433,96062.5,95906.3,1.0
1990-07-13,96500.0,97000.0,96125.0,96781.3,26444,-11.457211,56.056779,495.535714,0.00259,0.003478,96531.3,96062.5,0.0
1990-07-16,96718.8,96937.5,96625.0,96906.3,10205,34.157407,57.5527,473.214286,0.001292,0.003325,96781.3,96531.3,0.0
1990-07-17,96812.5,97031.3,96750.0,96968.8,12952,67.334568,58.315802,446.435714,0.000645,0.003289,96906.3,96781.3,-1.0
1990-07-18,96906.3,96937.5,96312.5,96468.8,99910,37.917963,50.499299,473.221429,-0.005156,0.00324,96968.8,96906.3,0.0
1990-07-19,96437.5,96562.5,96312.5,96437.5,16620,12.331814,50.044741,462.064286,-0.000324,0.003181,96468.8,96968.8,1.0
1990-07-20,96562.5,96750.0,96531.3,96687.5,16890,14.759535,53.635686,448.671429,0.002592,0.003227,96437.5,96468.8,0.0
1990-07-23,96312.5,97375.0,96156.3,96656.3,29807,20.479558,53.123778,517.864286,-0.000323,0.003156,96687.5,96437.5,-1.0
1990-07-24,96312.5,96531.3,96093.8,96281.3,728,-0.061825,47.280926,535.721429,-0.00388,0.00324,96656.3,96687.5,1.0
1990-07-25,96343.8,96656.3,96312.5,96593.8,21122,16.840941,52.033866,542.414286,0.003246,0.003313,96281.3,96656.3,0.0
1990-07-26,96593.8,96687.5,96562.5,96656.3,13731,39.002774,52.944641,502.235714,0.000647,0.003037,96593.8,96281.3,1.0
1990-07-27,96656.3,97156.3,96593.8,97125.0,31092,92.994955,59.197539,513.4,0.004849,0.003139,96656.3,96593.8,1.0
1990-07-30,97250.0,97781.3,97250.0,97750.0,28754,183.234664,65.709541,537.957143,0.006435,0.00337,97125.0,96656.3,-1.0
1990-07-31,97625.0,97718.8,97437.5,97531.3,18720,226.088619,62.00429,533.492857,-0.002237,0.003359,97750.0,97125.0,1.0
1990-08-01,97531.3,98156.3,97531.3,97968.8,26556,287.217548,66.128242,508.935714,0.004486,0.003419,97531.3,97750.0,-1.0
1990-08-02,97156.3,97625.0,97000.0,97250.0,28444,265.464386,55.514749,515.635714,-0.007337,0.003798,97968.8,97531.3,-1.0
1990-08-03,96937.5,97625.0,96531.3,97000.0,34786,235.364249,52.344749,571.435714,-0.002571,0.003811,97250.0,97968.8,-1.0
1990-08-06,96531.3,96625.0,95093.8,95281.3,50748,55.23813,36.762792,687.5,-0.017719,0.005353,97000.0,97250.0,-1.0
1990-08-07,95312.5,95781.3,94687.5,94875.0,1210,-125.867668,34.129639,718.75,-0.004264,0.005245,95281.3,97000.0,0.0
1990-08-08,95218.8,95250.0,94500.0,94843.8,58620,-268.606245,33.927815,754.464286,-0.000329,0.005221,94875.0,95281.3,1.0
1990-08-09,94875.0,95562.5,94812.5,95531.3,31936,-301.999867,42.060936,785.714286,0.007249,0.005475,94843.8,94875.0,0.0
1990-08-10,95531.3,95812.5,94968.8,95406.3,36467,-344.33046,41.077983,758.928571,-0.001308,0.005465,95531.3,94843.8,0.0
1990-08-13,95093.8,95406.3,95031.3,95375.0,17597,-384.875757,40.820399,745.535714,-0.000328,0.005341,95406.3,95531.3,0.0
1990-08-14,95375.0,95750.0,95187.5,95562.5,24977,-410.064347,43.122042,758.928571,0.001966,0.005326,95375.0,95406.3,0.0
1990-08-15,95875.0,96062.5,95375.0,95718.8,25528,-429.077618,45.037283,799.107143,0.001636,0.005332,95562.5,95375.0,-1.0
1990-08-16,95562.5,95593.8,94812.5,94906.3,934,-510.172269,37.903801,823.664286,-0.008488,0.005584,95718.8,95562.5,0.0
1990-08-17,94750.0,94843.8,94531.3,94656.3,17679,-598.575999,35.998276,803.571429,-0.002634,0.00552,94906.3,95718.8,0.0
1990-08-20,94593.8,94781.3,94437.5,94656.3,16120,-643.442149,35.998276,805.807143,0.0,0.005521,94656.3,94906.3,0.0
1990-08-21,94375.0,94625.0,94000.0,94531.3,29122,-676.159073,34.975957,808.042857,-0.001321,0.005469,94656.3,94656.3,-1.0
1990-08-22,94375.0,94531.3,94000.0,94062.5,26362,-695.543365,31.372719,776.792857,-0.004959,0.00553,94531.3,94656.3,-1.0
1990-08-23,93625.0,93937.5,93343.8,93531.3,35641,-744.793412,27.853708,750.007143,-0.005647,0.005583,94062.5,94531.3,-1.0
1990-08-24,93312.5,93625.0,92906.3,93125.0,39514,-809.094762,25.485625,665.185714,-0.004344,0.005523,93531.3,94062.5,1.0
1990-08-27,93718.8,94125.0,93718.8,94000.0,28354,-780.347141,37.803039,658.485714,0.009396,0.005991,93125.0,93531.3,0.0
1990-08-28,94062.5,94156.3,93812.5,93812.5,22632,-761.503888,36.426424,629.471429,-0.001995,0.005835,94000.0,93125.0,1.0
1990-08-29,94000.0,94468.8,93906.3,94468.8,24723,-678.943826,44.113257,622.778571,0.006996,0.005873,93812.5,94000.0,0.0
1990-08-30,94312.5,94406.3,94062.5,94312.5,25638,-620.174803,42.795361,591.535714,-0.001655,0.005871,94468.8,93812.5,0.0
1990-08-31,94375.0,94437.5,94156.3,94343.8,25860,-565.351999,43.162169,584.835714,0.000332,0.005734,94312.5,94468.8,-1.0
1990-09-04,94000.0,94156.3,93906.3,94031.3,21684,-518.182936,40.379182,575.907143,-0.003312,0.005608,94343.8,94312.5,1.0
1990-09-05,94093.8,94343.8,94031.3,94312.5,26674,-432.226501,43.896325,549.121429,0.00299,0.005683,94031.3,94343.8,0.0
1990-09-06,94250.0,94500.0,94187.5,94437.5,14968,-345.456552,45.432735,506.707143,0.001325,0.004351,94312.5,94031.3,1.0
1990-09-07,94468.8,94781.3,94031.3,94656.3,36705,-240.192675,48.107976,533.492857,0.002317,0.004298,94437.5,94312.5,-1.0
1990-09-10,94750.0,94875.0,94375.0,94375.0,14582,-171.875985,45.056629,544.65,-0.002972,0.004342,94656.3,94437.5,0.0
1990-09-11,94375.0,94500.0,94187.5,94437.5,156202,-95.129936,45.880419,520.092857,0.000662,0.004018,94375.0,94656.3,0.0
1990-09-12,94531.3,94656.3,94406.3,94468.8,16364,-35.032546,46.314251,500.0,0.000331,0.004017,94437.5,94375.0,0.0
1990-09-13,94437.5,94750.0,94406.3,94531.3,12724,-3.619922,47.223709,473.214286,0.000662,0.004024,94468.8,94437.5,-1.0
1990-09-14,94312.5,94406.3,94125.0,94187.5,21936,-4.961697,42.919427,450.9,-0.003637,0.004045,94531.3,94468.8,0.0
1990-09-17,93937.5,94125.0,93875.0,94000.0,26606,-29.155478,40.731019,401.792857,-0.001991,0.004021,94187.5,94531.3,0.0
1990-09-18,93687.5,94093.8,93625.0,94031.3,20525,-40.702007,41.270436,410.721429,0.000333,0.003641,94000.0,94187.5,0.0
1990-09-19,94093.8,94218.8,93750.0,94125.0,27226,-39.812142,42.943967,397.328571,0.000996,0.003618,94031.3,94000.0,-1.0
1990-09-20,94125.0,94218.8,93843.8,93906.3,11180,-47.3179,40.076317,395.092857,-0.002324,0.003644,94125.0,94031.3,-1.0
1990-09-21,93781.3,93843.8,93406.3,93500.0,20696,-92.292375,35.343434,410.721429,-0.004327,0.003738,93906.3,94125.0,-1.0
