DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2001-04-30,103760.0,103770.0,103680.0,103740.0,3996,-464.375477,35.341313,416.428571,-0.004988,0.002783,104260.0,104830.0,0.0
2001-05-01,103880.0,103880.0,103880.0,103880.0,0,-464.26655,37.349174,412.142857,0.00135,0.002776,103740.0,104260.0,0.0
2001-05-02,103910.0,103940.0,103680.0,103830.0,12020,-463.010682,36.908944,410.714286,-0.000481,0.002776,103880.0,103740.0,1.0
2001-05-03,103840.0,104260.0,103740.0,104260.0,9038,-409.153868,43.121093,406.428571,0.004141,0.00297,103830.0,103880.0,1.0
2001-05-04,104210.0,104790.0,104210.0,104570.0,10004,-325.996143,47.144959,432.142857,0.002973,0.003062,104260.0,103830.0,0.0
2001-05-07,104570.0,104640.0,104530.0,104620.0,4407,-245.417323,47.784685,420.0,0.000478,0.003069,104570.0,104260.0,0.0
2001-05-08,104730.0,104850.0,104470.0,104640.0,12187,-180.365768,48.055383,411.428571,0.000191,0.003023,104620.0,104570.0,1.0
2001-05-09,104600.0,104900.0,104600.0,104820.0,12376,-111.689356,50.540141,383.571429,0.00172,0.003043,104640.0,104620.0,0.0
2001-05-10,104940.0,105000.0,104780.0,104850.0,4796,-46.696518,50.960458,371.428571,0.000286,0.002851,104820.0,104640.0,-1.0
2001-05-11,104760.0,104900.0,104200.0,104320.0,12800,-44.314095,43.869543,397.142857,-0.005055,0.003012,104850.0,104820.0,-1.0
2001-05-14,104140.0,104200.0,103630.0,103740.0,16046,-107.835027,37.66212,426.428571,-0.00556,0.003165,104320.0,104850.0,0.0
2001-05-15,103710.0,103910.0,103710.0,103760.0,11052,-138.803681,37.989777,425.714286,0.000193,0.002987,103740.0,104320.0,0.0
2001-05-16,103660.0,104140.0,103660.0,103810.0,14698,-136.758848,38.854885,421.428571,0.000482,0.002993,103760.0,103740.0,0.0
2001-05-17,103800.0,103980.0,103730.0,103880.0,17981,-128.239248,40.113916,386.428571,0.000674,0.002977,103810.0,103760.0,0.0
2001-05-18,104150.0,104160.0,103860.0,103950.0,14516,-112.312934,41.412212,366.428571,0.000674,0.002907,103880.0,103810.0,0.0
2001-05-21,103860.0,103990.0,103740.0,103960.0,12637,-111.674807,41.606839,374.285714,9.6e-05,0.0029,103950.0,103880.0,-1.0
2001-05-22,104140.0,104200.0,103580.0,103660.0,14169,-144.02294,37.574525,400.0,-0.002886,0.002928,103960.0,103950.0,0.0
2001-05-23,103580.0,103680.0,103450.0,103560.0,16817,-180.206122,36.307727,379.285714,-0.000965,0.002904,103660.0,103960.0,0.0
2001-05-24,103520.0,103700.0,103430.0,103520.0,4822,-214.622003,35.787481,357.142857,-0.000386,0.00286,103560.0,103660.0,-1.0
