DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
2001-04-30,102270.0,102280.0,102170.0,102170.0,104,-210.962223,24.370592,197.857143,-0.002733,0.001108,102450.0,102590.0,0.0
2001-05-01,102200.0,102200.0,102200.0,102200.0,0,-216.51406,25.825553,197.142857,0.000294,0.001117,102170.0,102450.0,0.0
2001-05-02,102260.0,102260.0,102240.0,102240.0,81,-212.550234,27.818888,194.285714,0.000391,0.001125,102200.0,102170.0,1.0
2001-05-03,102290.0,102320.0,102260.0,102320.0,76,-196.743223,31.76679,172.857143,0.000782,0.00114,102240.0,102200.0,1.0
2001-05-04,102340.0,102490.0,102340.0,102420.0,412,-173.404425,36.442671,174.285714,0.000977,0.001173,102320.0,102240.0,0.0
2001-05-07,102450.0,102460.0,102440.0,102440.0,140,-149.328219,37.366234,167.857143,0.000195,0.001173,102420.0,102320.0,0.0
2001-05-08,102510.0,102520.0,102430.0,102450.0,1675,-126.09829,37.852412,146.428571,9.8e-05,0.001175,102440.0,102420.0,1.0
2001-05-09,102510.0,102570.0,102500.0,102550.0,3285,-96.761505,42.646325,130.714286,0.000976,0.001202,102450.0,102440.0,1.0
2001-05-10,102610.0,102840.0,102570.0,102830.0,1145,-42.75732,53.460768,142.857143,0.00273,0.001335,102550.0,102450.0,0.0
2001-05-11,102880.0,102880.0,102750.0,102770.0,915,-5.777849,51.237339,141.428571,-0.000583,0.001338,102830.0,102550.0,-1.0
2001-05-14,102670.0,102690.0,102620.0,102670.0,1203,11.296589,47.676295,131.428571,-0.000973,0.001344,102770.0,102830.0,0.0
2001-05-15,102650.0,102710.0,102620.0,102630.0,562,25.076156,46.289101,132.142857,-0.00039,0.001151,102670.0,102770.0,0.0
2001-05-16,102680.0,102730.0,102670.0,102670.0,762,48.150429,47.921575,127.857143,0.00039,0.001143,102630.0,102670.0,0.0
2001-05-17,102600.0,102660.0,102600.0,102630.0,909,63.080249,46.403308,121.428571,-0.00039,0.001133,102670.0,102630.0,-1.0
2001-05-18,102670.0,102670.0,102540.0,102550.0,893,66.572202,43.437993,110.714286,-0.000779,0.001142,102630.0,102670.0,0.0
2001-05-21,102520.0,102580.0,102520.0,102570.0,255,65.997383,44.395398,112.857143,0.000195,0.001134,102550.0,102630.0,0.0
2001-05-22,102610.0,102670.0,102520.0,102520.0,2448,57.577087,42.460764,119.285714,-0.000487,0.001137,102570.0,102550.0,0.0
2001-05-23,102550.0,102590.0,102450.0,102550.0,879,52.073842,44.037312,123.571429,0.000293,0.001135,102520.0,102570.0,0.0
2001-05-24,102580.0,102610.0,102500.0,102600.0,2313,52.212537,46.659746,119.285714,0.000488,0.001084,102550.0,102520.0,0.0
2001-05-25,102560.0,102600.0,102540.0,102580.0,1054,46.943762,45.736949,120.714286,-0.000195,0.001077,102600.0,102550.0,1.0
2001-05-28,102610.0,102660.0,102610.0,102660.0,360,42.562753,49.997673,120.0,0.00078,0.00105,102580.0,102600.0,0.0
2001-05-29,102710.0,102720.0,102640.0,102650.0,5738,39.037472,49.47513,117.142857,-9.7e-05,0.001004,102660.0,102580.0,0.0
2001-05-30,102660.0,102710.0,102580.0,102690.0,2496,39.649581,51.652026,105.714286,0.00039,0.000782,102650.0,102660.0,-1.0
2001-05-31,102680.0,102680.0,102600.0,102630.0,4249,35.400632,48.292204,102.857143,-0.000584,0.000801,102690.0,102650.0,1.0
2001-06-01,102690.0,102820.0,102690.0,102810.0,3162,48.596387,57.276013,105.714286,0.001754,0.000867,102630.0,102690.0,0.0
2001-06-04,102820.0,102850.0,102810.0,102850.0,728,61.259959,58.978663,102.142857,0.000389,0.00086,102810.0,102630.0,1.0
2001-06-05,102830.0,102980.0,102810.0,102930.0,3655,76.205905,62.220255,107.142857,0.000778,0.000852,102850.0,102810.0,0.0
2001-06-06,102960.0,102960.0,102800.0,102930.0,1750,86.235773,62.220255,113.571429,0.0,0.000854,102930.0,102850.0,-1.0
2001-06-07,102890.0,102930.0,102850.0,102870.0,2969,88.581508,58.221499,110.0,-0.000583,0.000871,102930.0,102930.0,0.0
2001-06-08,102880.0,102880.0,102820.0,102840.0,1692,86.352043,56.272996,110.0,-0.000292,0.000858,102870.0,102930.0,0.0
2001-06-11,102880.0,102890.0,102850.0,102870.0,1497,85.93408,57.794585,102.857143,0.000292,0.000634,102840.0,102870.0,-1.0
2001-06-12,102850.0,102860.0,102760.0,102780.0,922,76.72243,51.955336,100.714286,-0.000875,0.00065,102870.0,102840.0,-1.0
2001-06-13,102760.0,102760.0,102700.0,102710.0,2026,60.129884,47.898288,98.571429,-0.000681,0.000632,102780.0,102870.0,1.0
2001-06-14,102670.0,102800.0,102660.0,102780.0,1238,53.917775,51.942396,104.285714,0.000682,0.00064,102710.0,102780.0,1.0
2001-06-15,102810.0,102880.0,102810.0,102820.0,1182,54.227393,54.131834,105.714286,0.000389,0.00064,102780.0,102710.0,1.0
2001-06-18,102840.0,102880.0,102810.0,102860.0,8776,58.528319,56.276225,105.0,0.000389,0.000635,102820.0,102780.0,0.0
2001-06-19,102880.0,102880.0,102830.0,102840.0,1242,54.166691,54.894855,99.285714,-0.000194,0.000608,102860.0,102820.0,1.0
2001-06-20,102880.0,102930.0,102870.0,102880.0,454,52.146951,57.160187,99.285714,0.000389,0.00061,102840.0,102860.0,1.0
2001-06-21,102980.0,102980.0,102900.0,102940.0,572,53.653779,60.373811,92.857143,0.000583,0.000601,102880.0,102840.0,1.0
2001-06-22,103000.0,103000.0,102950.0,103000.0,3281,58.824893,63.334146,94.285714,0.000583,0.000606,102940.0,102880.0,1.0
2001-06-25,103060.0,103150.0,103040.0,103060.0,1912,67.710045,66.062902,92.857143,0.000583,0.000609,103000.0,102940.0,-1.0
2001-06-26,103100.0,103110.0,103000.0,103010.0,1161,69.671198,61.929113,89.285714,-0.000485,0.000621,103060.0,103000.0,0.0
2001-06-27,102990.0,103040.0,102990.0,103020.0,1603,69.555287,62.435628,87.142857,9.7e-05,0.000607,103010.0,103060.0,-1.0
2001-06-28,103020.0,103070.0,102940.0,102980.0,1144,66.864409,59.051603,92.142857,-0.000388,0.000616,103020.0,103010.0,-1.0
2001-06-29,102900.0,102930.0,102770.0,102790.0,3338,48.331499,46.229317,103.571429,-0.001845,0.000745,102980.0,103020.0,1.0
2001-07-02,102860.0,102880.0,102850.0,102870.0,0,38.527249,51.057088,102.142857,0.000778,0.000747,102790.0,102980.0,-1.0
2001-07-03,102920.0,102920.0,102680.0,102710.0,997,15.27551,42.788921,113.571429,-0.001555,0.000732,102870.0,102790.0,0.0
2001-07-04,102600.0,102800.0,102600.0,102710.0,1488,-4.473809,42.788921,117.857143,0.0,0.000726,102710.0,102870.0,-1.0
2001-07-05,102720.0,102780.0,102630.0,102650.0,2933,-24.855234,39.969508,121.428571,-0.000584,0.000709,102710.0,102710.0,1.0
2001-07-06,102650.0,102770.0,102650.0,102760.0,4139,-32.323399,46.88361,125.0,0.001072,0.000753,102650.0,102710.0,-1.0
2001-07-09,102760.0,102780.0,102690.0,102720.0,4032,-41.288866,44.862303,127.857143,-0.000389,0.000748,102760.0,102650.0,1.0
2001-07-10,102750.0,102810.0,102720.0,102800.0,1701,-41.674972,49.548979,127.857143,0.000779,0.000767,102720.0,102760.0,1.0
2001-07-11,102910.0,102950.0,102850.0,102900.0,3189,-33.064671,54.725378,131.428571,0.000973,0.000793,102800.0,102720.0,0.0
2001-07-12,102810.0,102930.0,102800.0,102860.0,1770,-28.660464,52.411162,136.428571,-0.000389,0.000774,102900.0,102800.0,0.0
2001-07-13,102890.0,102890.0,102720.0,102840.0,3782,-27.801847,51.243867,137.857143,-0.000194,0.000759,102860.0,102900.0,0.0
2001-07-16,102840.0,102870.0,102830.0,102850.0,1236,-25.546181,51.821759,132.857143,9.7e-05,0.000747,102840.0,102860.0,0.0
2001-07-17,102860.0,102860.0,102820.0,102830.0,4422,-20.68106,50.531861,132.142857,-0.000194,0.000744,102850.0,102840.0,1.0
2001-07-18,102830.0,102970.0,102830.0,102920.0,4124,-11.156972,55.857611,132.857143,0.000875,0.000763,102830.0,102850.0,-1.0
2001-07-19,102970.0,103000.0,102870.0,102880.0,1268,-4.392895,53.122614,127.142857,-0.000389,0.000766,102920.0,102830.0,1.0
2001-07-20,102880.0,102990.0,102880.0,102960.0,961,9.137383,57.596265,128.571429,0.000778,0.00078,102880.0,102920.0,1.0
2001-07-23,102970.0,103030.0,102970.0,103020.0,2313,27.18551,60.62867,116.428571,0.000583,0.00078,102960.0,102880.0,0.0
2001-07-24,103040.0,103060.0,103030.0,103030.0,2153,40.066153,61.127334,105.0,9.7e-05,0.00077,103020.0,102960.0,0.0
2001-07-25,103050.0,103050.0,102990.0,103020.0,5245,49.682353,60.304859,98.571429,-9.7e-05,0.00076,103030.0,103020.0,0.0
2001-07-26,102960.0,103080.0,102940.0,103030.0,2103,56.330372,60.871885,100.0,9.7e-05,0.000753,103020.0,103030.0,1.0
2001-07-27,103080.0,103190.0,103060.0,103120.0,1160,67.630355,65.629953,105.0,0.000874,0.000775,103030.0,103020.0,0.0
2001-07-30,103120.0,103130.0,103080.0,103130.0,702,78.356793,66.122465,102.142857,9.7e-05,0.000769,103120.0,103030.0,1.0
2001-07-31,103140.0,103180.0,103140.0,103180.0,7223,91.896091,68.548984,95.0,0.000485,0.000644,103130.0,103120.0,0.0
2001-08-01,103180.0,103190.0,103140.0,103160.0,1789,99.184578,66.498218,89.285714,-0.000194,0.000633,103180.0,103130.0,-1.0
2001-08-02,103150.0,103310.0,103070.0,103110.0,1892,100.035072,61.540467,94.285714,-0.000485,0.000531,103160.0,103180.0,1.0
2001-08-03,103090.0,103210.0,103080.0,103200.0,4427,105.571816,66.398897,100.714286,0.000873,0.000549,103110.0,103160.0,0.0
2001-08-06,103210.0,103240.0,103190.0,103210.0,516,108.49053,66.898815,101.428571,9.7e-05,0.00052,103200.0,103110.0,-1.0
2001-08-07,103220.0,103220.0,103170.0,103180.0,2271,105.62423,63.830922,95.0,-0.000291,0.000498,103210.0,103200.0,0.0
2001-08-08,103140.0,103180.0,103140.0,103160.0,1828,96.880074,61.795755,88.571429,-0.000194,0.000489,103180.0,103210.0,1.0
2001-08-09,103300.0,103370.0,103240.0,103350.0,4255,105.639299,71.193962,95.714286,0.001842,0.000591,103160.0,103180.0,1.0
2001-08-10,103350.0,103420.0,103350.0,103420.0,1458,116.720143,73.751209,95.714286,0.000677,0.000577,103350.0,103160.0,0.0
2001-08-13,103370.0,103420.0,103370.0,103420.0,593,124.443721,73.751209,96.428571,0.0,0.000563,103420.0,103350.0,-1.0
2001-08-14,103450.0,103450.0,103320.0,103360.0,0,120.445522,67.774223,101.428571,-0.00058,0.000583,103420.0,103420.0,1.0
2001-08-15,103400.0,103450.0,103370.0,103400.0,1008,119.598595,69.547133,97.857143,0.000387,0.000583,103360.0,103420.0,0.0
2001-08-16,103430.0,103500.0,103390.0,103410.0,1173,117.864086,69.991442,94.285714,9.7e-05,0.000576,103400.0,103360.0,1.0
2001-08-17,103440.0,103520.0,103430.0,103510.0,812,123.891351,74.065908,98.571429,0.000967,0.000581,103410.0,103400.0,0.0
2001-08-20,103520.0,103540.0,103510.0,103510.0,1769,127.630487,74.065908,97.142857,0.0,0.000566,103510.0,103410.0,-1.0
2001-08-21,103490.0,103520.0,103460.0,103480.0,1849,123.817474,70.727901,97.857143,-0.00029,0.000567,103510.0,103510.0,-1.0
2001-08-22,103480.0,103570.0,103380.0,103440.0,2952,114.636566,66.4279,94.285714,-0.000387,0.000576,103480.0,103510.0,-1.0
2001-08-23,103380.0,103460.0,103360.0,103410.0,2928,104.454911,63.317505,92.142857,-0.00029,0.000584,103440.0,103480.0,-1.0
2001-08-24,103420.0,103420.0,103310.0,103320.0,1758,86.54551,54.995566,96.428571,-0.00087,0.000623,103410.0,103440.0,0.0
2001-08-27,103300.0,103340.0,103270.0,103320.0,235,67.403437,54.995566,97.857143,0.0,0.000624,103320.0,103410.0,1.0
2001-08-28,103330.0,103460.0,103310.0,103460.0,3239,62.861519,63.627481,105.714286,0.001355,0.000659,103320.0,103320.0,0.0
2001-08-29,103500.0,103510.0,103420.0,103470.0,5474,58.910934,64.155612,97.142857,9.7e-05,0.000659,103460.0,103320.0,1.0
2001-08-30,103490.0,103630.0,103420.0,103610.0,6719,68.670283,70.592757,107.142857,0.001353,0.000704,103470.0,103460.0,0.0
2001-08-31,103630.0,103700.0,103610.0,103630.0,2695,75.926912,71.382354,110.0,0.000193,0.000699,103610.0,103470.0,1.0
2001-09-03,103660.0,103690.0,103650.0,103670.0,997,84.574537,72.946596,105.0,0.000386,0.000682,103630.0,103610.0,-1.0
2001-09-04,103620.0,103620.0,103400.0,103430.0,4431,65.473974,53.912644,117.857143,-0.002315,0.000859,103670.0,103630.0,-1.0
2001-09-05,103390.0,103410.0,103360.0,103370.0,2678,44.137097,50.36619,115.0,-0.00058,0.000871,103430.0,103670.0,1.0
2001-09-06,103350.0,103510.0,103300.0,103490.0,5417,37.874235,56.528891,122.142857,0.001161,0.000897,103370.0,103430.0,1.0
2001-09-07,103500.0,103650.0,103500.0,103640.0,0,46.165903,62.74807,131.428571,0.001449,0.000936,103490.0,103370.0,0.0
2001-09-10,103670.0,103750.0,103590.0,103630.0,1996,52.386028,62.111032,138.571429,-9.6e-05,0.000863,103640.0,103490.0,1.0
2001-09-11,103580.0,103900.0,103550.0,103900.0,2680,83.436242,70.747228,150.0,0.002605,0.001008,103630.0,103640.0,0.0
