DATE,OPEN,HIGH,LOW,CLOSE,VOL,MACD,RSI,ATR,DAILY RETURNS,ROLLING VOLATILITY,LAG 1 CLOSE,LAG 2 CLOSE,LABELS
1988-11-10,380280.3783,380488.77,380280.3783,380322.09,0,-167.033303,36.339372,193.467857,0.0,0.000301,380322.09,380530.44,-1.0
1988-11-11,380197.08,380197.08,380155.41,380155.41,0,-223.740434,33.650632,196.441307,-0.000438,0.000301,380322.09,380322.09,-1.0
1988-11-14,380030.4,380072.07,380030.4,380072.07,0,-271.491217,32.360793,199.417736,-0.000219,0.000301,380155.41,380322.09,-1.0
1988-11-15,379613.7,379947.06,379613.7,379947.06,0,-318.023356,30.473514,226.205593,-0.000329,0.000287,380072.07,380155.41,-1.0
1988-11-16,379822.05,379947.06,379447.02,379572.03,0,-383.253786,25.640741,247.043571,-0.000987,0.000333,379947.06,380072.07,-1.0
1988-11-17,379322.01,379405.35,379238.6283,379280.34,0,-460.783023,22.631504,264.9081,-0.000768,0.000354,379572.03,379947.06,1.0
1988-11-18,379613.7,379613.7,379530.3183,379530.3183,0,-492.640062,30.197971,276.813814,0.000659,0.0004,379280.34,379572.03,0.0
1988-11-21,379572.03,379572.03,379447.02,379488.69,0,-512.808988,29.677801,270.860957,-0.00011,0.000398,379530.3183,379280.34,-1.0
1988-11-22,379405.35,379405.35,379197.0,379197.0,0,-544.232484,26.263613,285.7431,-0.000769,0.000414,379488.69,379530.3183,0.0
1988-11-23,379238.6283,379280.34,379197.0,379197.0,0,-557.757729,26.263613,282.766671,0.0,0.000411,379197.0,379488.69,0.0
1988-11-25,378780.3,379197.0,378780.3,379197.0,0,-556.778193,26.263613,279.790243,0.0,0.000407,379197.0,379197.0,-1.0
1988-11-28,378988.65,378988.65,378780.3,378780.3,0,-582.170306,21.787909,294.672386,-0.001099,0.00044,379197.0,379197.0,1.0
1988-11-29,378821.97,378988.65,378738.63,378905.31,0,-582.637697,25.873579,285.7431,0.00033,0.000432,378780.3,379197.0,1.0
1988-11-30,379197.0,379530.3183,379155.33,379447.02,0,-520.702099,40.3984,309.55155,0.00143,0.000565,378905.31,378780.3,0.0
1988-12-01,379447.02,379655.37,379280.34,379447.02,0,-462.12589,40.3984,321.454286,0.0,0.000566,379447.02,378905.31,-1.0
1988-12-02,379447.02,379447.02,378988.65,378988.65,0,-447.864215,33.890838,342.289286,-0.001208,0.000595,379447.02,379447.02,0.0
1988-12-05,378988.65,379113.66,378988.65,378988.65,0,-418.514507,33.890838,342.289286,0.0,0.000597,378988.65,379447.02,1.0
1988-12-06,379030.32,379363.68,379030.32,379363.68,0,-346.085743,42.665218,336.336429,0.00099,0.000656,378988.65,378988.65,1.0
1988-12-07,379405.35,379572.03,379405.35,379488.69,0,-276.708992,45.270245,315.501429,0.00033,0.000661,379363.68,378988.65,0.0
1988-12-08,379572.03,379572.03,379572.03,379572.03,0,-206.440832,46.998595,297.639879,0.00022,0.000661,379488.69,379363.68,0.0
1988-12-09,379613.7,379613.7,379613.7,379613.7,0,-135.834047,47.884595,276.804879,0.00011,0.000653,379572.03,379488.69,0.0
1988-12-12,379613.7,379613.7,379530.3183,379613.7,0,-76.223592,47.884595,273.831429,0.0,0.000646,379613.7,379572.03,0.0
1988-12-13,379613.7,379613.7,379530.3183,379613.7,0,-27.504001,47.884595,258.952264,0.0,0.000646,379613.7,379613.7,1.0
1988-12-14,379613.7,379738.71,379530.3183,379738.71,0,33.255318,50.956151,267.884529,0.000329,0.000647,379613.7,379613.7,0.0
1988-12-15,379697.04,379697.04,379613.7,379697.04,0,74.307134,49.900745,247.049529,-0.00011,0.000646,379738.71,379613.7,-1.0
1988-12-16,379655.37,379655.37,379405.35,379572.03,0,81.607114,46.770699,238.120243,-0.000329,0.000646,379697.04,379738.71,0.0
1988-12-19,379697.04,379697.04,379613.7,379613.7,0,91.794153,47.943238,229.190957,0.00011,0.000611,379572.03,379697.04,0.0
1988-12-20,379697.04,379697.04,379530.3183,379530.3183,0,101.652169,45.770791,196.4562,-0.00022,0.000589,379613.7,379572.03,0.0
1988-12-21,379613.7,379613.7,379613.7,379613.7,0,117.00975,48.294497,175.624179,0.00022,0.000573,379530.3183,379613.7,0.0
1988-12-22,379697.04,379697.04,379613.7,379613.7,0,119.204281,48.294497,148.836321,0.0,0.000573,379613.7,379530.3183,1.0
1988-12-23,379822.05,379822.05,379738.71,379780.38,0,128.623746,53.328817,154.789179,0.000439,0.000552,379613.7,379613.7,1.0
1988-12-27,379780.38,379905.39,379780.38,379905.39,0,140.828819,56.730118,136.930607,0.000329,0.000554,379780.38,379613.7,-1.0
1988-12-28,378488.5683,378488.5683,378488.5683,378488.5683,0,19.612269,30.028352,223.250014,-0.003729,0.000985,379905.39,379780.38,0.0
1988-12-29,378738.63,378738.63,378613.62,378613.62,0,-64.681126,33.035486,235.158707,0.00033,0.000961,378488.5683,379905.39,1.0
1988-12-30,378780.3,378863.64,378780.3,378821.97,0,-114.381236,37.828075,250.04085,0.00055,0.000966,378613.62,378488.5683,-1.0
1989-01-03,378613.62,378613.62,378321.93,378321.93,0,-201.821761,31.925745,279.802157,-0.00132,0.000949,378821.97,378613.62,-1.0
1989-01-04,378280.26,378363.6,378030.24,378030.24,0,-294.862673,29.072335,297.65775,-0.000771,0.000958,378321.93,378821.97,0.0
1989-01-05,377946.9,378030.24,377863.56,377988.57,0,-370.947226,28.677705,294.678343,-0.00011,0.000929,378030.24,378321.93,0.0
1989-01-06,377988.57,378071.91,377946.9,377988.57,0,-427.279295,28.677705,294.678343,0.0,0.000929,377988.57,378030.24,0.0
